Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Simone Aresti,it ITA,GK,Cagliari,37,1986,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Emil Audero,id IDN,GK,Inter,26,1997,3.7,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Nicola Bagnolini,it ITA,GK,Bologna,19,2004,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Etrit Berisha,al ALB,GK,Empoli,34,1989,14.0,25,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Elia Caprile,it ITA,GK,Empoli,21,2001,23.0,27,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Marco Carnesecchi,it ITA,GK,Atalanta,23,2000,26.9,30,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Michele Cerofolini,it ITA,GK,Frosinone,24,1999,7.5,11,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Oliver Christensen,dk DEN,GK,Fiorentina,24,1999,4.0,9,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Andrea Consigli,it ITA,GK,Sassuolo,36,1987,35.0,68,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Nikita Contini Baranovsky,it ITA,GK,Napoli,27,1996,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Benoît Costil,fr FRA,GK,Salernitana,36,1987,13.0,29,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Alessio Cragno,it ITA,GK,Sassuolo,29,1994,3.0,7,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Raffaele Di Gennaro,it ITA,GK,Inter,29,1993,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Michele Di Gregorio,it ITA,GK,Monza,26,1997,31.9,35,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Wladimiro Falcone,it ITA,GK,Lecce,28,1995,38.0,54,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Vincenzo Fiorillo,it ITA,GK,Salernitana,33,1990,4.0,8,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Luca Gemello,it ITA,GK,Torino,23,2000,2.0,5,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Pierluigi Gollini,it ITA,GK,Napoli,28,1995,7.0,8,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Nicola Leali,it ITA,GK,Genoa,30,1993,2.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Mike Maignan,fr FRA,GK,Milan,28,1995,29.0,34,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Christos Mandas,gr GRE,GK,Lazio,21,2001,8.0,6,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Tommaso Martinelli,it ITA,GK,Fiorentina,17,2006,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Josep Martinez,es ESP,GK,Genoa,25,1998,36.0,43,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Alex Meret,it ITA,GK,Napoli,26,1997,30.8,40,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Vanja Milinković-Savić,rs SRB,GK,Torino,26,1997,36.0,31,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Antonio Mirante,it ITA,GK,Milan,40,1983,2.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Lorenzo Montipò,it ITA,GK,Hellas Verona,27,1996,37.0,49,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Juan Musso,ar ARG,GK,Atalanta,29,1994,11.0,12,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Lapo Nava,it ITA,GK,Milan,19,2004,0.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Guillermo Ochoa,mx MEX,GK,Salernitana,38,1985,21.0,44,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Maduka Okoye,ng NGA,GK,Udinese,23,1999,21.0,25,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Rui Patrício,pt POR,GK,Roma,35,1988,23.0,27,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Simone Perilli,it ITA,GK,Hellas Verona,28,1995,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Mattia Perin,it ITA,GK,Juventus,30,1992,2.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Samuele Perisan,it ITA,GK,Empoli,25,1997,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Carlo Pinsoglio,it ITA,GK,Juventus,33,1990,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Ivan Provedel,it ITA,GK,Lazio,29,1994,30.0,33,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Boris Radunović,rs SRB,GK,Cagliari,27,1996,7.0,12,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Federico Ravaglia,it ITA,GK,Bologna,23,1999,5.9,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
40,Francesco Rossi,it ITA,GK,Atalanta,32,1991,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Simone Scuffet,it ITA,GK,Cagliari,27,1996,31.0,55,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
42,Marco Silvestri,it ITA,GK,Udinese,32,1991,17.0,28,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
43,Łukasz Skorupski,pl POL,GK,Bologna,32,1991,32.0,29,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
44,Daniele Sommariva,it ITA,GK,Genoa,26,1997,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
45,Yann Sommer,ch SUI,GK,Inter,34,1988,34.0,19,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
46,Alessandro Sorrentino,it ITA,GK,Monza,21,2002,6.1,16,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
47,Marco Sportiello,it ITA,GK,Milan,31,1992,7.0,11,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
48,Mile Svilar,rs SRB,GK,Roma,23,1999,15.0,19,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
49,Wojciech Szczęsny,pl POL,GK,Juventus,33,1990,35.0,30,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
50,Pietro Terracciano,it ITA,GK,Fiorentina,33,1990,33.0,35,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
51,Stefano Turati,it ITA,GK,Frosinone,21,2001,30.5,58,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
