Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
1,Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15,15,1350,15.0,26,1.73,59,37,61.0,4,2,9,2,13.3,4,3,1,0,25.0,Matches
3,Marco Bizot,nl NED,GK,Brest,32,1991,32,32,2876,32.0,34,1.06,126,95,74.6,15,10,7,11,34.4,3,2,1,0,33.3,Matches
5,Marcin Bułka,pl POL,GK,Nice,23,1999,34,34,3060,34.0,29,0.85,96,74,75.0,15,10,9,17,50.0,8,5,3,0,37.5,Matches
6,Lucas Chevalier,fr FRA,GK,Lille,21,2001,33,33,2969,33.0,32,0.97,119,92,75.6,16,10,7,15,45.5,5,3,2,0,40.0,Matches
9,Arthur Desmas,fr FRA,GK,Le Havre,29,1994,33,33,2970,33.0,43,1.30,152,111,72.4,7,11,15,7,21.2,3,1,1,1,50.0,Matches
10,Mory Diaw,sn SEN,GK,Clermont Foot,30,1993,30,30,2700,30.0,54,1.80,181,134,73.5,4,8,18,5,16.7,8,6,1,1,14.3,Matches
12,Yehvann Diouf,sn SEN,GK,Reims,23,1999,34,34,3060,34.0,47,1.38,130,90,68.5,13,8,13,7,20.6,7,6,1,0,14.3,Matches
13,Gianluigi Donnarumma,it ITA,GK,Paris Saint-Germain,24,1999,25,25,2169,24.1,20,0.83,107,91,84.1,18,6,1,11,44.0,4,3,1,0,25.0,Matches
15,Philipp Köhn,ch SUI,GK,Monaco,25,1998,22,22,1980,22.0,32,1.45,92,66,70.7,11,5,6,5,22.7,6,5,1,0,16.7,Matches
16,Alban Lafont,ci CIV,GK,Nantes,24,1999,28,28,2496,27.7,43,1.55,111,75,68.5,7,4,17,6,21.4,8,8,0,0,0.0,Matches
18,Benjamin Lecomte,fr FRA,GK,Montpellier,32,1991,30,30,2700,30.0,37,1.23,134,102,75.4,9,11,10,10,33.3,5,4,1,0,20.0,Matches
19,Anthony Lopes,pt POR,GK,Lyon,32,1990,31,31,2790,31.0,49,1.58,154,109,70.8,16,4,11,8,25.8,6,4,1,1,20.0,Matches
20,Pau López,es ESP,GK,Marseille,28,1994,33,33,2939,32.7,39,1.19,125,88,71.2,13,11,9,7,21.2,3,3,0,0,0.0,Matches
21,Radosław Majecki,pl POL,GK,Monaco,23,1999,12,12,1080,12.0,10,0.83,57,46,82.5,9,2,1,5,41.7,0,0,0,0,,Matches
22,Steve Mandanda,fr FRA,GK,Rennes,38,1985,34,34,3060,34.0,46,1.35,148,105,70.9,12,10,12,7,20.6,3,3,0,0,0.0,Matches
24,Yvon Mvogo,ch SUI,GK,Lorient,29,1994,34,34,3060,34.0,66,1.94,202,144,71.3,7,8,19,4,11.8,8,8,0,0,0.0,Matches
27,Alexandre Oukidja,dz ALG,GK,Metz,35,1988,34,34,2987,33.2,57,1.72,178,126,71.3,8,5,21,6,17.6,6,6,0,0,0.0,Matches
29,Guillaume Restes,fr FRA,GK,Toulouse,18,2005,34,34,3060,34.0,46,1.35,138,96,69.6,11,10,13,6,17.6,4,4,0,0,0.0,Matches
31,Brice Samba,fr FRA,GK,Lens,29,1994,33,33,2970,33.0,35,1.06,131,102,77.9,14,8,11,13,39.4,8,6,1,1,14.3,Matches
32,Matz Sels,be BEL,GK,Strasbourg,31,1992,19,19,1710,19.0,24,1.26,64,41,64.1,6,7,6,3,15.8,1,1,0,0,0.0,Matches
