Player,Squad,Pos,Min,xG,xA,season
Harry Kane,Bayern Munich,FW,2854.0,33.116344682872295,6.784328814595938,2023-24
Serhou Guirassy,VfB Stuttgart,FW,2228.0,23.512099631130695,7.668689090758562,2023-24
Loïs Openda,RasenBallsport Leipzig,FW,2772.0,24.74329467304051,6.524221880361438,2023-24
Deniz Undav,VfB Stuttgart,FW,2135.0,17.09328974597156,7.17163859680295,2023-24
Maximilian Beier,Hoffenheim,FW,2477.0,12.457650601863861,2.661381559446454,2023-24
Andrej Kramaric,Hoffenheim,FW,2231.0,12.076880916953087,9.023594247177243,2023-24
Ermedin Demirovic,Augsburg,FW,2911.0,14.406423318199813,4.684111354872584,2023-24
Victor Boniface,Bayer Leverkusen,FW,1565.0,16.99027242511511,4.492216352373362,2023-24
Benjamin Sesko,RasenBallsport Leipzig,FW,1523.0,8.596239453181624,0.9170200936496258,2023-24
Donyell Malen,Borussia Dortmund,FW,1797.0,9.379874732345343,3.6280691251158714,2023-24
Marvin Ducksch,Werder Bremen,FW,2734.0,12.536896999925375,8.121447345241904,2023-24
Niclas Füllkrug,"Borussia Dortmund,Werder Bremen",FW,2453.0,14.847305115312338,4.508429236710072,2023-24
Tim Kleindienst,FC Heidenheim,FW,2892.0,16.78191621415317,2.5056460234336555,2023-24
Omar Marmoush,Eintracht Frankfurt,FW,2343.0,11.406442493200302,4.691447583958507,2023-24
Florian Wirtz,Bayer Leverkusen,MF,2393.0,9.3572720233351,8.88662638887763,2023-24
Jonas Wind,Wolfsburg,FW,2689.0,11.242378208320588,4.637466970831156,2023-24
Robin Hack,Borussia M.Gladbach,FW,1357.0,4.567830590065569,2.017133677378297,2023-24
Jamal Musiala,Bayern Munich,MF,1795.0,8.374677112326026,6.257946293801069,2023-24
Eren Sami Dinkci,FC Heidenheim,MF,2730.0,3.6833908520638943,4.120627013035119,2023-24
Álex Grimaldo,Bayer Leverkusen,DF,2787.0,5.481053691357374,10.64055438619107,2023-24
Jeremie Frimpong,Bayer Leverkusen,DF,2296.0,10.86039075627923,6.639975064434111,2023-24
Leroy Sané,Bayern Munich,MF,2139.0,10.463140001520514,11.30691079236567,2023-24
Vincenzo Grifo,Freiburg,MF,2416.0,7.684199303388596,8.20120744034648,2023-24
Chris Führich,VfB Stuttgart,DF,2709.0,7.510290591046214,8.933032155036926,2023-24
Jonathan Burkardt,Mainz 05,FW,1554.0,6.991286312229931,2.5152483489364386,2023-24
Xavi Simons,RasenBallsport Leipzig,MF,2738.0,7.734520580619574,10.540094953030348,2023-24
Tim Skarke,Darmstadt,FW,2454.0,3.9389715548604727,2.044516548514366,2023-24
Phillip Tietz,Augsburg,FW,2470.0,9.15065080858767,2.794616512954235,2023-24
Jan-Niklas Beste,FC Heidenheim,MF,2658.0,4.454712076112628,6.618623999878764,2023-24
Michael Gregoritsch,Freiburg,FW,1681.0,11.299522154033184,1.2629597373306751,2023-24
Julian Brandt,Borussia Dortmund,FW,2251.0,4.833765083923936,10.61525715701282,2023-24
Patrik Schick,Bayer Leverkusen,FW,1062.0,6.778491199016571,1.1231339424848557,2023-24
Alassane Pléa,Borussia M.Gladbach,FW,1957.0,6.879629638977349,3.6423654896207154,2023-24
Ihlas Bebou,Hoffenheim,FW,1615.0,5.354578691534698,2.886668909341097,2023-24
Lucas Höler,Freiburg,FW,2354.0,7.733447901904583,2.173959033563733,2023-24
Wout Weghorst,Hoffenheim,FW,2019.0,7.089848818257451,3.5110421497374773,2023-24
Kevin Stöger,Bochum,MF,2714.0,6.653226168826222,10.590811729431152,2023-24
Ritsu Doan,Freiburg,DF,2264.0,5.619689551182091,3.5378279890865088,2023-24
Ansgar Knauff,Eintracht Frankfurt,FW,2159.0,6.450881984084845,3.2767638489603996,2023-24
Mathys Tel,Bayern Munich,FW,965.0,4.882880583405495,2.5551925227046013,2023-24
Marco Reus,Borussia Dortmund,MF,1625.0,7.890434369444847,6.095844455994666,2023-24
