Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Dimitry Bertaud,cd COD,GK,Montpellier,26,1998,4.0,11,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Marco Bizot,nl NED,GK,Brest,33,1991,32.0,54,8,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Marcin Bułka,pl POL,GK,Nice,24,1999,34.0,41,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Patrik Carlgren,se SWE,GK,Nantes,32,1992,4.6,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Lucas Chevalier,fr FRA,GK,Lille,22,2001,34.0,36,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Grégoire Coudert,fr FRA,GK,Brest,25,1999,2.0,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Théo De Percin,mq MTQ,GK,Auxerre,23,2001,2.0,3,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Rémy Descamps,fr FRA,GK,Lyon,28,1996,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Arthur Desmas,fr FRA,GK,Le Havre,30,1994,18.0,38,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Yehvann Diouf,sn SEN,GK,Reims,24,1999,34.0,47,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Álex Domínguez,es ESP,GK,Toulouse,26,1998,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Gianluigi Donnarumma,it ITA,GK,Paris Saint-Germain,25,1999,23.2,25,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Yahia Fofana,ci CIV,GK,Angers,23,2000,33.0,51,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Gauthier Gallon,fr FRA,GK,Rennes,31,1993,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Mathieu Gorgelin,fr FRA,GK,Le Havre,33,1990,16.0,33,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Kjetil Haug,no NOR,GK,Toulouse,26,1998,5.5,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Karl-Johan Johnsson,se SWE,GK,Strasbourg,34,1990,3.0,6,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Hervé Koffi,bf BFA,GK,Lens,27,1996,5.0,8,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Philipp Köhn,ch SUI,GK,Monaco,26,1998,19.0,19,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Alban Lafont,ci CIV,GK,Nantes,25,1999,12.0,19,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,27,1997,34.0,77,13,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Benjamin Lecomte,fr FRA,GK,Montpellier,33,1991,30.0,68,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Donovan Léon,gf GUF,GK,Auxerre,31,1992,32.0,48,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Anthony Lopes,pt POR,GK,Nantes,33,1990,17.4,26,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Radosław Majecki,pl POL,GK,Monaco,24,1999,15.0,22,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Steve Mandanda,fr FRA,GK,Rennes,39,1985,16.5,24,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Lucas Perri,br BRA,GK,Lyon,26,1997,33.0,44,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Đorđe Petrović,rs SRB,GK,Strasbourg,24,1999,31.0,38,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Guillaume Restes,fr FRA,GK,Toulouse,19,2005,28.3,36,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Gerónimo Rulli,ar ARG,GK,Marseille,32,1992,34.0,47,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Mathew Ryan,au AUS,GK,Lens,32,1992,14.0,17,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Matvei Safonov,ru RUS,GK,Paris Saint-Germain,25,1999,9.8,9,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Brice Samba,fr FRA,GK,Rennes,30,1994,17.0,27,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Brice Samba,fr FRA,GK,Lens,30,1994,15.0,14,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Arnau Tenas,es ESP,GK,Paris Saint-Germain,23,2001,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Melvin Zinga,fr FRA,GK,Angers,22,2002,1.0,2,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
