Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Noah Atubolu,de GER,GK,Freiburg,21,2002,34.0,58,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Daniel Batz,de GER,GK,Mainz 05,32,1991,4.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Oliver Baumann,de GER,GK,Hoffenheim,33,1990,34.0,66,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Janis Blaswich,de GER,GK,RB Leipzig,32,1991,21.0,30,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Fabian Bredlow,de GER,GK,Stuttgart,28,1995,4.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Alexander Brunst,de GER,GK,Darmstadt 98,28,1995,3.0,10,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Koen Casteels,be BEL,GK,Wolfsburg,31,1992,25.0,39,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Finn Dahmen,de GER,GK,Augsburg,25,1998,31.0,52,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Jens Grahl,de GER,GK,Eintracht Frankfurt,34,1988,2.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Péter Gulácsi,hu HUN,GK,RB Leipzig,33,1990,13.0,9,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Lukáš Hrádecký,fi FIN,GK,Leverkusen,33,1989,33.0,24,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Gregor Kobel,ch SUI,GK,Dortmund,25,1997,26.3,34,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Tomáš Koubek,cz CZE,GK,Augsburg,30,1992,3.0,8,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Matej Kovar,cz CZE,GK,Leverkusen,23,2000,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Andreas Luthe,de GER,GK,Bochum,36,1987,1.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Alexander Meyer,de GER,GK,Dortmund,32,1991,7.7,9,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Kevin Müller,de GER,GK,Heidenheim,32,1991,34.0,55,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Manuel Neuer,de GER,GK,Bayern Munich,37,1986,22.8,33,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Moritz Nicolas,de GER,GK,Gladbach,25,1997,27.0,49,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Alexander Nübel,de GER,GK,Stuttgart,26,1996,30.0,36,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Jonas Omlin,ch SUI,GK,Gladbach,29,1994,7.0,18,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Jiří Pavlenka,cz CZE,GK,Werder Bremen,31,1992,7.0,17,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Daniel Peretz,il ISR,GK,Bayern Munich,23,2000,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Pavao Pervan,at AUT,GK,Wolfsburg,35,1987,9.0,17,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Manuel Riemann,de GER,GK,Bochum,34,1988,33.0,70,9,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Frederik Rønnow,dk DEN,GK,Union Berlin,30,1992,33.0,56,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Marcel Schuhen,de GER,GK,Darmstadt 98,30,1993,31.0,76,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Marvin Schwäbe,de GER,GK,Köln,28,1995,34.0,60,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Alexander Schwolow,de GER,GK,Union Berlin,31,1992,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Kevin Trapp,de GER,GK,Eintracht Frankfurt,33,1990,32.0,48,9,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Sven Ulreich,de GER,GK,Bayern Munich,34,1988,11.0,12,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Robin Zentner,de GER,GK,Mainz 05,28,1994,30.0,48,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Michael Zetterer,de GER,GK,Werder Bremen,28,1995,27.0,37,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
