Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
577,Matías Viña,uy URU,DF,Sassuolo,25,1997,11.3,,20,,,,,,,,,,,9,,,,Matches
578,Rúben Vinagre,pt POR,DF,Hellas Verona,24,1999,3.1,,2,,,,,,,,,,,1,,,,Matches
579,Nicolas Viola,it ITA,"MF,FW",Cagliari,33,1989,13.4,,8,,,,,,,,,,,3,,,,Matches
580,Mattia Viti,it ITA,DF,Sassuolo,21,2002,10.9,,16,,,,,,,,,,,10,,,,Matches
581,Vitinha,pt POR,"MF,FW",Genoa,23,2000,3.2,,2,,,,,,,,,,,0,,,,Matches
582,Dušan Vlahović,rs SRB,FW,Juventus,23,2000,25.6,,5,,,,,,,,,,,2,,,,Matches
583,Nikola Vlašić,hr CRO,MF,Torino,25,1997,29.0,,14,,,,,,,,,,,11,,,,Matches
584,Alessandro Vogliacco,it ITA,DF,Genoa,24,1998,13.0,,15,,,,,,,,,,,30,,,,Matches
585,Mërgim Vojvoda,xk KVX,"MF,DF",Torino,28,1995,15.3,,8,,,,,,,,,,,14,,,,Matches
586,Cristian Volpato,it ITA,"MF,FW",Sassuolo,19,2003,7.2,,8,,,,,,,,,,,2,,,,Matches
587,Stefan de Vrij,nl NED,DF,Inter,31,1992,17.6,,13,,,,,,,,,,,24,,,,Matches
588,Walace,br BRA,MF,Udinese,28,1995,36.0,,43,,,,,,,,,,,43,,,,Matches
589,Sebastian Walukiewicz,pl POL,DF,Empoli,23,2000,22.8,,28,,,,,,,,,,,16,,,,Matches
590,Timothy Weah,us USA,MF,Juventus,23,2000,14.0,,19,,,,,,,,,,,6,,,,Matches
591,Shon Weissman,il ISR,FW,Salernitana,27,1996,5.5,,3,,,,,,,,,,,3,,,,Matches
592,Mateusz Wieteska,pl POL,DF,Cagliari,26,1997,10.7,,10,,,,,,,,,,,14,,,,Matches
593,Kenan Yıldız,tr TUR,FW,Juventus,18,2005,10.6,,10,,,,,,,,,,,1,,,,Matches
594,Mattia Zaccagni,it ITA,"FW,MF",Lazio,28,1995,21.7,,16,,,,,,,,,,,21,,,,Matches
595,Nicola Zalewski,pl POL,"MF,FW",Roma,21,2002,10.8,,13,,,,,,,,,,,8,,,,Matches
596,Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,27,1995,31.0,,35,,,,,,,,,,,28,,,,Matches
597,Alessandro Zanoli,it ITA,MF,Napoli,22,2000,0.6,,1,,,,,,,,,,,1,,,,Matches
598,Alessandro Zanoli,it ITA,"MF,DF",Salernitana,22,2000,10.2,,12,,,,,,,,,,,2,,,,Matches
599,Duván Zapata,co COL,FW,Atalanta,32,1991,1.2,,0,,,,,,,,,,,0,,,,Matches
600,Duván Zapata,co COL,FW,Torino,32,1991,32.0,,7,,,,,,,,,,,7,,,,Matches
601,Gabriele Zappa,it ITA,"DF,MF",Cagliari,23,1999,28.5,,30,,,,,,,,,,,20,,,,Matches
602,Davide Zappacosta,it ITA,MF,Atalanta,31,1992,20.7,,21,,,,,,,,,,,5,,,,Matches
603,Oier Zarraga,es ESP,MF,Udinese,24,1999,4.5,,3,,,,,,,,,,,5,,,,Matches
604,Jordan Zemura,zw ZIM,MF,Udinese,23,1999,11.5,,16,,,,,,,,,,,15,,,,Matches
605,Alessio Zerbin,it ITA,MF,Monza,24,1999,7.6,,11,,,,,,,,,,,3,,,,Matches
606,Alessio Zerbin,it ITA,FW,Napoli,24,1999,1.7,,2,,,,,,,,,,,0,,,,Matches
607,Kevin Zeroli,it ITA,MF,Milan,18,2005,0.3,,0,,,,,,,,,,,0,,,,Matches
608,Piotr Zieliński,pl POL,MF,Napoli,29,1994,21.4,,16,,,,,,,,,,,10,,,,Matches
609,David Zima,cz CZE,DF,Torino,22,2000,1.0,,1,,,,,,,,,,,4,,,,Matches
610,Joshua Zirkzee,nl NED,FW,Bologna,22,2001,30.7,,20,,,,,,,,,,,3,,,,Matches
611,Nadir Zortea,it ITA,"MF,DF",Frosinone,24,1999,14.0,,13,,,,,,,,,,,4,,,,Matches
612,Nadir Zortea,it ITA,"DF,MF",Atalanta,24,1999,1.7,,4,,,,,,,,,,,1,,,,Matches
613,Szymon Żurkowski,pl POL,MF,Empoli,25,1997,9.6,,6,,,,,,,,,,,5,,,,Matches
614,Milan Đurić,ba BIH,FW,Hellas Verona,33,1990,13.4,,0,,,,,,,,,,,1,,,,Matches
615,Milan Đurić,ba BIH,FW,Monza,33,1990,14.0,,4,,,,,,,,,,,0,,,,Matches
616,Mateusz Łęgowski,pl POL,MF,Salernitana,20,2003,12.7,,12,,,,,,,,,,,7,,,,Matches
