Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
400,Michel Ndary Adopo,fr FRA,MF,Atalanta,23,2000,1.2,,3,,,,,,,,,,,0,,,,Matches
401,Dan Ndoye,ch SUI,"MF,FW",Bologna,22,2000,19.7,,15,,,,,,,,,,,10,,,,Matches
402,Cyril Ngonge,be BEL,"MF,FW",Hellas Verona,23,2000,15.9,,10,,,,,,,,,,,3,,,,Matches
403,Cyril Ngonge,be BEL,FW,Napoli,23,2000,3.5,,3,,,,,,,,,,,0,,,,Matches
404,M'Baye Niang,sn SEN,FW,Empoli,28,1994,7.9,,2,,,,,,,,,,,3,,,,Matches
405,Hans Nicolussi Caviglia,it ITA,MF,Juventus,23,2000,3.0,,2,,,,,,,,,,,0,,,,Matches
406,Joseph Nonge,be BEL,MF,Juventus,18,2005,0.3,,0,,,,,,,,,,,0,,,,Matches
407,Tijjani Noslin,nl NED,"FW,MF",Hellas Verona,24,1999,14.9,,7,,,,,,,,,,,2,,,,Matches
408,Simeon Nwankwo,ng NGA,FW,Salernitana,31,1992,7.6,,3,,,,,,,,,,,0,,,,Matches
409,M'Bala Nzola,ao ANG,FW,Fiorentina,26,1996,17.2,,8,,,,,,,,,,,0,,,,Matches
410,Adam Obert,sk SVK,DF,Cagliari,20,2002,10.5,,9,,,,,,,,,,,20,,,,Matches
411,Pedro Obiang,gq EQG,MF,Sassuolo,31,1992,5.0,,3,,,,,,,,,,,7,,,,Matches
412,Guillermo Ochoa,mx MEX,GK,Salernitana,38,1985,21.0,,0,,,,,,,,,,,0,,,,Matches
413,Jens Odgaard,dk DEN,"MF,FW",Bologna,24,1999,4.8,,4,,,,,,,,,,,1,,,,Matches
414,Noah Okafor,ch SUI,"FW,MF",Milan,23,2000,9.9,,4,,,,,,,,,,,0,,,,Matches
415,David Okereke,ng NGA,"FW,MF",Torino,25,1997,2.8,,1,,,,,,,,,,,1,,,,Matches
416,Caleb Okoli,it ITA,DF,Frosinone,22,2001,32.4,,34,,,,,,,,,,,31,,,,Matches
417,Maduka Okoye,ng NGA,GK,Udinese,23,1999,21.0,,0,,,,,,,,,,,1,,,,Matches
418,Mathías Olivera,uy URU,DF,Napoli,25,1997,17.4,,29,,,,,,,,,,,19,,,,Matches
419,Gaetano Oristanio,it ITA,"FW,MF",Cagliari,20,2002,12.3,,10,,,,,,,,,,,9,,,,Matches
420,Riccardo Orsolini,it ITA,MF,Bologna,26,1997,19.9,,14,,,,,,,,,,,8,,,,Matches
421,Victor Osimhen,ng NGA,FW,Napoli,24,1998,22.0,,8,,,,,,,,,,,2,,,,Matches
422,Remi Oudin,fr FRA,"MF,FW",Lecce,26,1996,20.2,,13,,,,,,,,,,,21,,,,Matches
423,Anthony Oyono,ga GAB,"DF,MF",Frosinone,22,2001,13.3,,27,,,,,,,,,,,9,,,,Matches
424,Simone Pafundi,it ITA,FW,Udinese,17,2006,0.1,,0,,,,,,,,,,,0,,,,Matches
425,Riccardo Pagano,it ITA,MF,Roma,18,2004,0.6,,2,,,,,,,,,,,0,,,,Matches
426,Christos Papadopoulos,gr GRE,MF,Genoa,18,2004,0.0,,0,,,,,,,,,,,0,,,,Matches
427,Leandro Paredes,ar ARG,MF,Roma,29,1994,29.3,,35,,,,,,,,,,,27,,,,Matches
428,Fabiano Parisi,it ITA,DF,Fiorentina,22,2000,16.2,,14,,,,,,,,,,,17,,,,Matches
429,Mario Pašalić,hr CRO,MF,Atalanta,28,1995,22.8,,16,,,,,,,,,,,17,,,,Matches
430,Triantafyllos Pasaridīs,gr GRE,DF,Salernitana,27,1996,5.0,,7,,,,,,,,,,,3,,,,Matches
431,Patric,es ESP,DF,Lazio,30,1993,17.9,,8,,,,,,,,,,,4,,,,Matches
432,Rui Patrício,pt POR,GK,Roma,35,1988,23.0,,0,,,,,,,,,,,0,,,,Matches
433,Benjamin Pavard,fr FRA,DF,Inter,27,1996,18.6,,24,,,,,,,,,,,31,,,,Matches
434,Leonardo Pavoletti,it ITA,FW,Cagliari,34,1988,7.0,,1,,,,,,,,,,,0,,,,Matches
435,Martín Payero,ar ARG,MF,Udinese,24,1998,20.0,,33,,,,,,,,,,,13,,,,Matches
436,Marcus Pedersen,no NOR,DF,Sassuolo,23,2000,17.9,,24,,,,,,,,,,,10,,,,Matches
437,Pedro,es ESP,FW,Lazio,36,1987,9.1,,12,,,,,,,,,,,2,,,,Matches
438,Pietro Pellegri,it ITA,"FW,MF",Torino,22,2001,8.4,,1,,,,,,,,,,,2,,,,Matches
439,Lorenzo Pellegrini,it ITA,MF,Roma,27,1996,20.7,,20,,,,,,,,,,,20,,,,Matches
440,Luca Pellegrini,it ITA,"DF,MF",Lazio,24,1999,8.7,,14,,,,,,,,,,,8,,,,Matches
441,Marco Pellegrino,ar ARG,DF,Salernitana,21,2002,6.1,,6,,,,,,,,,,,10,,,,Matches
442,Marco Pellegrino,ar ARG,DF,Milan,21,2002,0.8,,1,,,,,,,,,,,1,,,,Matches
443,Pepín,gq EQG,MF,Monza,26,1996,2.7,,1,,,,,,,,,,,0,,,,Matches
