Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,35,1987,31,31,2781,30.9,4,0,4,3,1,1,5,0,0.13,0.00,0.13,0.10,0.10,Matches
3,Salis Abdul Samed,gh GHA,MF,Lens,23,2000,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,30,1993,33,32,2860,31.8,2,1,3,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,Matches
5,Matthis Abline,fr FRA,"FW,MF",Nantes,20,2003,22,12,1044,11.6,5,0,5,5,0,0,1,0,0.43,0.00,0.43,0.43,0.43,Matches
7,Akor Adams,ng NGA,FW,Montpellier,23,2000,32,27,2252,25.0,8,1,9,8,0,0,2,0,0.32,0.04,0.36,0.32,0.36,Matches
8,Nathaniel Adjei,gh GHA,DF,Lorient,20,2002,15,14,1243,13.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Emmanuel Agbadou,ci CIV,DF,Reims,26,1997,32,29,2596,28.8,1,1,2,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,Matches
12,Ruben Aguilar,fr FRA,"MF,DF",Lens,30,1993,25,22,1922,21.4,1,3,4,1,0,0,3,0,0.05,0.14,0.19,0.05,0.19,Matches
13,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,25,1998,19,10,902,10.0,2,0,2,2,0,0,0,1,0.20,0.00,0.20,0.20,0.20,Matches
15,Maghnes Akliouche,fr FRA,MF,Monaco,21,2002,28,18,1613,17.9,7,4,11,7,0,0,5,0,0.39,0.22,0.61,0.39,0.61,Matches
19,Nabil Alioui,fr FRA,"MF,FW",Le Havre,24,1999,18,12,1009,11.2,4,1,5,4,0,0,1,0,0.36,0.09,0.45,0.36,0.45,Matches
20,Jim Allevinah,ga GAB,MF,Clermont Foot,28,1995,29,22,1861,20.7,2,1,3,2,0,0,1,0,0.10,0.05,0.15,0.10,0.15,Matches
25,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,27,1996,16,10,997,11.1,3,2,5,3,0,0,3,0,0.27,0.18,0.45,0.27,0.45,Matches
26,Benjamin André,fr FRA,MF,Lille,32,1990,30,29,2570,28.6,4,0,4,4,0,0,8,0,0.14,0.00,0.14,0.14,0.14,Matches
28,Ângelo,br BRA,"MF,FW",Strasbourg,18,2004,21,11,1094,12.2,0,3,3,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches
32,Marco Asensio,es ESP,"MF,FW",Paris Saint-Germain,27,1996,19,13,1113,12.4,4,5,9,4,0,0,0,0,0.32,0.40,0.73,0.32,0.73,Matches
34,Lorenz Assignon,tg TOG,DF,Rennes,23,2000,14,12,1011,11.2,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches
37,Arthur Atta,fr FRA,MF,Metz,20,2003,21,10,924,10.3,1,2,3,1,0,0,0,0,0.10,0.19,0.29,0.10,0.29,Matches
38,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,34,1989,34,30,2622,29.1,17,8,25,13,4,4,4,0,0.58,0.27,0.86,0.45,0.72,Matches
39,André Ayew,gh GHA,"FW,MF",Le Havre,33,1989,19,12,1104,12.3,5,0,5,5,0,0,2,1,0.41,0.00,0.41,0.41,0.41,Matches
40,Neil El Aynaoui,ma MAR,MF,Lens,22,2001,25,17,1566,17.4,1,2,3,1,0,0,1,0,0.06,0.11,0.17,0.06,0.17,Matches
44,Tiemoué Bakayoko,fr FRA,MF,Lorient,28,1994,20,15,1314,14.6,2,1,3,2,0,0,5,0,0.14,0.07,0.21,0.14,0.21,Matches
45,Dilane Bakwa,fr FRA,"MF,FW",Strasbourg,20,2002,31,25,2177,24.2,3,6,9,3,0,0,4,1,0.12,0.25,0.37,0.12,0.37,Matches
47,Leonardo Balerdi,ar ARG,DF,Marseille,24,1999,27,26,2271,25.2,2,0,2,2,0,0,6,1,0.08,0.00,0.08,0.08,0.08,Matches
48,Folarin Balogun,us USA,FW,Monaco,22,2001,29,19,1692,18.8,7,5,12,7,0,3,1,0,0.37,0.27,0.64,0.37,0.64,Matches
49,Mohamed Bamba,ci CIV,FW,Lorient,21,2001,16,14,1138,12.6,8,3,11,7,1,1,3,0,0.63,0.24,0.87,0.55,0.79,Matches
52,Bradley Barcola,fr FRA,"FW,MF",Paris Saint-Germain,20,2002,25,18,1370,15.2,4,7,11,4,0,0,3,1,0.26,0.46,0.72,0.26,0.72,Matches
53,Melvin Bard,fr FRA,DF,Nice,22,2000,32,31,2654,29.5,1,2,3,1,0,0,7,1,0.03,0.07,0.10,0.03,0.10,Matches
59,Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
61,Jeanuël Belocian,fr FRA,DF,Rennes,18,2005,23,16,1448,16.1,0,1,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,Matches
63,Wissam Ben Yedder,fr FRA,FW,Monaco,32,1990,32,26,2316,25.7,16,2,18,15,1,1,2,0,0.62,0.08,0.70,0.58,0.66,Matches
65,Nabil Bentaleb,dz ALG,MF,Lille,28,1994,26,23,1967,21.9,0,3,3,0,0,0,7,0,0.00,0.14,0.14,0.00,0.14,Matches
66,Lucas Beraldo,br BRA,DF,Paris Saint-Germain,19,2003,13,12,1008,11.2,1,0,1,1,0,0,4,1,0.09,0.00,0.09,0.09,0.09,Matches
68,Marco Bizot,nl NED,GK,Brest,32,1991,32,32,2876,32.0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
70,Ludovic Blas,fr FRA,"MF,FW",Rennes,25,1997,29,18,1563,17.4,4,1,5,3,1,2,3,0,0.23,0.06,0.29,0.17,0.23,Matches
72,Jeremie Boga,ci CIV,"FW,MF",Nice,26,1997,28,24,1998,22.2,6,6,12,6,0,0,1,0,0.27,0.27,0.54,0.27,0.54,Matches
74,Neto Borges,br BRA,"MF,DF",Clermont Foot,26,1996,28,28,2516,28.0,0,1,1,0,0,0,3,1,0.00,0.04,0.04,0.00,0.04,Matches
80,Hicham Boudaoui,dz ALG,MF,Nice,23,1999,29,17,1613,17.9,2,0,2,2,0,0,5,0,0.11,0.00,0.11,0.11,0.11,Matches
81,Benjamin Bourigeaud,fr FRA,MF,Rennes,29,1994,32,29,2425,26.9,9,6,15,2,7,7,1,0,0.33,0.22,0.56,0.07,0.30,Matches
82,Bilal Boutobba,fr FRA,"MF,FW",Clermont Foot,24,1998,27,10,926,10.3,1,1,2,1,0,0,1,0,0.10,0.10,0.19,0.10,0.19,Matches
86,Lilian Brassier,fr FRA,DF,Brest,23,1999,30,30,2677,29.7,3,0,3,3,0,0,11,1,0.10,0.00,0.10,0.10,0.10,Matches
88,Marcin Bułka,pl POL,GK,Nice,23,1999,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Rémy Cabella,fr FRA,"MF,FW",Lille,33,1990,30,14,1477,16.4,2,2,4,2,0,0,0,0,0.12,0.12,0.24,0.12,0.24,Matches
90,Duje Ćaleta-Car,hr CRO,DF,Lyon,26,1996,24,22,1993,22.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
91,Lamine Camara,sn SEN,MF,Metz,19,2004,31,26,2255,25.1,1,4,5,1,0,1,3,0,0.04,0.16,0.20,0.04,0.20,Matches
92,Mahdi Camara,fr FRA,MF,Brest,25,1998,32,26,2020,22.4,7,3,10,6,1,1,7,0,0.31,0.13,0.45,0.27,0.40,Matches
93,Mohamed Camara,ml MLI,MF,Monaco,23,2000,20,14,1035,11.5,1,2,3,0,1,1,4,0,0.09,0.17,0.26,0.00,0.17,Matches
95,Fali Candé,gw GNB,DF,Metz,25,1998,25,20,1849,20.5,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches
97,Maxence Caqueret,fr FRA,MF,Lyon,23,2000,34,34,3022,33.6,1,3,4,1,0,0,1,0,0.03,0.09,0.12,0.03,0.12,Matches
100,Josué Casimir,ht HAI,"MF,FW",Le Havre,21,2001,30,25,2016,22.4,0,5,5,0,0,0,6,0,0.00,0.22,0.22,0.00,0.22,Matches
101,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,23,2000,32,23,1946,21.6,1,3,4,1,0,0,1,0,0.05,0.14,0.18,0.05,0.18,Matches
102,Jean-Charles Castelletto,cm CMR,DF,Nantes,28,1995,28,28,2464,27.4,2,0,2,2,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches
103,Maximiliano Caufriez,be BEL,DF,Clermont Foot,26,1997,20,20,1659,18.4,0,1,1,0,0,0,6,3,0.00,0.05,0.05,0.00,0.05,Matches
107,Muhammed Cham,at AUT,"MF,FW",Clermont Foot,22,2000,33,29,2554,28.4,8,4,12,4,4,5,4,0,0.28,0.14,0.42,0.14,0.28,Matches
108,Brendan Chardonnet,fr FRA,DF,Brest,28,1994,33,33,2970,33.0,1,1,2,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,Matches
110,Rayan Cherki,fr FRA,"MF,FW",Lyon,19,2003,33,19,1719,19.1,1,6,7,1,0,0,0,0,0.05,0.31,0.37,0.05,0.37,Matches
111,Lucas Chevalier,fr FRA,GK,Lille,21,2001,33,33,2969,33.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Pedro Chirivella,es ESP,MF,Nantes,26,1997,32,31,2594,28.8,1,1,2,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,Matches
113,Joris Chotard,fr FRA,MF,Montpellier,21,2001,31,30,2587,28.7,0,3,3,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches
117,Jonathan Clauss,fr FRA,"DF,MF",Marseille,30,1992,27,25,2068,23.0,3,4,7,3,0,0,2,1,0.13,0.17,0.30,0.13,0.30,Matches
118,Marcus Coco,fr FRA,"MF,DF",Nantes,27,1996,28,18,1481,16.5,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches
119,Maxime Colin,fr FRA,DF,Metz,31,1991,22,22,1832,20.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
120,Eray Cömert,ch SUI,DF,Nantes,25,1998,25,23,1995,22.2,2,0,2,2,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches
124,David Costa,pt POR,MF,Lens,22,2001,25,17,1494,16.6,4,2,6,4,0,0,3,0,0.24,0.12,0.36,0.24,0.36,Matches
125,Logan Costa,cv CPV,DF,Toulouse,22,2001,31,29,2650,29.4,1,1,2,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,Matches
131,Thijs Dallinga,nl NED,FW,Toulouse,22,2000,33,28,2510,27.9,14,2,16,13,1,3,6,0,0.50,0.07,0.57,0.47,0.54,Matches
132,Kevin Danso,at AUT,DF,Lens,24,1998,30,30,2655,29.5,1,0,1,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,Matches
133,Dante,br BRA,DF,Nice,39,1983,32,32,2843,31.6,1,1,2,1,0,0,5,1,0.03,0.03,0.06,0.03,0.06,Matches
135,Mohamed Daramy,dk DEN,"FW,MF",Reims,21,2002,25,19,1648,18.3,4,5,9,3,1,1,0,0,0.22,0.27,0.49,0.16,0.44,Matches
137,Jonathan David,ca CAN,FW,Lille,23,2000,34,30,2629,29.2,19,4,23,17,2,3,4,0,0.65,0.14,0.79,0.58,0.72,Matches
138,Thibault De Smet,be BEL,"DF,MF",Reims,25,1998,27,22,1831,20.3,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
139,Romain Del Castillo,fr FRA,"MF,FW",Brest,27,1996,33,30,2497,27.7,8,8,16,5,3,3,4,0,0.29,0.29,0.58,0.18,0.47,Matches
140,Thomas Delaine,fr FRA,"MF,DF",Strasbourg,31,1992,27,24,2044,22.7,1,1,2,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09,Matches
143,Ousmane Dembélé,fr FRA,"FW,MF",Paris Saint-Germain,26,1997,26,17,1506,16.7,3,8,11,3,0,0,0,0,0.18,0.48,0.66,0.18,0.66,Matches
146,Mikkel Desler,dk DEN,"DF,MF",Toulouse,28,1995,24,19,1544,17.2,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
147,Arthur Desmas,fr FRA,GK,Le Havre,29,1994,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
150,Bafodé Diakité,fr FRA,DF,Lille,22,2001,21,19,1696,18.8,5,2,7,5,0,0,4,0,0.27,0.11,0.37,0.27,0.37,Matches
152,Oumar Diakité,ci CIV,FW,Reims,19,2003,28,18,1585,17.6,5,1,6,5,0,1,4,0,0.28,0.06,0.34,0.28,0.34,Matches
153,Habib Diarra,sn SEN,"MF,FW",Strasbourg,19,2004,31,28,2305,25.6,3,1,4,2,1,1,3,0,0.12,0.04,0.16,0.08,0.12,Matches
154,Moussa Diarra,ml MLI,DF,Toulouse,22,2000,22,15,1397,15.5,1,2,3,1,0,0,5,0,0.06,0.13,0.19,0.06,0.19,Matches
155,Krépin Diatta,sn SEN,"MF,DF",Monaco,24,1999,26,12,1206,13.4,0,2,2,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches
156,Mory Diaw,sn SEN,GK,Clermont Foot,30,1993,30,30,2700,30.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
163,Andy Diouf,fr FRA,MF,Lens,20,2003,25,16,1314,14.6,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
164,Yehvann Diouf,sn SEN,GK,Reims,23,1999,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
167,Gianluigi Donnarumma,it ITA,GK,Paris Saint-Germain,24,1999,25,25,2169,24.1,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
169,Désiré Doué,fr FRA,MF,Rennes,18,2005,31,17,1626,18.1,4,4,8,4,0,0,3,0,0.22,0.22,0.44,0.22,0.44,Matches
170,Guela Doué,ci CIV,DF,Rennes,20,2002,24,13,1234,13.7,0,2,2,0,0,0,1,1,0.00,0.15,0.15,0.00,0.15,Matches
171,Douglas,br BRA,MF,Nantes,26,1997,25,22,1772,19.7,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
172,Ismaël Doukouré,fr FRA,"MF,DF",Strasbourg,20,2003,22,19,1656,18.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
174,Jean-Kevin Duverne,ht HAI,DF,Nantes,26,1997,19,15,1348,15.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
175,Aron Dønnum,no NOR,"MF,FW",Toulouse,25,1998,27,19,1595,17.7,0,1,1,0,0,0,8,0,0.00,0.06,0.06,0.00,0.06,Matches
180,Emanuel Emegha,nl NED,FW,Strasbourg,20,2003,28,23,2078,23.1,8,1,9,8,0,1,3,0,0.35,0.04,0.39,0.35,0.39,Matches
181,Maxime Estève,fr FRA,DF,Montpellier,21,2002,12,12,995,11.1,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,Matches
183,Romain Faivre,fr FRA,MF,Lorient,25,1998,17,16,1453,16.1,5,1,6,5,0,0,1,0,0.31,0.06,0.37,0.31,0.37,Matches
185,Khalil Fayad,fr FRA,MF,Montpellier,19,2004,23,11,1025,11.4,3,0,3,3,0,0,2,0,0.26,0.00,0.26,0.26,0.26,Matches
187,Jordan Ferri,fr FRA,MF,Montpellier,31,1992,30,23,2031,22.6,1,1,2,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,Matches
189,Youssouf Fofana,fr FRA,MF,Monaco,24,1999,32,31,2697,30.0,4,4,8,4,0,0,3,0,0.13,0.13,0.27,0.13,0.27,Matches
190,Thomas Foket,be BEL,"DF,MF",Reims,28,1994,27,22,1833,20.4,0,1,1,0,0,0,9,1,0.00,0.05,0.05,0.00,0.05,Matches
192,Przemysław Frankowski,pl POL,MF,Lens,28,1995,30,24,2192,24.4,3,2,5,2,1,2,4,0,0.12,0.08,0.21,0.08,0.16,Matches
193,Angelo Fulgini,fr FRA,MF,Lens,26,1996,29,16,1376,15.3,1,2,3,1,0,0,1,0,0.07,0.13,0.20,0.07,0.20,Matches
194,Kévin Gameiro,fr FRA,"FW,MF",Strasbourg,36,1987,27,15,1346,15.0,4,2,6,2,2,2,0,0,0.27,0.13,0.40,0.13,0.27,Matches
196,Ulisses Garcia,ch SUI,"DF,MF",Marseille,27,1996,13,10,906,10.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
197,Johan Gastien,fr FRA,MF,Clermont Foot,35,1988,28,28,2260,25.1,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
198,Yann Gboho,fr FRA,"MF,FW",Toulouse,22,2001,16,13,1193,13.3,3,2,5,3,0,0,1,0,0.23,0.15,0.38,0.23,0.38,Matches
201,Samuel Gigot,fr FRA,DF,Marseille,29,1993,21,20,1726,19.2,3,0,3,3,0,0,7,1,0.16,0.00,0.16,0.16,0.16,Matches
202,Aleksandr Golovin,ru RUS,MF,Monaco,27,1996,25,25,2147,23.9,6,6,12,6,0,0,8,1,0.25,0.25,0.50,0.25,0.50,Matches
203,Angel Gomes,eng ENG,MF,Lille,22,2000,31,29,2571,28.6,0,8,8,0,0,0,5,0,0.00,0.28,0.28,0.00,0.28,Matches
204,Maxime Gonalons,fr FRA,MF,Clermont Foot,34,1989,21,17,1296,14.4,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches
206,Amine Gouiri,dz ALG,"FW,MF",Rennes,23,2000,31,24,2067,23.0,7,3,10,7,0,0,2,0,0.30,0.13,0.44,0.30,0.44,Matches
207,Jonathan Gradit,fr FRA,DF,Lens,30,1992,26,26,2112,23.5,1,0,1,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,Matches
210,Gabriel Gudmundsson,se SWE,"MF,DF",Lille,24,1999,25,14,1267,14.1,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
213,Evann Guessand,ci CIV,FW,Nice,22,2001,34,14,1553,17.3,6,0,6,4,2,2,1,0,0.35,0.00,0.35,0.23,0.23,Matches
216,Frederic Guilbert,fr FRA,"DF,MF",Strasbourg,28,1994,32,29,2490,27.7,2,0,2,2,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
220,Achraf Hakimi,ma MAR,"DF,MF",Paris Saint-Germain,24,1998,25,20,1932,21.5,4,5,9,4,0,0,3,0,0.19,0.23,0.42,0.19,0.42,Matches
221,Hákon Haraldsson,is ISL,"MF,FW",Lille,20,2003,26,15,1284,14.3,2,0,2,2,0,0,5,0,0.14,0.00,0.14,0.14,0.14,Matches
222,Amine Harit,ma MAR,MF,Marseille,26,1997,28,21,1821,20.2,1,2,3,1,0,0,5,0,0.05,0.10,0.15,0.05,0.15,Matches
226,Christophe Hérelle,mq MTQ,DF,Metz,30,1992,19,18,1617,18.0,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
227,Lucas Hernández,fr FRA,DF,Paris Saint-Germain,27,1996,27,23,1909,21.2,1,1,2,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,Matches
230,Ismaily,br BRA,DF,Lille,33,1990,30,28,2465,27.4,1,1,2,1,0,0,1,0,0.04,0.04,0.07,0.04,0.07,Matches
232,Junya Ito,jp JPN,"FW,MF",Reims,30,1993,31,31,2714,30.2,3,7,10,3,0,0,2,0,0.10,0.23,0.33,0.10,0.33,Matches
235,Ismail Jakobs,sn SEN,"MF,DF",Monaco,23,1999,22,16,1466,16.3,1,2,3,1,0,0,0,0,0.06,0.12,0.18,0.06,0.18,Matches
236,Ablie Jallow,gm GAM,"MF,FW",Metz,24,1998,17,10,918,10.2,3,2,5,2,1,1,1,0,0.29,0.20,0.49,0.20,0.39,Matches
237,Danley Jean-Jacques,ht HAI,MF,Metz,23,2000,33,30,2682,29.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
240,Christopher Jullien,fr FRA,DF,Montpellier,30,1993,20,13,1233,13.7,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches
241,Eli Junior Kroupi,fr FRA,FW,Lorient,17,2006,30,11,1084,12.0,5,3,8,5,0,0,1,0,0.42,0.25,0.66,0.42,0.66,Matches
246,Arnaud Kalimuendo,fr FRA,FW,Rennes,21,2002,30,25,2139,23.8,10,1,11,8,2,2,6,0,0.42,0.04,0.46,0.34,0.38,Matches
