Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alisson,br BRA,GK,Liverpool,30,1992,28.0,30,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Alphonse Areola,fr FRA,GK,West Ham United,30,1993,30.0,53,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Daniel Bentley,eng ENG,GK,Wolves,30,1993,4.3,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Martin Dúbravka,sk SVK,GK,Newcastle United,34,1989,22.1,42,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Ederson,br BRA,GK,Manchester City,29,1993,30.9,27,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Łukasz Fabiański,pl POL,GK,West Ham United,38,1985,8.0,21,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Mark Flekken,nl NED,GK,Brentford,30,1993,36.5,63,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Wes Foderingham,eng ENG,GK,Sheffield United,32,1991,29.4,79,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Ivo Grbić,hr CRO,GK,Sheffield United,27,1996,8.6,25,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18.0,30,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20.0,27,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Thomas Kaminski,be BEL,GK,Luton Town,30,1992,37.8,85,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Loris Karius,de GER,GK,Newcastle United,30,1993,1.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,10.0,11,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Bernd Leno,de GER,GK,Fulham,31,1992,38.0,61,8,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,33.5,48,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Remi Matthews,eng ENG,GK,Crystal Palace,29,1994,0.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Arijanet Muric,xk KVX,GK,Burnley,24,1998,10.0,16,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Neto,br BRA,GK,Bournemouth,34,1989,32.0,55,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Robin Olsen,se SWE,GK,Aston Villa,33,1990,4.5,13,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,André Onana,cm CMR,GK,Manchester Utd,27,1996,38.0,58,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Stefan Ortega,de GER,GK,Manchester City,30,1992,7.1,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Đorđe Petrović,rs SRB,GK,Chelsea,23,1999,22.1,38,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Jordan Pickford,eng ENG,GK,Everton,29,1994,38.0,51,8,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Nick Pope,eng ENG,GK,Newcastle United,31,1992,14.9,16,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Ionuț Radu,ro ROU,GK,Bournemouth,26,1997,2.0,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,6.0,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,David Raya,es ESP,GK,Arsenal,27,1995,32.0,24,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,José Sá,pt POR,GK,Wolves,30,1993,33.7,58,8,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Robert Sánchez,es ESP,GK,Chelsea,25,1997,15.9,25,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Matz Sels,be BEL,GK,Nottingham Forest,31,1992,16.0,27,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,James Shea,eng ENG,GK,Luton Town,32,1991,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Jason Steele,eng ENG,GK,Brighton,32,1990,17.0,34,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Thomas Strakosha,al ALB,GK,Brentford,28,1995,1.5,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,James Trafford,eng ENG,GK,Burnley,20,2002,28.0,62,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Mark Travers,ie IRL,GK,Bournemouth,24,1999,4.0,5,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Matt Turner,us USA,GK,Nottingham Forest,29,1994,17.0,28,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Bart Verbruggen,nl NED,GK,Brighton,20,2002,21.0,28,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Guglielmo Vicario,it ITA,GK,Tottenham Hotspur,26,1996,38.0,61,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
40,Odysseas Vlachodimos,gr GRE,GK,Nottingham Forest,29,1994,5.0,12,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
