player_name_tm,club_tm,season,market_value_eur
Gianluigi Donnarumma,Paris Saint-Germain,2024-25,40000000.0
Matvey Safonov,Paris Saint-Germain,2024-25,20000000.0
Arnau Tenas,Paris Saint-Germain,2024-25,3000000.0
Louis Mouquet,Paris Saint-Germain,2024-25,
Willian Pacho,Paris Saint-Germain,2024-25,65000000.0
Marquinhos,Paris Saint-Germain,2024-25,35000000.0
Lucas Beraldo,Paris Saint-Germain,2024-25,25000000.0
Milan Škriniar,Paris Saint-Germain,2024-25,15000000.0
Presnel Kimpembe,Paris Saint-Germain,2024-25,5000000.0
Axel Tape,Paris Saint-Germain,2024-25,2000000.0
Noham Kamara,Paris Saint-Germain,2024-25,500000.0
Naoufel El Hannach,Paris Saint-Germain,2024-25,
Nuno Mendes,Paris Saint-Germain,2024-25,70000000.0
Lucas Hernández,Paris Saint-Germain,2024-25,25000000.0
Achraf Hakimi,Paris Saint-Germain,2024-25,80000000.0
Yoram Zague,Paris Saint-Germain,2024-25,2500000.0
Vitinha,Paris Saint-Germain,2024-25,80000000.0
Gabriel Moscardo,Paris Saint-Germain,2024-25,8000000.0
João Neves,Paris Saint-Germain,2024-25,80000000.0
Warren Zaïre-Emery,Paris Saint-Germain,2024-25,55000000.0
Fabián Ruiz,Paris Saint-Germain,2024-25,40000000.0
Carlos Soler,Paris Saint-Germain,2024-25,18000000.0
Senny Mayulu,Paris Saint-Germain,2024-25,15000000.0
Kang-in Lee,Paris Saint-Germain,2024-25,25000000.0
Marco Asensio,Paris Saint-Germain,2024-25,20000000.0
Wassim Slama,Paris Saint-Germain,2024-25,
Khvicha Kvaratskhelia,Paris Saint-Germain,2024-25,90000000.0
Bradley Barcola,Paris Saint-Germain,2024-25,70000000.0
Quentin Ndjantou,Paris Saint-Germain,2024-25,
Désiré Doué,Paris Saint-Germain,2024-25,90000000.0
Ibrahim Mbaye,Paris Saint-Germain,2024-25,3000000.0
Ousmane Dembélé,Paris Saint-Germain,2024-25,90000000.0
Gonçalo Ramos,Paris Saint-Germain,2024-25,40000000.0
Randal Kolo Muani,Paris Saint-Germain,2024-25,30000000.0
Radoslaw Majecki,AS Monaco,2024-25,6000000.0
Philipp Köhn,AS Monaco,2024-25,5000000.0
Jules Stawiecki,AS Monaco,2024-25,200000.0
Yann Lienard,AS Monaco,2024-25,100000.0
Wilfried Singo,AS Monaco,2024-25,25000000.0
Thilo Kehrer,AS Monaco,2024-25,20000000.0
Christian Mawissa,AS Monaco,2024-25,15000000.0
Mohammed Salisu,AS Monaco,2024-25,12000000.0
Guillermo Maripán,AS Monaco,2024-25,4000000.0
Bradel Kiwa,AS Monaco,2024-25,
Caio Henrique,AS Monaco,2024-25,15000000.0
Ismail Jakobs,AS Monaco,2024-25,7000000.0
Kassoum Ouattara,AS Monaco,2024-25,7000000.0
Vanderson,AS Monaco,2024-25,20000000.0
Jordan Teze,AS Monaco,2024-25,9000000.0
Denis Zakaria,AS Monaco,2024-25,30000000.0
Soungoutou Magassa,AS Monaco,2024-25,12000000.0
Moatasem Al-Musrati,AS Monaco,2024-25,8000000.0
Aladji Bamba,AS Monaco,2024-25,
Samuel Nibombe,AS Monaco,2024-25,
Lamine Camara,AS Monaco,2024-25,22000000.0
Eliot Matazo,AS Monaco,2024-25,2000000.0
Edan Diop,AS Monaco,2024-25,600000.0
Mamadou Coulibaly,AS Monaco,2024-25,200000.0
Mayssam Benama,AS Monaco,2024-25,150000.0
Krépin Diatta,AS Monaco,2024-25,7000000.0
Aleksandr Golovin,AS Monaco,2024-25,20000000.0
Saïmon Bouabré,AS Monaco,2024-25,300000.0
Eliesse Ben Seghir,AS Monaco,2024-25,28000000.0
Takumi Minamino,AS Monaco,2024-25,15000000.0
Lucas Michal,AS Monaco,2024-25,500000.0
Maghnes Akliouche,AS Monaco,2024-25,45000000.0
Mika Biereth,AS Monaco,2024-25,30000000.0
Folarin Balogun,AS Monaco,2024-25,18000000.0
George Ilenikhena,AS Monaco,2024-25,15000000.0
Breel Embolo,AS Monaco,2024-25,12000000.0
Joan Tincres,AS Monaco,2024-25,100000.0
Gerónimo Rulli,Olympique Marseille,2024-25,8000000.0
Jeffrey de Lange,Olympique Marseille,2024-25,2000000.0
Rubén Blanco,Olympique Marseille,2024-25,1000000.0
Jelle Van Neck,Olympique Marseille,2024-25,50000.0
Leonardo Balerdi,Olympique Marseille,2024-25,20000000.0
Lilian Brassier,Olympique Marseille,2024-25,10000000.0
Luiz Felipe,Olympique Marseille,2024-25,5000000.0
Derek Cornelius,Olympique Marseille,2024-25,5000000.0
Bamo Meïté,Olympique Marseille,2024-25,4000000.0
Chancel Mbemba,Olympique Marseille,2024-25,2000000.0
Roggerio Nyakossi,Olympique Marseille,2024-25,500000.0
Rony Mimb Baheng,Olympique Marseille,2024-25,
Quentin Merlin,Olympique Marseille,2024-25,15000000.0
Ulisses Garcia,Olympique Marseille,2024-25,5000000.0
Alexi Koum,Olympique Marseille,2024-25,100000.0
Amar Dedić,Olympique Marseille,2024-25,12000000.0
Amir Murillo,Olympique Marseille,2024-25,10000000.0
Pol Lirola,Olympique Marseille,2024-25,4000000.0
Pierre-Emile Højbjerg,Olympique Marseille,2024-25,20000000.0
Ismaël Bennacer,Olympique Marseille,2024-25,15000000.0
Geoffrey Kondogbia,Olympique Marseille,2024-25,7000000.0
Adrien Rabiot,Olympique Marseille,2024-25,25000000.0
Ismaël Koné,Olympique Marseille,2024-25,9000000.0
Valentin Rongier,Olympique Marseille,2024-25,9000000.0
Bilal Nadir,Olympique Marseille,2024-25,5000000.0
Gaël Lafont,Olympique Marseille,2024-25,
Luis Henrique,Olympique Marseille,2024-25,25000000.0
Valentín Carboni,Olympique Marseille,2024-25,12000000.0
Enzo Sternal,Olympique Marseille,2024-25,1500000.0
Darryl Bakola,Olympique Marseille,2024-25,200000.0
Jonathan Rowe,Olympique Marseille,2024-25,12000000.0
Amine Harit,Olympique Marseille,2024-25,8000000.0
Salim Ben Seghir,Olympique Marseille,2024-25,400000.0
Mason Greenwood,Olympique Marseille,2024-25,40000000.0
Keyliane Abdallah,Olympique Marseille,2024-25,100000.0
Amine Gouiri,Olympique Marseille,2024-25,30000000.0
Elye Wahi,Olympique Marseille,2024-25,22000000.0
Neal Maupay,Olympique Marseille,2024-25,8000000.0
Faris Moumbagna,Olympique Marseille,2024-25,5000000.0
Robinio Vaz,Olympique Marseille,2024-25,150000.0
Lucas Chevalier,LOSC Lille,2024-25,30000000.0
Lisandru Olmeta,LOSC Lille,2024-25,150000.0
Vito Mannone,LOSC Lille,2024-25,150000.0
Marc-Aurèle Caillard,LOSC Lille,2024-25,100000.0
Bafodé Diakité,LOSC Lille,2024-25,28000000.0
Alexsandro,LOSC Lille,2024-25,20000000.0
Samuel Umtiti,LOSC Lille,2024-25,1500000.0
Aïssa Mandi,LOSC Lille,2024-25,1200000.0
Rafael Fernandes,LOSC Lille,2024-25,1000000.0
Ousmane Touré,LOSC Lille,2024-25,500000.0
Isaac Cossier,LOSC Lille,2024-25,
Gabriel Gudmundsson,LOSC Lille,2024-25,7000000.0
Ismaily,LOSC Lille,2024-25,1200000.0
Tiago Santos,LOSC Lille,2024-25,15000000.0
Thomas Meunier,LOSC Lille,2024-25,2000000.0
Akim Zedadka,LOSC Lille,2024-25,700000.0
Morgan Costarelli,LOSC Lille,2024-25,
Ngal'ayel Mukau,LOSC Lille,2024-25,15000000.0
Nabil Bentaleb,LOSC Lille,2024-25,6000000.0
Benjamin André,LOSC Lille,2024-25,5000000.0
Ugo Raghouber,LOSC Lille,2024-25,4000000.0
Lilian Baret,LOSC Lille,2024-25,
Ayyoub Bouaddi,LOSC Lille,2024-25,28000000.0
André Gomes,LOSC Lille,2024-25,6000000.0
Mitchel Bakker,LOSC Lille,2024-25,7000000.0
Vincent Burlet,LOSC Lille,2024-25,600000.0
Angel Gomes,LOSC Lille,2024-25,20000000.0
Hákon Arnar Haraldsson,LOSC Lille,2024-25,18000000.0
Rémy Cabella,LOSC Lille,2024-25,2500000.0
Matías Fernández-Pardo,LOSC Lille,2024-25,15000000.0
Osame Sahraoui,LOSC Lille,2024-25,12000000.0
Younes Lachaab,LOSC Lille,2024-25,50000.0
Soriba Diaoune,LOSC Lille,2024-25,
Edon Zhegrova,LOSC Lille,2024-25,25000000.0
Ethan Mbappé,LOSC Lille,2024-25,5000000.0
Aaron Malouda,LOSC Lille,2024-25,150000.0
Jonathan David,LOSC Lille,2024-25,45000000.0
Chuba Akpom,LOSC Lille,2024-25,7000000.0
Andrej Ilic,LOSC Lille,2024-25,4000000.0
Mohamed Bayo,LOSC Lille,2024-25,2800000.0
Lucas Perri,Olympique Lyon,2024-25,10000000.0
Anthony Lopes,Olympique Lyon,2024-25,1200000.0
Rémy Descamps,Olympique Lyon,2024-25,1200000.0
Justin Bengui,Olympique Lyon,2024-25,400000.0
Lassine Diarra,Olympique Lyon,2024-25,50000.0
Matthias da Silva,Olympique Lyon,2024-25,
Moussa Niakhaté,Olympique Lyon,2024-25,15000000.0
Duje Caleta-Car,Olympique Lyon,2024-25,7000000.0
Adryelson,Olympique Lyon,2024-25,3500000.0
Clinton Mata,Olympique Lyon,2024-25,3500000.0
Warmed Omari,Olympique Lyon,2024-25,3000000.0
Abner,Olympique Lyon,2024-25,7000000.0
Nicolás Tagliafico,Olympique Lyon,2024-25,6000000.0
Ainsley Maitland-Niles,Olympique Lyon,2024-25,12000000.0
Saël Kumbedi,Olympique Lyon,2024-25,7000000.0
Téo Barišić,Olympique Lyon,2024-25,
Orel Mangala,Olympique Lyon,2024-25,18000000.0
Tanner Tessmann,Olympique Lyon,2024-25,6000000.0
Nemanja Matić,Olympique Lyon,2024-25,2000000.0
Paul Akouokou,Olympique Lyon,2024-25,800000.0
Mathys De Carvalho,Olympique Lyon,2024-25,
Maxence Caqueret,Olympique Lyon,2024-25,16000000.0
Corentin Tolisso,Olympique Lyon,2024-25,12000000.0
Jordan Veretout,Olympique Lyon,2024-25,4000000.0
Mahamadou Diawara,Olympique Lyon,2024-25,2000000.0
Rayan Cherki,Olympique Lyon,2024-25,45000000.0
Malick Fofana,Olympique Lyon,2024-25,30000000.0
Thiago Almada,Olympique Lyon,2024-25,25000000.0
Saïd Benrahma,Olympique Lyon,2024-25,10000000.0
Wilfried Zaha,Olympique Lyon,2024-25,5000000.0
Ernest Nuamah,Olympique Lyon,2024-25,15000000.0
Georges Mikautadze,Olympique Lyon,2024-25,22000000.0
Gift Orban,Olympique Lyon,2024-25,10000000.0
Alexandre Lacazette,Olympique Lyon,2024-25,6000000.0
Mama Baldé,Olympique Lyon,2024-25,4000000.0
Alejandro Gomes Rodríguez,Olympique Lyon,2024-25,100000.0
