Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
2,Noah Atubolu,de GER,GK,Freiburg,22,2002,26,26,2307,25.6,37,1.44,118,82,68.6,12,6,8,10,38.5,2,0,2,0,100.0,Matches
3,Oliver Baumann,de GER,GK,Hoffenheim,34,1990,28,28,2520,28.0,53,1.89,137,88,62.8,6,8,14,4,14.3,5,2,3,0,60.0,Matches
5,Finn Dahmen,de GER,GK,Augsburg,26,1998,19,19,1710,19.0,19,1.00,82,65,79.3,7,6,6,9,47.4,2,2,0,0,0.0,Matches
7,Patrick Drewes,de GER,GK,Bochum,31,1993,21,21,1890,21.0,46,2.19,94,53,54.3,3,4,14,3,14.3,5,3,2,0,40.0,Matches
9,Kamil Grabara,pl POL,GK,Wolfsburg,25,1999,29,29,2585,28.7,49,1.71,137,89,65.7,9,7,13,5,17.2,3,2,1,0,33.3,Matches
10,Péter Gulácsi,hu HUN,GK,RB Leipzig,34,1990,30,30,2631,29.2,39,1.33,136,99,72.8,12,11,7,14,46.7,3,2,1,0,33.3,Matches
11,Timo Horn,de GER,GK,Bochum,31,1993,13,13,1170,13.0,22,1.69,55,33,60.0,3,3,7,3,23.1,1,0,0,1,,Matches
12,Lukáš Hrádecký,fi FIN,GK,Leverkusen,34,1989,29,29,2610,29.0,38,1.31,119,85,71.4,16,11,2,6,20.7,4,4,0,0,0.0,Matches
13,Gregor Kobel,ch SUI,GK,Dortmund,26,1997,32,32,2880,32.0,47,1.47,128,84,66.4,16,6,10,7,21.9,4,4,0,0,0.0,Matches
15,Nediljko Labrović,hr CRO,GK,Augsburg,24,1999,15,15,1350,15.0,32,2.13,71,42,59.2,4,4,7,2,13.3,3,3,0,0,0.0,Matches
18,Kevin Müller,de GER,GK,Heidenheim,33,1991,33,33,2939,32.7,64,1.96,164,106,64.6,7,5,21,8,24.2,6,6,0,0,0.0,Matches
20,Manuel Neuer,de GER,GK,Bayern Munich,38,1986,22,22,1980,22.0,15,0.68,46,30,69.6,18,4,0,13,59.1,2,1,0,1,0.0,Matches
21,Moritz Nicolas,de GER,GK,Gladbach,26,1997,19,19,1639,18.2,25,1.37,88,68,77.3,9,4,6,4,21.1,5,5,0,0,0.0,Matches
22,Alexander Nübel,de GER,GK,Stuttgart,27,1996,34,34,3060,34.0,53,1.56,134,84,61.9,14,8,12,7,20.6,3,2,1,0,33.3,Matches
23,Jonas Omlin,ch SUI,GK,Gladbach,30,1994,12,11,978,10.9,29,2.67,72,46,62.5,2,1,8,1,9.1,3,2,1,0,33.3,Matches
27,Frederik Rønnow,dk DEN,GK,Union Berlin,31,1992,28,28,2520,28.0,37,1.32,104,72,65.4,8,10,10,8,28.6,5,1,4,0,80.0,Matches
31,Kevin Trapp,de GER,GK,Eintracht Frankfurt,34,1990,26,26,2295,25.5,34,1.33,114,82,70.2,12,8,6,6,23.1,2,0,2,0,100.0,Matches
35,Nikola Vasilj,ba BIH,GK,St Pauli,28,1995,33,33,2969,33.0,39,1.18,127,93,70.1,8,7,18,9,27.3,5,1,4,0,80.0,Matches
36,Timon Weiner,de GER,GK,Holstein Kiel,25,1999,25,25,2250,25.0,61,2.44,141,82,59.6,4,5,16,2,8.0,4,4,0,0,0.0,Matches
37,Robin Zentner,de GER,GK,Mainz 05,29,1994,32,32,2880,32.0,41,1.28,137,101,73.0,13,9,10,9,28.1,5,4,1,0,20.0,Matches
38,Michael Zetterer,de GER,GK,Werder Bremen,29,1995,34,34,3060,34.0,57,1.68,158,103,65.8,14,9,11,10,29.4,3,3,0,0,0.0,Matches
