Rk,Squad
1,Barcelona
2,Real Madrid
3,Atlético Madrid
4,Athletic Club
5,Villarreal
6,Real Betis
7,Celta Vigo
8,Rayo Vallecano
9,Osasuna
10,Mallorca
11,Real Sociedad
12,Valencia
13,Getafe
14,Espanyol
15,Alavés
16,Girona
17,Sevilla
18,Leganés
19,Las Palmas
20,Valladolid
