Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,22,2000,14.1,,,,,,,,,,,,,,,2,,,,,,Matches
2,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,19,2003,1.1,,,,,,,,,,,,,,,1,,,,,,Matches
3,Junior Adamu,at AUT,FW,Freiburg,22,2001,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
4,Sargis Adamyan,am ARM,"FW,MF",Köln,30,1993,8.9,,,,,,,,,,,,,,,2,,,,,,Matches
5,Karim Adeyemi,de GER,"FW,MF",Dortmund,21,2002,10.1,,,,,,,,,,,,,,,1,,,,,,Matches
6,Amine Adli,ma MAR,"MF,FW",Leverkusen,23,2000,10.0,,,,,,,,,,,,,,,6,,,,,,Matches
7,Felix Agu,ng NGA,MF,Werder Bremen,23,1999,17.9,,,,,,,,,,,,,,,0,,,,,,Matches
8,Ludovic Ajorque,fr FRA,FW,Mainz 05,29,1994,15.1,,,,,,,,,,,,,,,0,,,,,,Matches
9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28,1995,12.2,,,,,,,,,,,,,,,0,,,,,,Matches
10,Faride Alidou,de GER,"MF,FW",Köln,22,2001,14.2,,,,,,,,,,,,,,,0,,,,,,Matches
11,Skelly Alvero,fr FRA,MF,Werder Bremen,21,2002,1.4,,,,,,,,,,,,,,,0,,,,,,Matches
12,Nadiem Amiri,de GER,MF,Mainz 05,26,1996,14.6,,,,,,,,,,,,,,,4,,,,,,Matches
13,Nadiem Amiri,de GER,MF,Leverkusen,26,1996,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
14,Kofi Amoako,de GER,MF,Wolfsburg,18,2005,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
15,Robert Andrich,de GER,"MF,DF",Leverkusen,28,1994,18.8,,,,,,,,,,,,,,,2,,,,,,Matches
16,Waldemar Anton,de GER,DF,Stuttgart,27,1996,32.1,,,,,,,,,,,,,,,3,,,,,,Matches
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29,1994,13.5,,,,,,,,,,,,,,,2,,,,,,Matches
18,Asaf Arania,il ISR,FW,Darmstadt 98,17,2005,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
19,Maximilian Arnold,de GER,MF,Wolfsburg,29,1994,27.8,,,,,,,,,,,,,,,1,,,,,,Matches
20,Arthur,br BRA,MF,Leverkusen,20,2003,2.0,,,,,,,,,,,,,,,2,,,,,,Matches
21,Takuma Asano,jp JPN,"FW,MF",Bochum,28,1994,22.1,,,,,,,,,,,,,,,1,,,,,,Matches
22,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,17,2006,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
23,Noah Atubolu,de GER,GK,Freiburg,21,2002,34.0,,,,,,,,,,,,,,,0,,,,,,Matches
24,Matthias Bader,de GER,"MF,DF",Darmstadt 98,26,1997,20.0,,,,,,,,,,,,,,,2,,,,,,Matches
25,Ridle Baku,de GER,"MF,DF",Wolfsburg,25,1998,22.4,,,,,,,,,,,,,,,0,,,,,,Matches
26,Samuel Bamba,de GER,FW,Dortmund,19,2004,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
27,Aymen Barkok,ma MAR,MF,Mainz 05,25,1998,3.6,,,,,,,,,,,,,,,0,,,,,,Matches
28,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23,2000,29.0,,,,,,,,,,,,,,,1,,,,,,Matches
29,Daniel Batz,de GER,GK,Mainz 05,32,1991,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
30,Maximilian Bauer,de GER,DF,Augsburg,23,2000,9.0,,,,,,,,,,,,,,,0,,,,,,Matches
31,Elias Baum,de GER,DF,Eintracht Frankfurt,17,2005,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
32,Oliver Baumann,de GER,GK,Hoffenheim,33,1990,34.0,,,,,,,,,,,,,,,1,,,,,,Matches
33,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,23,1999,12.9,,,,,,,,,,,,,,,1,,,,,,Matches
34,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,29,1994,18.2,,,,,,,,,,,,,,,5,,,,,,Matches
35,Adrian Beck,de GER,MF,Heidenheim,26,1997,10.8,,,,,,,,,,,,,,,1,,,,,,Matches
36,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28,1995,7.2,,,,,,,,,,,,,,,1,,,,,,Matches
37,Chris Bedia,ci CIV,FW,Union Berlin,27,1996,1.6,,,,,,,,,,,,,,,0,,,,,,Matches
38,Donny van de Beek,nl NED,"MF,FW",Eintracht Frankfurt,26,1997,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
39,Kevin Behrens,de GER,FW,Wolfsburg,32,1991,6.8,,,,,,,,,,,,,,,1,,,,,,Matches
40,Kevin Behrens,de GER,FW,Union Berlin,32,1991,14.0,,,,,,,,,,,,,,,0,,,,,,Matches
41,Maximilian Beier,de GER,"FW,MF",Hoffenheim,20,2002,26.9,,,,,,,,,,,,,,,1,,,,,,Matches
42,Stefan Bell,de GER,DF,Mainz 05,31,1991,7.4,,,,,,,,,,,,,,,0,,,,,,Matches
43,Ramy Bensebaini,dz ALG,DF,Dortmund,28,1995,11.5,,,,,,,,,,,,,,,0,,,,,,Matches
44,Mergim Berisha,de GER,FW,Hoffenheim,25,1998,1.6,,,,,,,,,,,,,,,0,,,,,,Matches
45,Mergim Berisha,de GER,FW,Augsburg,25,1998,1.4,,,,,,,,,,,,,,,0,,,,,,Matches
46,Bernardo,br BRA,DF,Bochum,28,1995,32.5,,,,,,,,,,,,,,,0,,,,,,Matches
47,Matúš Bero,sk SVK,"MF,FW",Bochum,27,1995,18.5,,,,,,,,,,,,,,,1,,,,,,Matches
48,Jan-Niklas Beste,de GER,MF,Heidenheim,24,1999,28.9,,,,,,,,,,,,,,,11,,,,,,Matches
49,Pep Biel,es ESP,"FW,MF",Augsburg,26,1996,3.2,,,,,,,,,,,,,,,0,,,,,,Matches
