Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
50,Tom Bischof,de GER,MF,Hoffenheim,18,2005,2.0,,,,,,,,,,,,,,,2,,,,,,Matches
51,Leonardo Bittencourt,de GER,MF,Werder Bremen,29,1993,17.5,,,,,,,,,,,,,,,2,,,,,,Matches
52,Hendry Blank,de GER,DF,Dortmund,18,2004,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
53,Janis Blaswich,de GER,GK,RB Leipzig,32,1991,21.0,,,,,,,,,,,,,,,0,,,,,,Matches
54,Sacha Boey,fr FRA,MF,Bayern Munich,22,2000,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
55,Victor Boniface,ng NGA,FW,Leverkusen,22,2000,17.2,,,,,,,,,,,,,,,8,,,,,,Matches
56,Leonardo Bonucci,it ITA,DF,Union Berlin,36,1987,5.1,,,,,,,,,,,,,,,0,,,,,,Matches
57,Yvandro Borges Sanches,lu LUX,MF,Gladbach,19,2004,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
58,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24,1999,15.9,,,,,,,,,,,,,,,0,,,,,,Matches
59,Rafael Borré,co COL,FW,Werder Bremen,27,1995,11.0,,,,,,,,,,,,,,,0,,,,,,Matches
60,Julian Brandt,de GER,MF,Dortmund,27,1996,24.7,,,,,,,,,,,,,,,11,,,,,,Matches
61,Fabian Bredlow,de GER,GK,Stuttgart,28,1995,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
62,Tim Breithaupt,de GER,MF,Augsburg,21,2002,7.0,,,,,,,,,,,,,,,0,,,,,,Matches
63,Maximilian Breunig,de GER,FW,Freiburg,22,2000,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
64,Bennit Bröger,de GER,MF,Wolfsburg,17,2006,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
65,John Brooks,us USA,DF,Hoffenheim,30,1993,17.1,,,,,,,,,,,,,,,0,,,,,,Matches
66,Moritz Broschinski,de GER,"FW,MF",Bochum,22,2000,13.9,,,,,,,,,,,,,,,3,,,,,,Matches
67,Alexander Brunst,de GER,GK,Darmstadt 98,28,1995,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
68,Marius Bülter,de GER,MF,Hoffenheim,30,1993,15.0,,,,,,,,,,,,,,,4,,,,,,Matches
69,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,23,2000,17.1,,,,,,,,,,,,,,,2,,,,,,Matches
70,Oliver Burke,sct SCO,"FW,MF",Werder Bremen,26,1997,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
71,Marnon Busch,de GER,DF,Heidenheim,28,1994,6.6,,,,,,,,,,,,,,,0,,,,,,Matches
72,Aurélio Buta,pt POR,"MF,DF",Eintracht Frankfurt,26,1997,19.4,,,,,,,,,,,,,,,1,,,,,,Matches
73,Anthony Caci,fr FRA,"MF,DF",Mainz 05,26,1997,27.6,,,,,,,,,,,,,,,3,,,,,,Matches
74,Emre Can,de GER,MF,Dortmund,29,1994,21.7,,,,,,,,,,,,,,,2,,,,,,Matches
75,Irvin Cardona,mt MLT,"FW,MF",Augsburg,25,1997,0.6,,,,,,,,,,,,,,,0,,,,,,Matches
76,Rasmus Carstensen,dk DEN,"DF,MF",Köln,22,2000,18.4,,,,,,,,,,,,,,,0,,,,,,Matches
77,Fabio Carvalho,pt POR,MF,RB Leipzig,20,2002,1.8,,,,,,,,,,,,,,,0,,,,,,Matches
78,Koen Casteels,be BEL,GK,Wolfsburg,31,1992,25.0,,,,,,,,,,,,,,,0,,,,,,Matches
79,Václav Černý,cz CZE,"MF,FW",Wolfsburg,25,1997,10.2,,,,,,,,,,,,,,,1,,,,,,Matches
80,Julian Chabot,de GER,DF,Köln,25,1998,30.0,,,,,,,,,,,,,,,0,,,,,,Matches
81,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,18,2005,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
82,Fares Chaïbi,dz ALG,"MF,FW",Eintracht Frankfurt,20,2002,21.2,,,,,,,,,,,,,,,4,,,,,,Matches
83,Timothy Chandler,us USA,"DF,MF",Eintracht Frankfurt,33,1990,0.2,,,,,,,,,,,,,,,1,,,,,,Matches
84,Fabio Chiarodia,it ITA,DF,Gladbach,18,2005,1.7,,,,,,,,,,,,,,,0,,,,,,Matches
85,Jacob Christensen,dk DEN,MF,Köln,22,2001,2.4,,,,,,,,,,,,,,,0,,,,,,Matches
86,Nnamdi Collins,de GER,DF,Eintracht Frankfurt,19,2004,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
87,Kingsley Coman,fr FRA,MF,Bayern Munich,27,1996,12.4,,,,,,,,,,,,,,,3,,,,,,Matches
88,Bambasé Conté,de GER,MF,Hoffenheim,20,2003,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
89,Danny da Costa,de GER,"MF,DF",Mainz 05,30,1993,9.2,,,,,,,,,,,,,,,1,,,,,,Matches
90,Nicolas Cozza,fr FRA,DF,Wolfsburg,24,1999,3.1,,,,,,,,,,,,,,,0,,,,,,Matches
91,Tomáš Čvančara,cz CZE,"FW,MF",Gladbach,22,2000,10.0,,,,,,,,,,,,,,,1,,,,,,Matches
92,Finn Dahmen,de GER,GK,Augsburg,25,1998,31.0,,,,,,,,,,,,,,,0,,,,,,Matches
93,Mahmoud Dahoud,de GER,MF,Stuttgart,27,1996,2.5,,,,,,,,,,,,,,,0,,,,,,Matches
94,Lukas Daschner,de GER,"FW,MF",Bochum,24,1998,6.0,,,,,,,,,,,,,,,1,,,,,,Matches
95,David Datro Fofana,ci CIV,"FW,MF",Union Berlin,20,2002,7.6,,,,,,,,,,,,,,,0,,,,,,Matches
96,Alphonso Davies,ca CAN,DF,Bayern Munich,22,2000,22.9,,,,,,,,,,,,,,,5,,,,,,Matches
97,Olivier Deman,be BEL,MF,Werder Bremen,23,2000,15.2,,,,,,,,,,,,,,,1,,,,,,Matches
98,Ermedin Demirović,ba BIH,"FW,MF",Augsburg,25,1998,31.9,,,,,,,,,,,,,,,9,,,,,,Matches
99,Sepp van den Berg,nl NED,DF,Mainz 05,21,2001,31.5,,,,,,,,,,,,,,,0,,,,,,Matches
100,Samuele Di Benedetto,de GER,MF,Stuttgart,18,2005,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
101,Justin Diehl,de GER,MF,Köln,18,2004,1.9,,,,,,,,,,,,,,,0,,,,,,Matches
102,Eric Dier,eng ENG,DF,Bayern Munich,29,1994,13.0,,,,,,,,,,,,,,,0,,,,,,Matches
103,Florian Dietz,de GER,FW,Köln,24,1998,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
104,Junior Dina Ebimbe,cm CMR,MF,Eintracht Frankfurt,22,2000,21.7,,,,,,,,,,,,,,,3,,,,,,Matches
105,Eren Dinkçi,de GER,MF,Heidenheim,21,2001,29.4,,,,,,,,,,,,,,,5,,,,,,Matches
106,Ritsu Doan,jp JPN,MF,Freiburg,25,1998,25.0,,,,,,,,,,,,,,,2,,,,,,Matches
107,Danilho Doekhi,nl NED,DF,Union Berlin,25,1998,24.0,,,,,,,,,,,,,,,0,,,,,,Matches
108,Niklas Dorsch,de GER,MF,Augsburg,25,1998,15.4,,,,,,,,,,,,,,,0,,,,,,Matches
109,Nikola Dovedan,at AUT,MF,Heidenheim,29,1994,7.3,,,,,,,,,,,,,,,1,,,,,,Matches
110,Damion Downs,us USA,FW,Köln,19,2004,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
111,Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,21,2002,6.5,,,,,,,,,,,,,,,0,,,,,,Matches
112,Tim Drexler,de GER,DF,Hoffenheim,18,2005,6.4,,,,,,,,,,,,,,,0,,,,,,Matches
113,Marvin Ducksch,de GER,FW,Werder Bremen,29,1994,30.0,,,,,,,,,,,,,,,9,,,,,,Matches
114,Julien Duranville,be BEL,FW,Dortmund,17,2006,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
115,Maximilian Eggestein,de GER,MF,Freiburg,26,1996,32.4,,,,,,,,,,,,,,,2,,,,,,Matches
116,Lilian Egloff,de GER,MF,Stuttgart,20,2002,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
117,Hugo Ekitike,fr FRA,FW,Eintracht Frankfurt,21,2002,8.0,,,,,,,,,,,,,,,2,,,,,,Matches
118,Elif Elmas,mk MKD,MF,RB Leipzig,23,1999,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
119,Nico Elvedi,ch SUI,DF,Gladbach,26,1996,27.6,,,,,,,,,,,,,,,1,,,,,,Matches
120,Arne Engels,be BEL,"MF,DF",Augsburg,19,2003,15.6,,,,,,,,,,,,,,,2,,,,,,Matches
121,Ohis Felix Uduokhai,de GER,DF,Augsburg,25,1997,32.5,,,,,,,,,,,,,,,0,,,,,,Matches
122,Edimilson Fernandes,ch SUI,DF,Mainz 05,27,1996,14.3,,,,,,,,,,,,,,,2,,,,,,Matches
123,Nacho Ferri,es ESP,FW,Eintracht Frankfurt,18,2004,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
124,Max Finkgräfe,de GER,DF,Köln,19,2004,19.5,,,,,,,,,,,,,,,0,,,,,,Matches
125,Kilian Fischer,de GER,"MF,DF",Wolfsburg,22,2000,3.2,,,,,,,,,,,,,,,0,,,,,,Matches
126,Jonas Föhrenbach,de GER,DF,Heidenheim,27,1996,31.0,,,,,,,,,,,,,,,0,,,,,,Matches
127,Emil Forsberg,se SWE,MF,RB Leipzig,31,1991,5.2,,,,,,,,,,,,,,,1,,,,,,Matches
128,Philipp Förster,de GER,MF,Bochum,28,1995,4.3,,,,,,,,,,,,,,,0,,,,,,Matches
129,Bartol Franjić,hr CRO,MF,Darmstadt 98,23,2000,13.7,,,,,,,,,,,,,,,1,,,,,,Matches
130,Marco Friedl,at AUT,DF,Werder Bremen,25,1998,24.4,,,,,,,,,,,,,,,0,,,,,,Matches
131,Marvin Friedrich,de GER,DF,Gladbach,27,1995,17.4,,,,,,,,,,,,,,,0,,,,,,Matches
132,Jeremie Frimpong,nl NED,MF,Leverkusen,22,2000,25.0,,,,,,,,,,,,,,,7,,,,,,Matches
133,Chris Führich,de GER,MF,Stuttgart,25,1998,28.5,,,,,,,,,,,,,,,7,,,,,,Matches
134,Shiō Fukuda,jp JPN,FW,Gladbach,19,2004,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
135,Niclas Füllkrug,de GER,FW,Werder Bremen,30,1993,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
136,Niclas Füllkrug,de GER,FW,Dortmund,30,1993,24.6,,,,,,,,,,,,,,,8,,,,,,Matches
137,Cristian Gamboa,cr CRC,"DF,MF",Bochum,33,1989,13.2,,,,,,,,,,,,,,,1,,,,,,Matches
138,Dennis Geiger,de GER,MF,Hoffenheim,25,1998,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
139,Yannick Gerhardt,de GER,MF,Wolfsburg,29,1994,18.1,,,,,,,,,,,,,,,1,,,,,,Matches
140,Anwar El Ghazi,nl NED,"FW,MF",Mainz 05,28,1995,0.6,,,,,,,,,,,,,,,1,,,,,,Matches
141,Benedikt Gimber,de GER,DF,Heidenheim,26,1997,22.5,,,,,,,,,,,,,,,1,,,,,,Matches
142,Matthias Ginter,de GER,DF,Freiburg,29,1994,21.3,,,,,,,,,,,,,,,2,,,,,,Matches
143,Jamie Gittens,eng ENG,"MF,FW",Dortmund,18,2004,11.8,,,,,,,,,,,,,,,4,,,,,,Matches
144,Klaus Gjasula,al ALB,"DF,MF",Darmstadt 98,33,1989,15.1,,,,,,,,,,,,,,,0,,,,,,Matches
145,Serge Gnabry,de GER,MF,Bayern Munich,28,1995,4.8,,,,,,,,,,,,,,,1,,,,,,Matches
146,Leon Goretzka,de GER,MF,Bayern Munich,28,1995,24.9,,,,,,,,,,,,,,,7,,,,,,Matches
147,Robin Gosens,de GER,"MF,DF",Union Berlin,29,1994,25.4,,,,,,,,,,,,,,,3,,,,,,Matches
148,Mario Götze,de GER,MF,Eintracht Frankfurt,31,1992,23.0,,,,,,,,,,,,,,,2,,,,,,Matches
149,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,32,1991,28.8,,,,,,,,,,,,,,,0,,,,,,Matches
150,Jens Grahl,de GER,GK,Eintracht Frankfurt,34,1988,2.0,,,,,,,,,,,,,,,1,,,,,,Matches
151,Ryan Gravenberch,nl NED,MF,Bayern Munich,21,2002,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
152,Michael Gregoritsch,at AUT,FW,Freiburg,29,1994,18.7,,,,,,,,,,,,,,,4,,,,,,Matches
153,Vincenzo Grifo,it ITA,MF,Freiburg,30,1993,25.8,,,,,,,,,,,,,,,8,,,,,,Matches
154,Florian Grillitsch,at AUT,"DF,MF",Hoffenheim,27,1995,25.5,,,,,,,,,,,,,,,6,,,,,,Matches
155,Álex Grimaldo,es ESP,MF,Leverkusen,27,1995,30.9,,,,,,,,,,,,,,,13,,,,,,Matches
156,Christian Groß,de GER,"DF,MF",Werder Bremen,34,1989,8.9,,,,,,,,,,,,,,,1,,,,,,Matches
157,Brajan Gruda,de GER,"MF,FW",Mainz 05,19,2004,18.2,,,,,,,,,,,,,,,3,,,,,,Matches
158,Ilia Gruev,bg BUL,MF,Werder Bremen,23,2000,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
159,Raphaël Guerreiro,pt POR,"MF,DF",Bayern Munich,29,1993,13.2,,,,,,,,,,,,,,,0,,,,,,Matches
160,Josuha Guilavogui,fr FRA,DF,Mainz 05,32,1990,4.5,,,,,,,,,,,,,,,1,,,,,,Matches
161,Serhou Guirassy,gn GUI,FW,Stuttgart,27,1996,24.5,,,,,,,,,,,,,,,3,,,,,,Matches
162,Péter Gulácsi,hu HUN,GK,RB Leipzig,33,1990,13.0,,,,,,,,,,,,,,,0,,,,,,Matches
163,Manuel Gulde,de GER,DF,Freiburg,32,1991,22.7,,,,,,,,,,,,,,,0,,,,,,Matches
164,Robert Gumny,pl POL,"DF,MF",Augsburg,25,1998,5.3,,,,,,,,,,,,,,,0,,,,,,Matches
165,Christian Günter,de GER,"MF,DF",Freiburg,30,1993,11.8,,,,,,,,,,,,,,,2,,,,,,Matches
166,Janik Haberer,de GER,MF,Union Berlin,29,1994,13.6,,,,,,,,,,,,,,,1,,,,,,Matches
167,Robin Hack,de GER,"FW,MF",Gladbach,24,1998,15.0,,,,,,,,,,,,,,,2,,,,,,Matches
168,Amadou Haidara,ml MLI,MF,RB Leipzig,25,1998,17.0,,,,,,,,,,,,,,,1,,,,,,Matches
169,Sébastien Haller,ci CIV,FW,Dortmund,29,1994,4.4,,,,,,,,,,,,,,,1,,,,,,Matches
170,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,26,1997,11.0,,,,,,,,,,,,,,,0,,,,,,Matches
171,Isak Hansen-Aarøen,no NOR,MF,Werder Bremen,18,2004,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
172,Genki Haraguchi,jp JPN,"FW,MF",Stuttgart,32,1991,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
173,Makoto Hasebe,jp JPN,"MF,DF",Eintracht Frankfurt,39,1984,2.4,,,,,,,,,,,,,,,0,,,,,,Matches
174,Thorgan Hazard,be BEL,"FW,MF",Dortmund,30,1993,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
175,Dominique Heintz,de GER,DF,Köln,29,1993,6.3,,,,,,,,,,,,,,,0,,,,,,Matches
176,Benjamin Henrichs,de GER,"DF,MF",RB Leipzig,26,1997,28.1,,,,,,,,,,,,,,,5,,,,,,Matches
177,Patrick Herrmann,de GER,"FW,MF",Gladbach,32,1991,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
178,Piero Hincapié,ec ECU,DF,Leverkusen,21,2002,16.5,,,,,,,,,,,,,,,2,,,,,,Matches
179,Adam Hložek,cz CZE,"MF,FW",Leverkusen,21,2002,5.1,,,,,,,,,,,,,,,3,,,,,,Matches
180,Nicolas Höfler,de GER,MF,Freiburg,33,1990,25.9,,,,,,,,,,,,,,,1,,,,,,Matches
181,Jonas Hofmann,de GER,MF,Leverkusen,31,1992,24.5,,,,,,,,,,,,,,,7,,,,,,Matches
182,Philipp Hofmann,de GER,FW,Bochum,30,1993,17.5,,,,,,,,,,,,,,,2,,,,,,Matches
183,Lucas Höler,de GER,"FW,MF",Freiburg,29,1994,25.6,,,,,,,,,,,,,,,2,,,,,,Matches
184,Fabian Holland,de GER,"MF,DF",Darmstadt 98,33,1990,20.4,,,,,,,,,,,,,,,2,,,,,,Matches
185,Benedict Hollerbach,de GER,"FW,MF",Union Berlin,22,2001,14.2,,,,,,,,,,,,,,,0,,,,,,Matches
186,Gerrit Holtmann,ph PHI,MF,Darmstadt 98,28,1995,4.4,,,,,,,,,,,,,,,0,,,,,,Matches
187,Franck Honorat,fr FRA,"MF,FW",Gladbach,26,1996,26.1,,,,,,,,,,,,,,,9,,,,,,Matches
188,Mathias Honsak,at AUT,"MF,FW",Darmstadt 98,26,1996,11.3,,,,,,,,,,,,,,,1,,,,,,Matches
189,Fraser Hornby,sct SCO,FW,Darmstadt 98,23,1999,2.4,,,,,,,,,,,,,,,0,,,,,,Matches
190,Lukáš Hrádecký,fi FIN,GK,Leverkusen,33,1989,33.0,,,,,,,,,,,,,,,0,,,,,,Matches
191,Timo Hübers,de GER,DF,Köln,27,1996,30.9,,,,,,,,,,,,,,,0,,,,,,Matches
192,Mats Hummels,de GER,DF,Dortmund,34,1988,17.6,,,,,,,,,,,,,,,0,,,,,,Matches
193,Denis Huseinbasic,ba BIH,MF,Köln,22,2001,18.1,,,,,,,,,,,,,,,3,,,,,,Matches
194,Iago,br BRA,"DF,MF",Augsburg,26,1997,18.0,,,,,,,,,,,,,,,1,,,,,,Matches
195,Borja Iglesias,es ESP,FW,Leverkusen,30,1993,2.8,,,,,,,,,,,,,,,0,,,,,,Matches
196,Joel Imasuen,us USA,FW,Werder Bremen,18,2004,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
197,Thomas Isherwood,se SWE,DF,Darmstadt 98,25,1998,7.1,,,,,,,,,,,,,,,0,,,,,,Matches
198,Ko Itakura,jp JPN,"DF,MF",Gladbach,26,1997,17.7,,,,,,,,,,,,,,,0,,,,,,Matches
199,Hiroki Ito,jp JPN,DF,Stuttgart,24,1999,24.8,,,,,,,,,,,,,,,2,,,,,,Matches
200,Lee Jae-sung,kr KOR,MF,Mainz 05,30,1992,23.5,,,,,,,,,,,,,,,3,,,,,,Matches
201,Paul Jaeckel,de GER,DF,Union Berlin,25,1998,2.6,,,,,,,,,,,,,,,0,,,,,,Matches
202,Kristijan Jakić,hr CRO,MF,Eintracht Frankfurt,26,1997,2.2,,,,,,,,,,,,,,,0,,,,,,Matches
203,Kristijan Jakić,hr CRO,MF,Augsburg,26,1997,11.7,,,,,,,,,,,,,,,1,,,,,,Matches
204,Tony Jantschke,de GER,"DF,MF",Gladbach,33,1990,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
205,Nuha Jatta,gm GAM,MF,RB Leipzig,17,2006,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
206,Fredrik Jensen,fi FIN,MF,Augsburg,25,1997,14.9,,,,,,,,,,,,,,,4,,,,,,Matches
207,Moritz Jenz,de GER,DF,Wolfsburg,24,1999,19.4,,,,,,,,,,,,,,,1,,,,,,Matches
208,Anthony Jung,de GER,"DF,MF",Werder Bremen,31,1991,28.7,,,,,,,,,,,,,,,0,,,,,,Matches
209,Josip Juranović,hr CRO,"MF,DF",Union Berlin,27,1995,14.4,,,,,,,,,,,,,,,2,,,,,,Matches
210,David Jurásek,cz CZE,"MF,DF",Hoffenheim,22,2000,5.5,,,,,,,,,,,,,,,1,,,,,,Matches
211,Julian Justvan,de GER,"FW,MF",Hoffenheim,25,1998,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
212,Julian Justvan,de GER,MF,Darmstadt 98,25,1998,11.4,,,,,,,,,,,,,,,2,,,,,,Matches
213,Ozan Kabak,tr TUR,DF,Hoffenheim,23,2000,25.4,,,,,,,,,,,,,,,0,,,,,,Matches
214,Pavel Kadeřábek,cz CZE,"MF,DF",Hoffenheim,31,1992,26.8,,,,,,,,,,,,,,,4,,,,,,Matches
215,Florian Kainz,at AUT,MF,Köln,30,1992,24.4,,,,,,,,,,,,,,,4,,,,,,Matches
216,Sasa Kalajdzic,at AUT,FW,Eintracht Frankfurt,26,1997,3.6,,,,,,,,,,,,,,,1,,,,,,Matches
217,Jakub Kamiński,pl POL,MF,Wolfsburg,21,2002,5.3,,,,,,,,,,,,,,,2,,,,,,Matches
218,Kevin Kampl,si SVN,MF,RB Leipzig,32,1990,15.1,,,,,,,,,,,,,,,0,,,,,,Matches
219,Harry Kane,eng ENG,FW,Bayern Munich,30,1993,31.5,,,,,,,,,,,,,,,8,,,,,,Matches
220,Atakan Karazor,tr TUR,MF,Stuttgart,26,1996,29.1,,,,,,,,,,,,,,,4,,,,,,Matches
221,Emir Karic,ba BIH,"MF,DF",Darmstadt 98,26,1997,19.8,,,,,,,,,,,,,,,0,,,,,,Matches
222,Silas Katompa,cd COD,MF,Stuttgart,24,1998,10.0,,,,,,,,,,,,,,,2,,,,,,Matches
