Player,Squad,Pos,Min,xG,xA,season
Alex Iwobi,"Everton,Fulham",MF,2398.0,5.662265548482537,4.8107705460861325,2023-24
Danny Welbeck,Brighton,FW,1723.0,6.242080001160502,2.18816620670259,2023-24
Ross Barkley,Luton,MF,2627.0,4.483209175989032,4.823556295596063,2023-24
Eddie Nketiah,Arsenal,FW,1036.0,5.057408779859543,1.209644090384245,2023-24
Harvey Barnes,Newcastle United,FW,738.0,3.467865003272891,4.21071451343596,2023-24
Morgan Gibbs-White,Nottingham Forest,FW,3177.0,6.069625414907932,9.522167706862092,2023-24
Cristian Romero,Tottenham,DF,2796.0,3.9851038865745068,0.3418706227093935,2023-24
Lyle Foster,Burnley,FW,1938.0,5.608147136867046,1.4990256652235985,2023-24
Alexis Mac Allister,Liverpool,MF,2661.0,3.998983211815357,3.578091200441122,2023-24
Conor Gallagher,Chelsea,MF,3171.0,4.717563968151808,5.792711144313216,2023-24
Anthony Elanga,Nottingham Forest,FW,2430.0,6.7731207851320505,7.090984374284744,2023-24
Brennan Johnson,"Nottingham Forest,Tottenham",FW,2350.0,12.170278270728886,7.638319082558155,2023-24
Mykhailo Mudryk,Chelsea,FW,1563.0,5.111277528107166,3.8853818774223328,2023-24
Noni Madueke,Chelsea,MF,1066.0,3.0036024190485477,2.160680465400219,2023-24
Jhon Durán,Aston Villa,FW,394.0,1.9487376604229212,0.2149669798091054,2023-24
Zeki Amdouni,Burnley,FW,2025.0,6.100483123213053,1.494755046442151,2023-24
Fabian Schär,Newcastle United,DF,3057.0,2.679914410226047,1.2247396316379309,2023-24
Pascal Groß,Brighton,DF,3107.0,6.07863125950098,8.449651076458395,2023-24
Kevin De Bruyne,Manchester City,MF,1233.0,2.5787349939346313,11.979073725640774,2023-24
Idrissa Gueye,Everton,MF,1930.0,1.6615520063787699,1.0346810910850763,2023-24
Jordan Ayew,Crystal Palace,FW,2563.0,4.262499047443271,4.95881259907037,2023-24
Willian,Fulham,FW,2080.0,5.017656198702753,4.14518438372761,2023-24
Ivan Toney,Brentford,FW,1447.0,7.132677088491619,2.186188329011202,2023-24
Mario Lemina,Wolverhampton Wanderers,MF,3002.0,4.610754423774779,1.7865049708634615,2023-24
Pablo Sarabia,Wolverhampton Wanderers,FW,1763.0,5.981299871578813,6.066077848896384,2023-24
Gabriel Jesus,Arsenal,FW,1496.0,7.291733928024769,4.235467437654734,2023-24
Harry Wilson,Fulham,FW,1576.0,2.8195397332310677,3.1505596097558737,2023-24
James Maddison,Tottenham,MF,2206.0,6.2975962068885565,7.142374597489834,2023-24
Ben White,Arsenal,DF,3024.0,2.015913512557745,4.758832193911076,2023-24
Lucas Paquetá,West Ham,FW,2676.0,4.605092185549438,5.833031775429845,2023-24
Tahith Chong,Luton,FW,1978.0,3.5191842010244727,0.43756147287786007,2023-24
Josh Brownhill,Burnley,MF,2229.0,1.8306225752457976,1.8270882591605186,2023-24
Josko Gvardiol,Manchester City,DF,2335.0,3.0817854246124625,2.115578116849065,2023-24
Cameron Archer,"Aston Villa,Sheffield United",FW,1870.0,5.785084556788206,2.983854740858078,2023-24
João Palhinha,Fulham,MF,2742.0,3.245512000285089,0.8451391234993935,2023-24
Marcos Senesi,Bournemouth,DF,2253.0,2.3658602572977543,1.8848512191325426,2023-24
David Datro Fofana,Burnley,FW,876.0,4.029318623244762,1.4943999461829662,2023-24
Chiedozie Ogbene,Luton,FW,1984.0,4.80650751106441,3.4691168274730444,2023-24
Gustavo Hamer,Sheffield United,FW,2986.0,2.4141162959858775,6.986010514199734,2023-24
Jack Grealish,Manchester City,MF,975.0,2.3835059702396393,2.7743227388709784,2023-24
Andreas Pereira,Fulham,MF,2756.0,5.155889482237399,6.918029231950641,2023-24
Kurt Zouma,West Ham,DF,2849.0,2.339608912356198,0.18288415484130383,2023-24
Andrew Robertson,Liverpool,DF,1684.0,2.4325872622430325,6.65541476290673,2023-24
Trent Alexander-Arnold,Liverpool,DF,2190.0,2.745258178561926,8.361615665256977,2023-24
Thiago Silva,Chelsea,DF,2530.0,0.7915211245417595,1.4041369603946805,2023-24
Christopher Nkunku,Chelsea,FW,416.0,2.4121735505759716,0.2275804504752159,2023-24
Gabriel,Arsenal,DF,3050.0,4.025354804471135,0.8747859355062246,2023-24
Lewis Dunk,Brighton,DF,2895.0,2.9649088978767395,1.1697372319176793,2023-24
Solly March,Brighton,DF,571.0,2.7198847085237503,0.9913322664797306,2023-24
Jacob Murphy,Newcastle United,FW,1216.0,2.8978680092841387,5.225788880139589,2023-24
Dwight McNeil,Everton,DF,2914.0,3.64070400595665,10.325187070295215,2023-24
Pedro Porro,Tottenham,DF,3101.0,2.83508870145306,7.285218555480242,2023-24
Mathias Jensen,Brentford,MF,2294.0,0.689183003269136,4.908007476478815,2023-24
Miguel Almirón,Newcastle United,FW,1967.0,5.132560992613435,3.0761873684823513,2023-24
Harvey Elliott,Liverpool,FW,1268.0,2.5765033923089504,4.262343382462859,2023-24
Jarrad Branthwaite,Everton,DF,3122.0,1.9108920088037848,0.9319860828109086,2023-24
Jack Harrison,Everton,MF,2229.0,4.149862082675099,4.3471535332500935,2023-24
Dara O&#039;Shea,Burnley,DF,2899.0,0.9073518002405763,1.6444027656689286,2023-24
Jéremy Doku,Manchester City,DF,1616.0,3.7698520198464394,5.476052410900593,2023-24
Pape Sarr,Tottenham,MF,2141.0,3.842421315610409,2.0322468373924494,2023-24
Jayden Bogle,Sheffield United,DF,2817.0,2.6024017240852118,0.7326478343456984,2023-24
