player_name_tm,club_tm,season,market_value_eur
Yann Sommer,Inter Milan,2023-24,5000000.0
Emil Audero,Inter Milan,2023-24,5000000.0
Raffaele Di Gennaro,Inter Milan,2023-24,300000.0
Alessandro Calligaris,Inter Milan,2023-24,150000.0
Alessandro Bastoni,Inter Milan,2023-24,70000000.0
Benjamin Pavard,Inter Milan,2023-24,50000000.0
Yann Bisseck,Inter Milan,2023-24,16000000.0
Stefan de Vrij,Inter Milan,2023-24,7000000.0
Francesco Acerbi,Inter Milan,2023-24,3500000.0
Giacomo Stabile,Inter Milan,2023-24,50000.0
Federico Dimarco,Inter Milan,2023-24,50000000.0
Carlos Augusto,Inter Milan,2023-24,22000000.0
Matteo Motta,Inter Milan,2023-24,100000.0
Denzel Dumfries,Inter Milan,2023-24,24000000.0
Matteo Darmian,Inter Milan,2023-24,4000000.0
Tommaso Guercio,Inter Milan,2023-24,300000.0
Hakan Çalhanoğlu,Inter Milan,2023-24,45000000.0
Kristjan Asllani,Inter Milan,2023-24,18000000.0
Lucien Agoumé,Inter Milan,2023-24,6000000.0
Aleksandar Stanković,Inter Milan,2023-24,1000000.0
Nicolò Barella,Inter Milan,2023-24,80000000.0
Davide Frattesi,Inter Milan,2023-24,35000000.0
Henrikh Mkhitaryan,Inter Milan,2023-24,6000000.0
Davy Klaassen,Inter Milan,2023-24,4000000.0
Stefano Sensi,Inter Milan,2023-24,3000000.0
Ebenezer Akinsanmiro,Inter Milan,2023-24,1800000.0
Issiaka Kamate,Inter Milan,2023-24,1000000.0
Juan Cuadrado,Inter Milan,2023-24,1000000.0
Tajon Buchanan,Inter Milan,2023-24,8000000.0
Joaquín Correa,Inter Milan,2023-24,6000000.0
Lautaro Martínez,Inter Milan,2023-24,110000000.0
Marcus Thuram,Inter Milan,2023-24,65000000.0
Marko Arnautovic,Inter Milan,2023-24,4000000.0
Alexis Sánchez,Inter Milan,2023-24,2500000.0
Amadou Sarr,Inter Milan,2023-24,150000.0
Mike Maignan,AC Milan,2023-24,38000000.0
Marco Sportiello,AC Milan,2023-24,1500000.0
Noah Raveyre,AC Milan,2023-24,200000.0
Lapo Nava,AC Milan,2023-24,150000.0
Antonio Mirante,AC Milan,2023-24,100000.0
Andrea Bartoccioni,AC Milan,2023-24,50000.0
Lorenzo Torriani,AC Milan,2023-24,10000.0
Fikayo Tomori,AC Milan,2023-24,40000000.0
Malick Thiaw,AC Milan,2023-24,25000000.0
Pierre Kalulu,AC Milan,2023-24,20000000.0
Matteo Gabbia,AC Milan,2023-24,8000000.0
Jan-Carlo Simić,AC Milan,2023-24,5000000.0
Filippo Terracciano,AC Milan,2023-24,4500000.0
Marco Pellegrino,AC Milan,2023-24,3500000.0
Simon Kjaer,AC Milan,2023-24,1500000.0
Mattia Caldara,AC Milan,2023-24,800000.0
Clinton Nsiala,AC Milan,2023-24,200000.0
Theo Hernández,AC Milan,2023-24,60000000.0
Davide Bartesaghi,AC Milan,2023-24,1000000.0
Davide Calabria,AC Milan,2023-24,13000000.0
Álex Jiménez,AC Milan,2023-24,4000000.0
Alessandro Florenzi,AC Milan,2023-24,2000000.0
Ismaël Bennacer,AC Milan,2023-24,30000000.0
Yacine Adli,AC Milan,2023-24,15000000.0
Rade Krunic,AC Milan,2023-24,6000000.0
Victor Eletu,AC Milan,2023-24,400000.0
Tijjani Reijnders,AC Milan,2023-24,30000000.0
Ruben Loftus-Cheek,AC Milan,2023-24,25000000.0
Yunus Musah,AC Milan,2023-24,22000000.0
