Rk,Squad
1,Paris Saint-Germain
2,Monaco
3,Brest
4,Lille
5,Nice
6,Lyon
7,Lens
8,Marseille
9,Reims
10,Rennes
11,Toulouse
12,Montpellier
13,Strasbourg
14,Nantes
15,Le Havre
16,Metz
17,Lorient
18,Clermont Foot
