Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
2,Francesco Acerbi,it ITA,DF,Inter,35,1988,29,26,2388,26.5,3,1,4,3,0,0,1,0,0.11,0.04,0.15,0.11,0.15,Matches
3,Yacine Adli,fr FRA,MF,Milan,23,2000,24,17,1407,15.6,1,2,3,1,0,0,3,0,0.06,0.13,0.19,0.06,0.19,Matches
4,Michel Aebischer,ch SUI,MF,Bologna,26,1997,36,26,2230,24.8,0,1,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,Matches
10,Luis Alberto,es ESP,MF,Lazio,30,1992,33,29,2311,25.7,5,7,12,5,0,0,7,0,0.19,0.27,0.47,0.19,0.47,Matches
12,Pontus Almqvist,se SWE,"FW,MF",Lecce,24,1999,30,25,2107,23.4,2,1,3,2,0,0,5,0,0.09,0.04,0.13,0.09,0.13,Matches
15,Felipe Anderson,br BRA,"FW,MF",Lazio,30,1993,38,33,2770,30.8,5,6,11,5,0,0,3,0,0.16,0.19,0.36,0.16,0.36,Matches
16,Angeliño,es ESP,"DF,MF",Roma,26,1997,16,14,1141,12.7,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
22,Tommaso Augello,it ITA,"DF,MF",Cagliari,28,1994,32,28,2418,26.9,1,1,2,1,0,0,5,0,0.04,0.04,0.07,0.04,0.07,Matches
23,Carlos Augusto,br BRA,"MF,DF",Inter,24,1999,37,14,1725,19.2,0,3,3,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
24,Yann Aurel Bisseck,de GER,DF,Inter,22,2000,16,9,904,10.0,2,0,2,2,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches
26,Paulo Azzi,br BRA,"MF,DF",Cagliari,29,1994,25,9,950,10.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Milan Badelj,hr CRO,MF,Genoa,34,1989,33,32,2535,28.2,1,3,4,1,0,0,6,0,0.04,0.11,0.14,0.04,0.14,Matches
