Rk,Squad
1,Napoli
2,Inter
3,Atalanta
4,Juventus
5,Roma
6,Fiorentina
7,Lazio
8,Milan
9,Bologna
10,Como
11,Torino
12,Udinese
13,Genoa
14,Hellas Verona
15,Cagliari
16,Parma
17,Lecce
18,Empoli
19,Venezia
20,Monza
