Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
37,Iñigo Arguibide,es ESP,FW,Osasuna,18,2005,0.2,,,,,,,,,,,,,,,,,Matches
38,José Arnaiz,es ESP,"FW,MF",Osasuna,28,1995,10.3,,,,,,,,,,,,,,,,,Matches
39,Sergio Arribas,es ESP,"MF,FW",Almería,21,2001,22.7,,,,,,,,,,,,,,,,,Matches
40,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,13.3,,,,,,,,,,,,,,,,,Matches
41,Iago Aspas,es ESP,FW,Celta Vigo,35,1987,30.1,,,,,,,,,,,,,,,,,Matches
42,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29,1994,9.6,,,,,,,,,,,,,,,,,Matches
43,Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,29,1994,3.3,,,,,,,,,,,,,,,,,Matches
44,César Azpilicueta,es ESP,"DF,MF",Atlético Madrid,33,1989,15.8,,,,,,,,,,,,,,,,,Matches
45,Iddrisu Baba,gh GHA,MF,Almería,27,1996,15.9,,,,,,,,,,,,,,,,,Matches
46,Srđan Babić,rs SRB,DF,Almería,27,1996,1.0,,,,,,,,,,,,,,,,,Matches
47,Loïc Bade,fr FRA,DF,Sevilla,23,2000,25.3,,,,,,,,,,,,,,,,,Matches
48,Alex Baena,es ESP,"MF,FW",Villarreal,22,2001,28.7,,,,,,,,,,,,,,,,,Matches
49,Eric Bailly,ci CIV,DF,Villarreal,29,1994,9.3,,,,,,,,,,,,,,,,,Matches
50,Cédric Bakambu,cd COD,FW,Real Betis,32,1991,2.2,,,,,,,,,,,,,,,,,Matches
51,Alejandro Balde,es ESP,"DF,MF",Barcelona,19,2003,15.3,,,,,,,,,,,,,,,,,Matches
52,Iván Balliu,al ALB,DF,Rayo Vallecano,31,1992,31.9,,,,,,,,,,,,,,,,,Matches
53,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,27,1996,22.0,,,,,,,,,,,,,,,,,Matches
54,Léo Baptistão,br BRA,"FW,MF",Almería,30,1992,20.4,,,,,,,,,,,,,,,,,Matches
55,Kike Barja,es ESP,"FW,MF",Osasuna,26,1997,3.4,,,,,,,,,,,,,,,,,Matches
56,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,21,2001,15.9,,,,,,,,,,,,,,,,,Matches
57,Pablo Barrios,es ESP,MF,Atlético Madrid,20,2003,17.3,,,,,,,,,,,,,,,,,Matches
58,Marc Bartra,es ESP,DF,Real Betis,32,1991,2.5,,,,,,,,,,,,,,,,,Matches
59,Augusto Batalla,ar ARG,GK,Granada,27,1996,17.0,,,,,,,,,,,,,,,,,Matches
60,Bebé,cv CPV,"FW,MF",Rayo Vallecano,33,1990,2.4,,,,,,,,,,,,,,,,,Matches
61,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,28,1995,8.6,,,,,,,,,,,,,,,,,Matches
62,Héctor Bellerín,es ESP,DF,Real Betis,28,1995,19.0,,,,,,,,,,,,,,,,,Matches
63,Jude Bellingham,eng ENG,"MF,FW",Real Madrid,20,2003,25.7,,,,,,,,,,,,,,,,,Matches
64,Fran Beltrán,es ESP,MF,Celta Vigo,24,1999,27.0,,,,,,,,,,,,,,,,,Matches
65,Carlos Benavídez,uy URU,MF,Alavés,25,1998,12.6,,,,,,,,,,,,,,,,,Matches
66,Yuri Berchiche,es ESP,DF,Athletic Club,33,1990,21.4,,,,,,,,,,,,,,,,,Matches
67,Álex Berenguer,es ESP,MF,Athletic Club,28,1995,17.7,,,,,,,,,,,,,,,,,Matches
68,Antonio Blanco,es ESP,MF,Alavés,23,2000,27.0,,,,,,,,,,,,,,,,,Matches
69,Daley Blind,nl NED,DF,Girona,33,1990,33.0,,,,,,,,,,,,,,,,,Matches
70,Adri Bosch,es ESP,DF,Granada,22,2001,0.3,,,,,,,,,,,,,,,,,Matches
71,Yassine Bounou,ma MAR,GK,Sevilla,32,1991,1.0,,,,,,,,,,,,,,,,,Matches
72,Lucas Boyé,ar ARG,FW,Granada,27,1996,28.2,,,,,,,,,,,,,,,,,Matches
73,Darko Brašanac,rs SRB,MF,Osasuna,31,1992,0.5,,,,,,,,,,,,,,,,,Matches
74,Brau,es ESP,DF,Granada,21,2001,0.3,,,,,,,,,,,,,,,,,Matches
75,Claudio Bravo,cl CHI,GK,Real Betis,40,1983,7.0,,,,,,,,,,,,,,,,,Matches
76,Ben Brereton,cl CHI,"MF,FW",Villarreal,24,1999,3.0,,,,,,,,,,,,,,,,,Matches
77,Ante Budimir,hr CRO,FW,Osasuna,32,1991,27.1,,,,,,,,,,,,,,,,,Matches
78,Manu Bueno,es ESP,MF,Sevilla,19,2004,1.3,,,,,,,,,,,,,,,,,Matches
79,Pablo Busto,es ESP,DF,Real Betis,17,2005,0.5,,,,,,,,,,,,,,,,,Matches
80,José Callejón,es ESP,"MF,FW",Granada,36,1987,8.9,,,,,,,,,,,,,,,,,Matches
81,Eduardo Camavinga,fr FRA,MF,Real Madrid,20,2002,20.2,,,,,,,,,,,,,,,,,Matches
82,Sergio Camello,es ESP,FW,Rayo Vallecano,22,2001,18.5,,,,,,,,,,,,,,,,,Matches
83,José Campaña,es ESP,MF,Las Palmas,30,1993,1.9,,,,,,,,,,,,,,,,,Matches
84,João Cancelo,pt POR,DF,Barcelona,29,1994,27.8,,,,,,,,,,,,,,,,,Matches
85,Sergi Canós,es ESP,MF,Valencia,26,1997,13.7,,,,,,,,,,,,,,,,,Matches
86,Étienne Capoue,fr FRA,MF,Villarreal,35,1988,16.2,,,,,,,,,,,,,,,,,Matches
87,Isaac Carcelen,es ESP,DF,Cádiz,30,1993,29.0,,,,,,,,,,,,,,,,,Matches
88,Dani Cárdenas,es ESP,GK,Rayo Vallecano,26,1997,1.0,,,,,,,,,,,,,,,,,Matches
89,Marc Cardona,es ESP,FW,Las Palmas,28,1995,8.2,,,,,,,,,,,,,,,,,Matches
90,Sergi Cardona,es ESP,DF,Las Palmas,24,1999,31.3,,,,,,,,,,,,,,,,,Matches
91,Johnny Cardoso,us USA,MF,Real Betis,21,2001,14.8,,,,,,,,,,,,,,,,,Matches
92,Carmona,es ESP,"MF,DF",Getafe,21,2002,14.6,,,,,,,,,,,,,,,,,Matches
93,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,29,1993,2.5,,,,,,,,,,,,,,,,,Matches
94,Álvaro Carreras,es ESP,"MF,FW",Granada,20,2003,5.3,,,,,,,,,,,,,,,,,Matches
95,Dani Carvajal,es ESP,DF,Real Madrid,31,1992,24.1,,,,,,,,,,,,,,,,,Matches
96,William Carvalho,pt POR,MF,Real Betis,31,1992,7.6,,,,,,,,,,,,,,,,,Matches
97,Marc Casado,es ESP,MF,Barcelona,19,2003,0.2,,,,,,,,,,,,,,,,,Matches
98,Catena,es ESP,DF,Osasuna,28,1994,28.2,,,,,,,,,,,,,,,,,Matches
99,Dani Ceballos,es ESP,MF,Real Madrid,26,1996,6.6,,,,,,,,,,,,,,,,,Matches
100,Álex Centelles,es ESP,DF,Almería,25,1997,10.9,,,,,,,,,,,,,,,,,Matches
101,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,29,1994,6.1,,,,,,,,,,,,,,,,,Matches
102,Pep Chavarría,es ESP,"DF,MF",Rayo Vallecano,25,1998,13.0,,,,,,,,,,,,,,,,,Matches
103,Andreas Christensen,dk DEN,"DF,MF",Barcelona,27,1996,22.0,,,,,,,,,,,,,,,,,Matches
104,Chumi,es ESP,DF,Almería,24,1999,27.0,,,,,,,,,,,,,,,,,Matches
105,Víctor Chust,es ESP,DF,Cádiz,23,2000,20.7,,,,,,,,,,,,,,,,,Matches
106,Pathé Ciss,sn SEN,MF,Rayo Vallecano,29,1994,18.5,,,,,,,,,,,,,,,,,Matches
107,Silvi Clúa,es ESP,MF,Girona,18,2005,0.0,,,,,,,,,,,,,,,,,Matches
108,Saúl Coco,gq EQG,DF,Las Palmas,24,1999,25.5,,,,,,,,,,,,,,,,,Matches
109,Santi Comesaña,es ESP,MF,Villarreal,26,1996,18.4,,,,,,,,,,,,,,,,,Matches
110,Copete,es ESP,DF,Mallorca,23,1999,14.8,,,,,,,,,,,,,,,,,Matches
111,Francis Coquelin,fr FRA,MF,Villarreal,32,1991,10.1,,,,,,,,,,,,,,,,,Matches
112,Theo Corbeanu,ca CAN,MF,Granada,21,2002,2.0,,,,,,,,,,,,,,,,,Matches
113,Jesús Corona,mx MEX,"DF,FW",Sevilla,30,1993,0.2,,,,,,,,,,,,,,,,,Matches
114,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,28,1995,17.0,,,,,,,,,,,,,,,,,Matches
115,Thierry Correia,pt POR,DF,Valencia,24,1999,23.9,,,,,,,,,,,,,,,,,Matches
116,Jaume Costa,es ESP,"DF,MF",Mallorca,35,1988,18.7,,,,,,,,,,,,,,,,,Matches
117,Samu Costa,pt POR,MF,Mallorca,22,2000,25.6,,,,,,,,,,,,,,,,,Matches
118,Thibaut Courtois,be BEL,GK,Real Madrid,31,1992,3.7,,,,,,,,,,,,,,,,,Matches
119,Yan Couto,br BRA,"MF,DF",Girona,21,2002,24.9,,,,,,,,,,,,,,,,,Matches
120,Crespo,pt POR,MF,Rayo Vallecano,26,1996,5.9,,,,,,,,,,,,,,,,,Matches
121,Cristian,es ESP,GK,Valencia,25,1998,0.6,,,,,,,,,,,,,,,,,Matches
122,Juan Cruz Armada,es ESP,DF,Osasuna,31,1992,18.5,,,,,,,,,,,,,,,,,Matches
123,Juan Cruz,es ESP,MF,Real Betis,23,2000,0.8,,,,,,,,,,,,,,,,,Matches
124,Pau Cubarsí,es ESP,DF,Barcelona,16,2007,17.3,,,,,,,,,,,,,,,,,Matches
125,Iván Cuéllar,es ESP,GK,Mallorca,39,1984,1.0,,,,,,,,,,,,,,,,,Matches
126,Jorge Cuenca,es ESP,DF,Villarreal,23,1999,21.8,,,,,,,,,,,,,,,,,Matches
127,Eric Curbelo,es ESP,DF,Las Palmas,29,1994,1.1,,,,,,,,,,,,,,,,,Matches
128,Alberto Dadie,es ESP,FW,Real Sociedad,21,2002,0.3,,,,,,,,,,,,,,,,,Matches
129,Sergi Darder,es ESP,MF,Mallorca,29,1993,24.0,,,,,,,,,,,,,,,,,Matches
130,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,29,1994,23.1,,,,,,,,,,,,,,,,,Matches
131,Mouctar Diakhaby,gn GUI,"DF,MF",Valencia,26,1996,11.9,,,,,,,,,,,,,,,,,Matches
132,Moussa Diakité,ml MLI,MF,Cádiz,19,2003,0.0,,,,,,,,,,,,,,,,,Matches
133,Assane Diao,sn SEN,MF,Real Betis,17,2005,11.6,,,,,,,,,,,,,,,,,Matches
134,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,23,1999,17.2,,,,,,,,,,,,,,,,,Matches
135,Víctor Díaz,es ESP,DF,Granada,35,1988,1.8,,,,,,,,,,,,,,,,,Matches
136,Famara Diedhiou,sn SEN,FW,Granada,30,1992,1.0,,,,,,,,,,,,,,,,,Matches
137,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,29,1993,37.0,,,,,,,,,,,,,,,,,Matches
138,Djené,tg TOG,"DF,MF",Getafe,31,1991,27.6,,,,,,,,,,,,,,,,,Matches
139,Marko Dmitrović,rs SRB,GK,Sevilla,31,1992,13.0,,,,,,,,,,,,,,,,,Matches
140,Jaume Doménech,es ESP,GK,Valencia,32,1990,0.9,,,,,,,,,,,,,,,,,Matches
141,Carlos Dominguez,es ESP,DF,Celta Vigo,22,2001,17.6,,,,,,,,,,,,,,,,,Matches
142,Mario Dominguez,es ESP,MF,Valencia,19,2004,0.3,,,,,,,,,,,,,,,,,Matches
143,Carlos Dotor,es ESP,MF,Celta Vigo,22,2001,7.9,,,,,,,,,,,,,,,,,Matches
144,Anastasios Douvikas,gr GRE,FW,Celta Vigo,23,1999,10.1,,,,,,,,,,,,,,,,,Matches
145,Artem Dovbyk,ua UKR,FW,Girona,26,1997,28.7,,,,,,,,,,,,,,,,,Matches
146,Domingos Duarte,pt POR,DF,Getafe,28,1995,10.1,,,,,,,,,,,,,,,,,Matches
147,Rubén Duarte,es ESP,DF,Alavés,27,1995,20.9,,,,,,,,,,,,,,,,,Matches
148,Hugo Duro,es ESP,FW,Valencia,23,1999,33.1,,,,,,,,,,,,,,,,,Matches
149,Aritz Elustondo,es ESP,DF,Real Sociedad,29,1994,9.0,,,,,,,,,,,,,,,,,Matches
150,Adri Embarba,es ESP,"MF,FW",Almería,31,1992,27.5,,,,,,,,,,,,,,,,,Matches
151,Youssef En-Nesyri,ma MAR,FW,Sevilla,26,1997,28.6,,,,,,,,,,,,,,,,,Matches
152,Gonzalo Escalante,ar ARG,MF,Cádiz,30,1993,18.9,,,,,,,,,,,,,,,,,Matches
153,Aarón Escandell,es ESP,GK,Las Palmas,27,1995,1.7,,,,,,,,,,,,,,,,,Matches
154,Alfonso Espino,uy URU,DF,Rayo Vallecano,31,1992,27.9,,,,,,,,,,,,,,,,,Matches
155,Bernardo Espinosa,co COL,DF,Girona,34,1989,0.0,,,,,,,,,,,,,,,,,Matches
156,Karl Etta Eyong,cm CMR,FW,Cádiz,19,2003,0.2,,,,,,,,,,,,,,,,,Matches
157,Abde Ezzalzouli,ma MAR,MF,Real Betis,21,2001,9.6,,,,,,,,,,,,,,,,,Matches
158,Abde Ezzalzouli,ma MAR,"FW,MF",Barcelona,21,2001,0.8,,,,,,,,,,,,,,,,,Matches
159,Radamel Falcao,co COL,FW,Rayo Vallecano,37,1986,4.5,,,,,,,,,,,,,,,,,Matches
160,Fali,es ESP,DF,Cádiz,29,1993,28.3,,,,,,,,,,,,,,,,,Matches
161,Ansu Fati,es ESP,"FW,MF",Barcelona,20,2002,0.6,,,,,,,,,,,,,,,,,Matches
162,Nabil Fekir,fr FRA,"MF,FW",Real Betis,30,1993,11.7,,,,,,,,,,,,,,,,,Matches
163,Luiz Felipe,it ITA,DF,Real Betis,26,1997,4.0,,,,,,,,,,,,,,,,,Matches
164,João Félix,pt POR,FW,Barcelona,23,1999,17.1,,,,,,,,,,,,,,,,,Matches
165,Kiko Femenía,es ESP,DF,Villarreal,32,1991,17.6,,,,,,,,,,,,,,,,,Matches
166,Aitor Fernández,es ESP,GK,Osasuna,32,1991,6.1,,,,,,,,,,,,,,,,,Matches
167,Álex Fernández,es ESP,MF,Cádiz,30,1992,14.3,,,,,,,,,,,,,,,,,Matches
168,Carlos Fernández,es ESP,FW,Real Sociedad,27,1996,4.5,,,,,,,,,,,,,,,,,Matches
169,Raúl Fernández,es ESP,GK,Granada,35,1988,3.1,,,,,,,,,,,,,,,,,Matches
170,Valery Fernández,es ESP,MF,Girona,23,1999,5.6,,,,,,,,,,,,,,,,,Matches
171,Fernando,br BRA,MF,Sevilla,36,1987,5.1,,,,,,,,,,,,,,,,,Matches
172,Fernando,es ESP,GK,Almería,33,1990,4.0,,,,,,,,,,,,,,,,,Matches
173,André Ferreira,pt POR,GK,Granada,27,1996,14.9,,,,,,,,,,,,,,,,,Matches
174,Rachad Fettal,ma MAR,FW,Almería,18,2005,0.2,,,,,,,,,,,,,,,,,Matches
175,Pablo Fornals,es ESP,MF,Real Betis,27,1996,12.8,,,,,,,,,,,,,,,,,Matches
176,Héctor Fort,es ESP,DF,Barcelona,16,2006,3.5,,,,,,,,,,,,,,,,,Matches
177,Dimitri Foulquier,fr FRA,"DF,MF",Valencia,30,1993,20.5,,,,,,,,,,,,,,,,,Matches
178,Juan Foyth,ar ARG,DF,Villarreal,25,1998,11.8,,,,,,,,,,,,,,,,,Matches
179,Jorge de Frutos,es ESP,MF,Rayo Vallecano,26,1997,17.2,,,,,,,,,,,,,,,,,Matches
180,Daniel Fuzato,br BRA,GK,Getafe,26,1997,0.1,,,,,,,,,,,,,,,,,Matches
181,Matteo Gabbia,it ITA,DF,Villarreal,23,1999,5.3,,,,,,,,,,,,,,,,,Matches
182,Javi Galán,es ESP,"DF,MF",Atlético Madrid,28,1994,1.0,,,,,,,,,,,,,,,,,Matches
183,Javi Galán,es ESP,DF,Real Sociedad,28,1994,11.9,,,,,,,,,,,,,,,,,Matches
184,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,29,1993,23.2,,,,,,,,,,,,,,,,,Matches
185,Aleix García,es ESP,MF,Girona,26,1997,35.5,,,,,,,,,,,,,,,,,Matches
186,Álvaro García,es ESP,MF,Rayo Vallecano,30,1992,27.5,,,,,,,,,,,,,,,,,Matches
187,Dani García,es ESP,MF,Athletic Club,33,1990,8.3,,,,,,,,,,,,,,,,,Matches
188,David García,es ESP,DF,Osasuna,29,1994,25.9,,,,,,,,,,,,,,,,,Matches
189,Eric García,es ESP,"DF,MF",Barcelona,22,2001,0.6,,,,,,,,,,,,,,,,,Matches
190,Eric García,es ESP,DF,Girona,22,2001,29.3,,,,,,,,,,,,,,,,,Matches
191,Fran Garcia,es ESP,DF,Real Madrid,23,1999,15.5,,,,,,,,,,,,,,,,,Matches
192,Gonzalo García,es ESP,MF,Real Madrid,19,2004,0.2,,,,,,,,,,,,,,,,,Matches
193,Jastin García,es ESP,FW,Girona,19,2004,0.4,,,,,,,,,,,,,,,,,Matches
194,Raúl García,es ESP,FW,Athletic Club,37,1986,4.7,,,,,,,,,,,,,,,,,Matches
195,Rubén García,es ESP,"FW,MF",Osasuna,30,1993,17.2,,,,,,,,,,,,,,,,,Matches
196,Santiago García,es ESP,MF,Getafe,21,2001,0.3,,,,,,,,,,,,,,,,,Matches
197,Unai García,es ESP,DF,Osasuna,31,1992,6.2,,,,,,,,,,,,,,,,,Matches
198,Yarek Gasiorowski,es ESP,DF,Valencia,18,2005,8.2,,,,,,,,,,,,,,,,,Matches
199,Federico Gattoni,ar ARG,DF,Sevilla,24,1999,0.1,,,,,,,,,,,,,,,,,Matches
200,Gavi,es ESP,"MF,FW",Barcelona,18,2004,10.5,,,,,,,,,,,,,,,,,Matches
201,Paulo Gazzaniga,ar ARG,GK,Girona,31,1992,38.0,,,,,,,,,,,,,,,,,Matches
202,David Gil,es ESP,GK,Cádiz,29,1994,4.1,,,,,,,,,,,,,,,,,Matches
203,Maxi Gómez,uy URU,FW,Cádiz,26,1996,12.9,,,,,,,,,,,,,,,,,Matches
204,Moi Gómez,es ESP,"MF,FW",Osasuna,29,1994,22.3,,,,,,,,,,,,,,,,,Matches
205,Unai Gómez,es ESP,MF,Athletic Club,20,2003,9.7,,,,,,,,,,,,,,,,,Matches
206,Édgar González,es ESP,"DF,MF",Almería,26,1997,28.0,,,,,,,,,,,,,,,,,Matches
207,Fabio González,es ESP,MF,Las Palmas,26,1997,1.4,,,,,,,,,,,,,,,,,Matches
208,Giovanni González,uy URU,DF,Mallorca,28,1994,27.4,,,,,,,,,,,,,,,,,Matches
209,Hugo González,es ESP,FW,Valencia,20,2003,1.0,,,,,,,,,,,,,,,,,Matches
210,Iñaki González,es ESP,MF,Las Palmas,19,2004,0.1,,,,,,,,,,,,,,,,,Matches
211,Peter González,do DOM,MF,Valencia,21,2002,7.2,,,,,,,,,,,,,,,,,Matches
212,Urko González,es ESP,MF,Real Sociedad,22,2001,1.7,,,,,,,,,,,,,,,,,Matches
213,Andoni Gorosabel,es ESP,DF,Alavés,26,1996,31.7,,,,,,,,,,,,,,,,,Matches
214,Pablo Gozalbez,es ESP,MF,Valencia,22,2001,1.1,,,,,,,,,,,,,,,,,Matches
215,Mason Greenwood,eng ENG,"MF,FW",Getafe,21,2001,29.6,,,,,,,,,,,,,,,,,Matches
216,Dominik Greif,sk SVK,GK,Mallorca,26,1997,1.0,,,,,,,,,,,,,,,,,Matches
217,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,32,1991,29.4,,,,,,,,,,,,,,,,,Matches
218,Vicente Guaita,es ESP,GK,Celta Vigo,36,1987,26.7,,,,,,,,,,,,,,,,,Matches
219,Andrés Guardado,mx MEX,MF,Real Betis,36,1986,5.0,,,,,,,,,,,,,,,,,Matches
220,Sergi Guardiola,es ESP,FW,Cádiz,32,1991,5.5,,,,,,,,,,,,,,,,,Matches
221,Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,31,1991,19.4,,,,,,,,,,,,,,,,,Matches
222,Gonçalo Guedes,pt POR,"FW,MF",Villarreal,26,1996,10.6,,,,,,,,,,,,,,,,,Matches
223,Javier Guerra,es ESP,MF,Valencia,20,2003,27.8,,,,,,,,,,,,,,,,,Matches
224,Ander Guevara,es ESP,MF,Alavés,26,1997,32.6,,,,,,,,,,,,,,,,,Matches
225,Hugo Guillamón,es ESP,MF,Valencia,23,2000,14.6,,,,,,,,,,,,,,,,,Matches
226,Marc Guiu,es ESP,FW,Barcelona,17,2006,0.8,,,,,,,,,,,,,,,,,Matches
227,Arda Güler,tr TUR,"MF,FW",Real Madrid,18,2005,4.2,,,,,,,,,,,,,,,,,Matches
228,Gerard Gumbau,es ESP,MF,Granada,28,1994,29.7,,,,,,,,,,,,,,,,,Matches
229,İlkay Gündoğan,de GER,MF,Barcelona,32,1990,33.3,,,,,,,,,,,,,,,,,Matches
230,Jon Guridi,es ESP,MF,Alavés,28,1995,29.8,,,,,,,,,,,,,,,,,Matches
231,Gorka Guruzeta,es ESP,FW,Athletic Club,26,1996,24.6,,,,,,,,,,,,,,,,,Matches
232,Miguel Gutiérrez,es ESP,"DF,MF",Girona,22,2001,33.7,,,,,,,,,,,,,,,,,Matches
233,Munir El Haddadi,ma MAR,"MF,FW",Las Palmas,27,1995,27.2,,,,,,,,,,,,,,,,,Matches
234,Ianis Hagi,ro ROU,MF,Alavés,24,1998,8.9,,,,,,,,,,,,,,,,,Matches
235,Luiz Henrique,br BRA,MF,Real Betis,22,2001,6.8,,,,,,,,,,,,,,,,,Matches
236,Mario Hermoso,es ESP,DF,Atlético Madrid,28,1995,28.4,,,,,,,,,,,,,,,,,Matches
237,Javi Hernández,es ESP,DF,Cádiz,25,1998,27.9,,,,,,,,,,,,,,,,,Matches
238,Aridane Hernández,es ESP,DF,Rayo Vallecano,34,1989,18.8,,,,,,,,,,,,,,,,,Matches
239,Luis Hernández,es ESP,DF,Cádiz,34,1989,8.0,,,,,,,,,,,,,,,,,Matches
240,Jorge Herrando,es ESP,DF,Osasuna,22,2001,18.3,,,,,,,,,,,,,,,,,Matches
241,Ander Herrera,es ESP,MF,Athletic Club,33,1989,11.4,,,,,,,,,,,,,,,,,Matches
242,Cristian Herrera,es ESP,MF,Las Palmas,32,1991,1.8,,,,,,,,,,,,,,,,,Matches
243,Sergio Herrera,es ESP,GK,Osasuna,30,1993,31.9,,,,,,,,,,,,,,,,,Matches
244,Yangel Herrera,ve VEN,MF,Girona,25,1998,23.4,,,,,,,,,,,,,,,,,Matches
245,Juan Herzog,es ESP,DF,Las Palmas,20,2003,3.2,,,,,,,,,,,,,,,,,Matches
246,Martin Hongla,cm CMR,"MF,DF",Granada,25,1998,6.2,,,,,,,,,,,,,,,,,Matches
247,Xabier Huarte Armendáriz,es ESP,MF,Osasuna,22,2001,0.1,,,,,,,,,,,,,,,,,Matches
248,Pablo Ibáñez,es ESP,MF,Osasuna,24,1998,12.8,,,,,,,,,,,,,,,,,Matches
249,Iglesias,es ESP,"DF,MF",Getafe,25,1998,15.7,,,,,,,,,,,,,,,,,Matches
250,Borja Iglesias,es ESP,FW,Real Betis,30,1993,4.5,,,,,,,,,,,,,,,,,Matches
