Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
1,Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2.0,,,,,,,,,,,,,,,,,Matches
2,Abner,br BRA,DF,Real Betis,23,2000,15.6,,,,,,,,,,,,,,,,,Matches
3,Abdel Abqar,ma MAR,DF,Alavés,24,1999,25.7,,,,,,,,,,,,,,,,,Matches
4,Marcos Acuña,ar ARG,"DF,MF",Sevilla,31,1991,14.4,,,,,,,,,,,,,,,,,Matches
5,Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,2.6,,,,,,,,,,,,,,,,,Matches
6,Lucien Agoume,fr FRA,MF,Sevilla,21,2002,8.6,,,,,,,,,,,,,,,,,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,4.5,,,,,,,,,,,,,,,,,Matches
8,Ilias Akhomach,ma MAR,MF,Villarreal,19,2004,16.8,,,,,,,,,,,,,,,,,Matches
9,Sergio Akieme,es ESP,"DF,MF",Almería,25,1997,18.6,,,,,,,,,,,,,,,,,Matches
10,Paul Akouokou,ci CIV,MF,Real Betis,25,1997,0.3,,,,,,,,,,,,,,,,,Matches
11,David Alaba,at AUT,DF,Real Madrid,31,1992,12.8,,,,,,,,,,,,,,,,,Matches
12,Raúl Albiol,es ESP,DF,Villarreal,37,1985,22.6,,,,,,,,,,,,,,,,,Matches
13,Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,34.8,,,,,,,,,,,,,,,,,Matches
14,Omar Alderete,py PAR,DF,Getafe,26,1996,24.4,,,,,,,,,,,,,,,,,Matches
15,Iván Alejo,es ESP,MF,Cádiz,28,1995,18.8,,,,,,,,,,,,,,,,,Matches
16,Carles Aleñá,es ESP,MF,Getafe,25,1998,11.3,,,,,,,,,,,,,,,,,Matches
17,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,19,2004,2.8,,,,,,,,,,,,,,,,,Matches
18,Tadeo Allende,ar ARG,MF,Celta Vigo,24,1999,3.7,,,,,,,,,,,,,,,,,Matches
19,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,23,2000,10.7,,,,,,,,,,,,,,,,,Matches
20,Marcos Alonso,es ESP,DF,Barcelona,32,1990,2.8,,,,,,,,,,,,,,,,,Matches
21,Adrià Altimira,es ESP,"DF,MF",Villarreal,22,2001,8.6,,,,,,,,,,,,,,,,,Matches
22,Sergi Altimira,es ESP,MF,Real Betis,21,2001,6.3,,,,,,,,,,,,,,,,,Matches
23,Gastón Álvarez,uy URU,DF,Getafe,23,2000,28.2,,,,,,,,,,,,,,,,,Matches
24,Hugo Álvarez,es ESP,"MF,FW",Celta Vigo,20,2003,8.5,,,,,,,,,,,,,,,,,Matches
25,Yeray Álvarez,es ESP,DF,Athletic Club,28,1995,12.8,,,,,,,,,,,,,,,,,Matches
26,Selim Amallah,ma MAR,"MF,FW",Valencia,26,1996,6.7,,,,,,,,,,,,,,,,,Matches
27,Amath,sn SEN,"FW,MF",Mallorca,27,1996,4.4,,,,,,,,,,,,,,,,,Matches
28,Miguel Ángel Rubio,es ESP,DF,Granada,25,1998,17.3,,,,,,,,,,,,,,,,,Matches
29,Fabrizio Angileri,ar ARG,DF,Getafe,29,1994,1.8,,,,,,,,,,,,,,,,,Matches
30,Mauro Arambarri,uy URU,MF,Getafe,27,1995,3.8,,,,,,,,,,,,,,,,,Matches
31,Jon Aramburu,ve VEN,"DF,MF",Real Sociedad,21,2002,6.0,,,,,,,,,,,,,,,,,Matches
32,Julian Araujo,mx MEX,DF,Las Palmas,21,2001,16.2,,,,,,,,,,,,,,,,,Matches
33,Ronald Araújo,uy URU,DF,Barcelona,24,1999,22.2,,,,,,,,,,,,,,,,,Matches
34,Adu Ares,es ESP,MF,Athletic Club,21,2001,2.9,,,,,,,,,,,,,,,,,Matches
35,Jesús Areso,es ESP,"DF,MF",Osasuna,24,1999,29.6,,,,,,,,,,,,,,,,,Matches
36,Matias Arezo,uy URU,FW,Granada,20,2002,4.1,,,,,,,,,,,,,,,,,Matches
