Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
1,Adrián,es ESP,GK,Real Betis,37,1987,19,19,1710,19.0,27,1.42,76,50,65.8,10,5,4,3,15.8,1,1,0,0,0.0,Matches
2,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,14,14,1206,13.4,10,0.75,32,24,71.9,9,4,1,5,35.7,2,1,1,0,50.0,Matches
3,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,32,2880,32.0,39,1.22,125,93,73.6,10,12,10,8,25.0,8,6,2,0,25.0,Matches
5,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,27,27,2335,25.9,42,1.62,123,88,69.1,6,8,13,3,11.1,8,4,3,1,42.9,Matches
6,Diego Conde,es ESP,GK,Villarreal,25,1998,22,22,1962,21.8,33,1.51,93,63,67.7,11,6,5,2,9.1,4,3,0,1,0.0,Matches
7,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,30,2700,30.0,29,0.97,103,77,74.8,20,6,4,11,36.7,3,3,0,0,0.0,Matches
9,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,32,2880,32.0,49,1.53,145,102,71.0,8,11,13,10,31.3,8,7,0,1,0.0,Matches
14,Joan García,es ESP,GK,Espanyol,23,2001,38,38,3420,38.0,51,1.34,188,143,75.0,11,9,18,8,21.1,6,4,2,0,33.3,Matches
15,Paulo Gazzaniga,ar ARG,GK,Girona,32,1992,36,36,3195,35.5,51,1.44,136,90,64.0,11,8,17,8,22.2,5,2,3,0,60.0,Matches
16,Dominik Greif,sk SVK,GK,Mallorca,27,1997,31,31,2790,31.0,34,1.10,117,85,72.6,11,8,12,7,22.6,2,2,0,0,0.0,Matches
17,Vicente Guaita,es ESP,GK,Celta Vigo,37,1987,34,34,3060,34.0,48,1.41,126,81,64.3,14,7,13,8,23.5,3,3,0,0,0.0,Matches
18,Sergio Herrera,es ESP,GK,Osasuna,31,1993,37,37,3330,37.0,52,1.41,177,132,74.6,12,15,10,8,21.6,7,7,0,0,0.0,Matches
19,Dinko Horkaš,hr CRO,GK,Las Palmas,25,1999,13,11,1085,12.1,19,1.58,53,36,66.0,2,0,9,1,9.1,2,1,1,0,50.0,Matches
20,Karl Jakob Hein,ee EST,GK,Valladolid,22,2002,31,31,2790,31.0,68,2.19,160,96,60.0,4,4,23,5,16.1,4,4,0,0,0.0,Matches
21,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,23,2001,17,16,1458,16.2,18,1.11,65,49,78.5,9,4,3,5,31.3,4,4,0,0,0.0,Matches
25,Giorgi Mamardashvili,ge GEO,GK,Valencia,23,2000,34,34,3060,34.0,48,1.41,132,91,67.4,11,11,12,8,23.5,7,5,2,0,28.6,Matches
28,Ørjan Nyland,no NOR,GK,Sevilla,33,1990,30,30,2673,29.7,39,1.31,108,73,66.7,8,10,12,8,26.7,4,3,1,0,25.0,Matches
29,Jan Oblak,si SVN,GK,Atlético Madrid,31,1993,36,36,3240,36.0,30,0.83,111,86,77.5,20,10,6,15,41.7,5,5,0,0,0.0,Matches
32,Iñaki Peña,es ESP,GK,Barcelona,25,1999,16,15,1396,15.5,18,1.16,52,35,69.2,7,3,5,4,26.7,2,2,0,0,0.0,Matches
34,Álex Remiro,es ESP,GK,Real Sociedad,29,1995,36,36,3240,36.0,43,1.19,124,86,69.4,13,7,16,13,36.1,6,5,1,0,16.7,Matches
37,Rui Silva,pt POR,GK,Real Betis,30,1994,15,15,1350,15.0,18,1.20,52,37,71.2,5,5,5,4,26.7,3,3,0,0,0.0,Matches
38,Unai Simón,es ESP,GK,Athletic Club,27,1997,21,21,1890,21.0,14,0.67,59,47,78.0,10,8,3,10,47.6,2,1,1,0,50.0,Matches
39,Antonio Sivera,es ESP,GK,Alavés,27,1996,32,32,2810,31.2,39,1.25,106,75,71.7,9,10,13,9,28.1,9,9,0,0,0.0,Matches
40,David Soria,es ESP,GK,Getafe,31,1993,38,38,3420,38.0,39,1.03,119,89,73.9,11,9,18,9,23.7,9,8,1,0,11.1,Matches
42,Wojciech Szczęsny,pl POL,GK,Barcelona,34,1990,15,15,1350,15.0,12,0.80,32,21,65.6,14,1,0,8,53.3,1,1,0,0,0.0,Matches
