Player,Squad,Pos,Min,xG,xA,season
Artem Dovbyk,Girona,FW,2678.0,23.313817247748375,6.509533985517919,2023-24
Alexander Sørloth,Villarreal,FW,2487.0,15.42916595377028,4.057515846565366,2023-24
Robert Lewandowski,Barcelona,FW,2777.0,17.914700919762254,5.09992503747344,2023-24
Jude Bellingham,Real Madrid,FW,2351.0,12.974516276270151,5.894492693245411,2023-24
Ante Budimir,Osasuna,FW,2476.0,15.208166905678809,2.322105295024812,2023-24
Antoine Griezmann,Atletico Madrid,FW,2685.0,13.233244309201837,5.676792664453387,2023-24
Youssef En-Nesyri,Sevilla,FW,2580.0,13.3881605733186,1.3884780388325453,2023-24
Álvaro Morata,Atletico Madrid,FW,1924.0,17.68113228864968,2.8247487526386976,2023-24
Borja Mayoral,Getafe,FW,2193.0,11.781445782631636,1.9314997978508472,2023-24
Vinícius Júnior,Real Madrid,FW,1902.0,15.999081552028656,4.433579048141837,2023-24
Gorka Guruzeta,Athletic Club,FW,2321.0,13.0646229442209,3.0766469575464725,2023-24
Hugo Duro,Valencia,FW,3050.0,11.410676322877407,1.5678155571222305,2023-24
Jørgen Strand Larsen,Celta Vigo,FW,2951.0,16.671772304922342,2.7474186159670353,2023-24
Iñaki Williams,Athletic Club,FW,2880.0,11.432036427780986,6.1919286930933595,2023-24
Myrto Uzuni,Granada,FW,2490.0,12.619373556226492,3.1601249799132347,2023-24
Joselu,Real Madrid,FW,1631.0,13.563519598916173,2.3252388201653957,2023-24
Gerard Moreno,Villarreal,FW,2296.0,9.997523443773389,5.868685748428106,2023-24
Willian José,Real Betis,FW,2004.0,6.604414518922567,3.088982405140996,2023-24
Rodrygo,Real Madrid,FW,2426.0,12.429995279759169,4.424967087805271,2023-24
Ayoze Pérez,Real Betis,FW,2346.0,8.989579416811466,4.214360909536481,2023-24
Cristhian Stuani,Girona,FW,694.0,11.261974029242992,2.2404822162352502,2023-24
Mikel Oyarzabal,Real Sociedad,FW,2160.0,10.142703792080283,2.1910949237644672,2023-24
Ángel Correa,Atletico Madrid,FW,1502.0,7.449641685932875,4.268415723927319,2023-24
Iago Aspas,Celta Vigo,FW,2736.0,10.404229525476694,12.151071110740304,2023-24
Sergio Arribas,Almeria,FW,2065.0,9.642353873699903,4.135038662701845,2023-24
Sávio,Girona,FW,3062.0,6.155738043598831,8.476998306810856,2023-24
Samu Omorodion,"Alaves,Granada",FW,2014.0,13.301204808056355,1.8839029110968113,2023-24
Isco,Real Betis,MF,2377.0,9.666563872247934,8.340999964624643,2023-24
Brahim Diaz,Real Madrid,FW,1548.0,7.064669705927372,5.103312510065734,2023-24
Mason Greenwood,Getafe,FW,2766.0,9.606171378865838,5.150464846752584,2023-24
Viktor Tsygankov,Girona,FW,2118.0,7.182822577655315,6.8491873703897,2023-24
Fermín López,Barcelona,FW,1447.0,8.455701429396868,1.420464774593711,2023-24
Morales,Villarreal,FW,996.0,5.825236776843667,0.5933051854372025,2023-24
Pepelu,Valencia,MF,3314.0,6.94635817874223,3.3046364076435566,2023-24
Alex Berenguer,Athletic Club,MF,1533.0,5.9159444607794285,4.649526584893465,2023-24
Portu,"Getafe,Girona",FW,1205.0,4.973772298544645,3.6542198257520795,2023-24
Ferrán Torres,Barcelona,FW,1168.0,6.14692690782249,2.06962201744318,2023-24
João Félix,Barcelona,FW,1530.0,8.801812421530485,3.087745688855648,2023-24
Takefusa Kubo,Real Sociedad,FW,2169.0,5.006727017462254,6.733130760490894,2023-24
Vedat Muriqi,Mallorca,FW,2335.0,11.220534628257155,3.225141496397555,2023-24
Tasos Douvikas,Celta Vigo,FW,846.0,5.597069129347801,1.1894508870318532,2023-24
Lucas Boyé,Granada,FW,2613.0,7.1452496172860265,3.2088521169498563,2023-24
Leo Baptistao,Almeria,FW,1869.0,5.837608506903052,1.8269870448857546,2023-24
Marcos Llorente,Atletico Madrid,FW,2580.0,4.876857055351138,6.641838442534208,2023-24
