Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
71,Marc Bartra,es ESP,DF,Real Betis,33,1991,25,23,2099,23.3,2,1,3,2,0,0,2,0,0.09,0.04,0.13,0.09,0.13,Matches
73,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,32,2880,32.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
75,Sheraldo Becker,sr SUR,"MF,FW",Real Sociedad,29,1995,22,11,995,11.1,2,1,3,2,0,0,1,1,0.18,0.09,0.27,0.18,0.27,Matches
76,Donny van de Beek,nl NED,MF,Girona,27,1997,26,16,1421,15.8,2,2,4,2,0,0,5,0,0.13,0.13,0.25,0.13,0.25,Matches
80,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,31,29,2488,27.6,9,8,17,8,1,2,5,1,0.33,0.29,0.61,0.29,0.58,Matches
81,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,34,29,2421,26.9,2,1,3,2,0,0,3,0,0.07,0.04,0.11,0.07,0.11,Matches
84,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,30,22,2044,22.7,0,2,2,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,Matches
85,Álex Berenguer,es ESP,"MF,FW",Athletic Club,29,1995,36,28,2339,26.0,6,7,13,6,0,1,5,0,0.23,0.27,0.50,0.23,0.50,Matches
89,Juan Berrocal,es ESP,DF,Getafe,25,1999,19,11,1063,11.8,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches
90,Antonio Blanco,es ESP,MF,Alavés,24,2000,35,32,2727,30.3,0,1,1,0,0,0,11,1,0.00,0.03,0.03,0.00,0.03,Matches
91,Daley Blind,nl NED,DF,Girona,34,1990,34,31,2780,30.9,0,2,2,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
92,Adama Boiro,es ESP,DF,Athletic Club,22,2002,18,13,1101,12.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
93,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,34,33,2987,33.2,2,0,2,2,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches
95,Darko Brašanac,rs SRB,MF,Leganés,32,1992,30,15,1617,18.0,1,2,3,1,0,0,4,0,0.06,0.11,0.17,0.06,0.17,Matches
96,Abel Bretones,es ESP,"DF,MF",Osasuna,23,2000,35,20,2074,23.0,2,0,2,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches
98,Ante Budimir,hr CRO,FW,Osasuna,33,1991,38,34,2952,32.8,21,4,25,13,8,8,4,0,0.64,0.12,0.76,0.40,0.52,Matches
103,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,33,32,2869,31.9,4,2,6,4,0,0,4,1,0.13,0.06,0.19,0.13,0.19,Matches
105,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,19,11,1102,12.2,1,2,3,1,0,0,2,0,0.08,0.16,0.25,0.08,0.25,Matches
106,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,23,14,1134,12.6,3,2,5,3,0,0,2,0,0.24,0.16,0.40,0.24,0.40,Matches
107,José Campaña,es ESP,MF,Las Palmas,31,1993,25,15,1189,13.2,0,3,3,0,0,0,5,0,0.00,0.23,0.23,0.00,0.23,Matches
109,Antonio Candela,it ITA,DF,Valladolid,24,2000,12,12,906,10.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
114,Sergi Cardona,es ESP,DF,Villarreal,25,1999,35,34,2945,32.7,1,7,8,1,0,0,11,0,0.03,0.21,0.24,0.03,0.24,Matches
115,Johnny Cardoso,us USA,MF,Real Betis,22,2001,28,24,2144,23.8,3,1,4,3,0,0,4,0,0.13,0.04,0.17,0.13,0.17,Matches
117,Carmona,es ESP,DF,Sevilla,22,2002,35,35,2942,32.7,0,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Sergio Carreira,es ESP,MF,Celta Vigo,23,2000,23,19,1656,18.4,0,4,4,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches
121,Marc Casado,es ESP,MF,Barcelona,20,2003,23,20,1611,17.9,1,3,4,1,0,0,4,1,0.06,0.17,0.22,0.06,0.22,Matches
122,Catena,es ESP,DF,Osasuna,29,1994,35,35,3074,34.2,1,3,4,1,0,0,11,0,0.03,0.09,0.12,0.03,0.12,Matches
124,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,23,15,1215,13.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
127,Pep Chavarría,es ESP,DF,Rayo Vallecano,26,1998,34,28,2585,28.7,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matches
133,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,27,27,2335,25.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
