Rk,Squad
1,Leverkusen
2,Stuttgart
3,Bayern Munich
4,RB Leipzig
5,Dortmund
6,Eintracht Frankfurt
7,Hoffenheim
8,Heidenheim
9,Werder Bremen
10,Freiburg
11,Augsburg
12,Wolfsburg
13,Mainz 05
14,Gladbach
15,Union Berlin
16,Bochum
17,Köln
18,Darmstadt 98
