Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
51,Leonardo Bittencourt,de GER,MF,Werder Bremen,30,1993,10.9,,,,,,,,,,,,,,,1,,,,,,Matches
52,Myron Boadu,nl NED,FW,Bochum,23,2001,11.6,,,,,,,,,,,,,,,1,,,,,,Matches
53,Sacha Boey,fr FRA,DF,Bayern Munich,23,2000,6.6,,,,,,,,,,,,,,,2,,,,,,Matches
54,Victor Boniface,ng NGA,FW,Leverkusen,23,2000,11.2,,,,,,,,,,,,,,,1,,,,,,Matches
55,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,25,1999,8.8,,,,,,,,,,,,,,,1,,,,,,Matches
56,Carlo Boukhalfa,ma MAR,MF,St Pauli,25,1999,18.3,,,,,,,,,,,,,,,0,,,,,,Matches
57,Julian Brandt,de GER,MF,Dortmund,28,1996,25.6,,,,,,,,,,,,,,,10,,,,,,Matches
58,Tim Breithaupt,de GER,MF,Augsburg,22,2002,1.3,,,,,,,,,,,,,,,1,,,,,,Matches
59,Maximilian Breunig,de GER,FW,Heidenheim,23,2000,3.9,,,,,,,,,,,,,,,0,,,,,,Matches
60,Moritz Broschinski,de GER,"FW,MF",Bochum,23,2000,15.4,,,,,,,,,,,,,,,3,,,,,,Matches
61,Nathaniel Brown,de GER,"MF,DF",Eintracht Frankfurt,21,2003,21.6,,,,,,,,,,,,,,,6,,,,,,Matches
62,Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,25,1998,4.4,,,,,,,,,,,,,,,2,,,,,,Matches
63,Jacob Bruun Larsen,dk DEN,MF,Stuttgart,25,1998,4.6,,,,,,,,,,,,,,,0,,,,,,Matches
64,Emi Buendía,ar ARG,MF,Leverkusen,27,1996,2.9,,,,,,,,,,,,,,,0,,,,,,Matches
65,Marius Bülter,de GER,"MF,FW",Hoffenheim,31,1993,19.2,,,,,,,,,,,,,,,2,,,,,,Matches
66,Jonathan Burkardt,de GER,FW,Mainz 05,24,2000,23.4,,,,,,,,,,,,,,,2,,,,,,Matches
67,Oliver Burke,sct SCO,FW,Werder Bremen,27,1997,10.1,,,,,,,,,,,,,,,0,,,,,,Matches
68,Marnon Busch,de GER,"DF,MF",Heidenheim,29,1994,15.5,,,,,,,,,,,,,,,1,,,,,,Matches
69,Anthony Caci,fr FRA,MF,Mainz 05,27,1997,29.8,,,,,,,,,,,,,,,7,,,,,,Matches
70,Cole Campbell,us USA,FW,Dortmund,18,2006,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
71,Emre Can,de GER,"DF,MF",Dortmund,30,1994,23.4,,,,,,,,,,,,,,,0,,,,,,Matches
72,Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,4.2,,,,,,,,,,,,,,,0,,,,,,Matches
73,Abdoulie Ceesay,gm GAM,FW,St Pauli,20,2004,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
74,Julian Chabot,de GER,DF,Stuttgart,26,1998,25.2,,,,,,,,,,,,,,,1,,,,,,Matches
