Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
180,Emanuel Emegha,nl NED,FW,Strasbourg,20,2003,23.1,8,48,21,43.8,2.08,0.91,0.17,0.38,0,1,Matches
181,Maxime Estève,fr FRA,DF,Montpellier,21,2002,11.1,1,6,2,33.3,0.54,0.18,0.17,0.50,0,0,Matches
182,Oscar Estupiñan,co COL,FW,Metz,26,1996,2.9,0,6,1,16.7,2.08,0.35,0.00,0.00,0,0,Matches
183,Romain Faivre,fr FRA,MF,Lorient,25,1998,16.1,5,27,10,37.0,1.67,0.62,0.19,0.50,0,0,Matches
184,Ilhan Fakili,fr FRA,MF,Clermont Foot,17,2006,1.0,0,4,2,50.0,3.83,1.91,0.00,0.00,0,0,Matches
185,Khalil Fayad,fr FRA,MF,Montpellier,19,2004,11.4,3,17,7,41.2,1.49,0.61,0.18,0.43,0,0,Matches
186,Ichem Ferrah,fr FRA,MF,Lille,17,2005,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
187,Jordan Ferri,fr FRA,MF,Montpellier,31,1992,22.6,1,9,1,11.1,0.40,0.04,0.11,1.00,0,0,Matches
188,Malick Fofana,be BEL,"FW,MF",Lyon,18,2005,6.2,3,9,7,77.8,1.45,1.13,0.33,0.43,0,0,Matches
189,Youssouf Fofana,fr FRA,MF,Monaco,24,1999,30.0,4,52,14,26.9,1.74,0.47,0.08,0.29,0,0,Matches
190,Thomas Foket,be BEL,"DF,MF",Reims,28,1994,20.4,0,3,0,0.0,0.15,0.00,0.00,,0,0,Matches
191,Tiago Fonseca Morais,pt POR,MF,Lille,19,2003,0.5,0,1,0,0.0,1.96,0.00,0.00,,0,0,Matches
192,Przemysław Frankowski,pl POL,MF,Lens,28,1995,24.4,3,31,10,32.3,1.27,0.41,0.06,0.20,1,2,Matches
193,Angelo Fulgini,fr FRA,MF,Lens,26,1996,15.3,1,46,10,21.7,3.01,0.65,0.02,0.10,0,0,Matches
194,Kévin Gameiro,fr FRA,"FW,MF",Strasbourg,36,1987,15.0,4,29,12,41.4,1.94,0.80,0.07,0.17,2,2,Matches
195,Ignatius Ganago,cm CMR,"MF,FW",Nantes,24,1999,2.0,0,6,0,0.0,2.93,0.00,0.00,,0,0,Matches
196,Ulisses Garcia,ch SUI,"DF,MF",Marseille,27,1996,10.1,0,11,5,45.5,1.09,0.50,0.00,0.00,0,0,Matches
197,Johan Gastien,fr FRA,MF,Clermont Foot,35,1988,25.1,0,11,5,45.5,0.44,0.20,0.00,0.00,0,0,Matches
198,Yann Gboho,fr FRA,"MF,FW",Toulouse,22,2001,13.3,3,23,8,34.8,1.74,0.60,0.13,0.38,0,0,Matches
199,Gelabert,es ESP,"MF,FW",Toulouse,22,2000,8.4,1,14,4,28.6,1.67,0.48,0.07,0.25,0,0,Matches
200,Denis Genreau,au AUS,MF,Toulouse,24,1999,5.2,0,3,1,33.3,0.58,0.19,0.00,0.00,0,0,Matches
201,Samuel Gigot,fr FRA,DF,Marseille,29,1993,19.2,3,19,9,47.4,0.99,0.47,0.16,0.33,0,0,Matches
202,Aleksandr Golovin,ru RUS,MF,Monaco,27,1996,23.9,6,45,20,44.4,1.89,0.84,0.13,0.30,0,0,Matches
203,Angel Gomes,eng ENG,MF,Lille,22,2000,28.6,0,34,7,20.6,1.19,0.25,0.00,0.00,0,0,Matches
204,Maxime Gonalons,fr FRA,MF,Clermont Foot,34,1989,14.4,1,13,3,23.1,0.90,0.21,0.08,0.33,0,0,Matches
