Player,Squad,Pos,Min,xG,xA,season
Kylian Mbappe-Lottin,Paris Saint Germain,FW,2144.0,21.30484156869352,6.111246053129435,2023-24
Alexandre Lacazette,Lyon,FW,2328.0,14.314888790249825,2.1464070649817586,2023-24
Jonathan Christian David,Lille,FW,2662.0,20.245989114046097,3.6278544832021,2023-24
Pierre-Emerick Aubameyang,Marseille,FW,2651.0,22.92249481752515,5.676151594147086,2023-24
Wissam Ben Yedder,Monaco,FW,2329.0,15.413016859441996,5.340569153428078,2023-24
Thijs Dallinga,Toulouse,FW,2526.0,15.851471649482846,1.827732164412737,2023-24
Georges Mikautadze,Metz,FW,1767.0,9.639897767454386,2.277865383774042,2023-24
Terem Igobor Moffi,Nice,FW,1985.0,10.773453200235963,4.1571652777493,2023-24
Gonçalo Ramos,Paris Saint Germain,FW,1432.0,10.042182721197605,2.3267749901860952,2023-24
Arnaud Kalimuendo Muinga,Rennes,FW,2185.0,9.685840448364615,2.3931171717122197,2023-24
Takumi Minamino,Monaco,FW,2159.0,7.044541770592332,5.270321061834693,2023-24
Benjamin Bourigeaud,Rennes,FW,2467.0,9.492334720678627,6.859400821849704,2023-24
Téji Savanier,Montpellier,MF,2802.0,9.534016711637378,8.263342382386327,2023-24
Sepe Elye Wahi,"Lens,Montpellier",FW,1723.0,14.083894703537226,3.1773214172571898,2023-24
Romain Del Castillo,Brest,FW,2557.0,5.3914333544671535,10.25096280220896,2023-24
Muhammed-Cham Saracevic,Clermont Foot,FW,2580.0,9.278165878728032,3.048882992938161,2023-24
Mostafa Mohamed,Nantes,FW,2052.0,7.874880239367485,2.762396715581417,2023-24
Akor Adams,Montpellier,FW,2304.0,13.71569935977459,1.9707514513283968,2023-24
Emanuel Emegha,Strasbourg,FW,2105.0,10.774887776002288,0.33968299720436335,2023-24
Mohamed Bamba,Lorient,FW,1163.0,7.7029648795723915,2.106854500249028,2023-24
Florian Sotoca,Lens,FW,2615.0,8.699992233887315,7.505253344774246,2023-24
Wesley Said,Lens,FW,1004.0,6.774058876559138,1.0907432921230793,2023-24
Martin Terrier,Rennes,FW,1561.0,5.484762106090784,3.058112908154726,2023-24
Amine Gouiri,Rennes,FW,2090.0,8.593208337202668,2.2471080673858523,2023-24
