Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
57,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,,,,,,,,,,,,,,,,,Matches
58,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,,,,,,,,,,,,,,,,,Matches
59,Cédric Bakambu,cd COD,FW,Real Betis,33,1991,7.9,,,,,,,,,,,,,,,,,Matches
60,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,,,,,,,,,,,,,,,,,Matches
61,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,,,,,,,,,,,,,,,,,Matches
62,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,28,1996,9.0,,,,,,,,,,,,,,,,,Matches
63,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,,,,,,,,,,,,,,,,,Matches
64,Valentín Barco,ar ARG,DF,Sevilla,20,2004,3.2,,,,,,,,,,,,,,,,,Matches
65,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,,,,,,,,,,,,,,,,,Matches
66,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,,,,,,,,,,,,,,,,,Matches
67,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,,,,,,,,,,,,,,,,,Matches
68,Ander Barrenetxea,es ESP,MF,Real Sociedad,22,2001,14.0,,,,,,,,,,,,,,,,,Matches
69,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,,,,,,,,,,,,,,,,,Matches
70,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,,,,,,,,,,,,,,,,,Matches
71,Marc Bartra,es ESP,DF,Real Betis,33,1991,23.3,,,,,,,,,,,,,,,,,Matches
72,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0.0,,,,,,,,,,,,,,,,,Matches
73,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32.0,,,,,,,,,,,,,,,,,Matches
74,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2.0,,,,,,,,,,,,,,,,,Matches
75,Sheraldo Becker,sr SUR,"MF,FW",Real Sociedad,29,1995,11.1,,,,,,,,,,,,,,,,,Matches
76,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,,,,,,,,,,,,,,,,,Matches
77,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,0.1,,,,,,,,,,,,,,,,,Matches
78,Ismael Bekhoucha,ma MAR,DF,Getafe,19,2004,0.8,,,,,,,,,,,,,,,,,Matches
79,Héctor Bellerín,es ESP,DF,Real Betis,29,1995,6.4,,,,,,,,,,,,,,,,,Matches
80,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,27.6,,,,,,,,,,,,,,,,,Matches
81,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,26.9,,,,,,,,,,,,,,,,,Matches
82,Carlos Benavídez,uy URU,MF,Alavés,26,1998,5.4,,,,,,,,,,,,,,,,,Matches
83,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,0.4,,,,,,,,,,,,,,,,,Matches
84,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,22.7,,,,,,,,,,,,,,,,,Matches
85,Álex Berenguer,es ESP,"MF,FW",Athletic Club,29,1995,26.0,,,,,,,,,,,,,,,,,Matches
86,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,,,,,,,,,,,,,,,,,Matches
87,Juan Bernat,es ESP,DF,Villarreal,31,1993,2.4,,,,,,,,,,,,,,,,,Matches
88,Juan Bernat,es ESP,MF,Getafe,31,1993,7.8,,,,,,,,,,,,,,,,,Matches
89,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,,,,,,,,,,,,,,,,,Matches
90,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,,,,,,,,,,,,,,,,,Matches
91,Daley Blind,nl NED,DF,Girona,34,1990,30.9,,,,,,,,,,,,,,,,,Matches
92,Adama Boiro,es ESP,DF,Athletic Club,22,2002,12.2,,,,,,,,,,,,,,,,,Matches
93,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,,,,,,,,,,,,,,,,,Matches
94,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3.0,,,,,,,,,,,,,,,,,Matches
95,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18.0,,,,,,,,,,,,,,,,,Matches
96,Abel Bretones,es ESP,"DF,MF",Osasuna,23,2000,23.0,,,,,,,,,,,,,,,,,Matches
97,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,,,,,,,,,,,,,,,,,Matches
98,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,,,,,,,,,,,,,,,,,Matches
99,Manu Bueno,es ESP,MF,Sevilla,20,2004,1.6,,,,,,,,,,,,,,,,,Matches
100,Endika Buján,es ESP,FW,Athletic Club,21,2003,0.1,,,,,,,,,,,,,,,,,Matches
101,Pau Cabanes,es ESP,FW,Villarreal,19,2005,1.8,,,,,,,,,,,,,,,,,Matches
102,Pau Cabanes,es ESP,MF,Alavés,19,2005,2.1,,,,,,,,,,,,,,,,,Matches
103,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,,,,,,,,,,,,,,,,,Matches
104,Fernando Calero,es ESP,DF,Espanyol,28,1995,7.9,,,,,,,,,,,,,,,,,Matches
105,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,12.2,,,,,,,,,,,,,,,,,Matches
106,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,12.6,,,,,,,,,,,,,,,,,Matches
107,José Campaña,es ESP,MF,Las Palmas,31,1993,13.2,,,,,,,,,,,,,,,,,Matches
108,Peio Canales,es ESP,MF,Athletic Club,19,2005,2.9,,,,,,,,,,,,,,,,,Matches
109,Antonio Candela,it ITA,DF,Valladolid,24,2000,10.1,,,,,,,,,,,,,,,,,Matches
110,Sergi Canós,es ESP,MF,Valencia,27,1997,4.1,,,,,,,,,,,,,,,,,Matches
111,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6.0,,,,,,,,,,,,,,,,,Matches
112,Irvin Cardona,mt MLT,"FW,MF",Espanyol,26,1997,6.7,,,,,,,,,,,,,,,,,Matches
113,Marc Cardona,es ESP,FW,Las Palmas,29,1995,1.5,,,,,,,,,,,,,,,,,Matches
114,Sergi Cardona,es ESP,DF,Villarreal,25,1999,32.7,,,,,,,,,,,,,,,,,Matches
115,Johnny Cardoso,us USA,MF,Real Betis,22,2001,23.8,,,,,,,,,,,,,,,,,Matches
116,José Carlos González,es ESP,MF,Las Palmas,18,2006,0.1,,,,,,,,,,,,,,,,,Matches
117,Carmona,es ESP,DF,Sevilla,22,2002,32.7,,,,,,,,,,,,,,,,,Matches
118,Sergio Carreira,es ESP,MF,Celta Vigo,23,2000,18.4,,,,,,,,,,,,,,,,,Matches
119,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,6.8,,,,,,,,,,,,,,,,,Matches
120,William Carvalho,pt POR,MF,Real Betis,32,1992,5.4,,,,,,,,,,,,,,,,,Matches
121,Marc Casado,es ESP,MF,Barcelona,20,2003,17.9,,,,,,,,,,,,,,,,,Matches
122,Catena,es ESP,DF,Osasuna,29,1994,34.2,,,,,,,,,,,,,,,,,Matches
123,Maximiliano Caufriez,be BEL,DF,Valencia,27,1997,1.0,,,,,,,,,,,,,,,,,Matches
124,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,13.5,,,,,,,,,,,,,,,,,Matches
125,Franco Cervi,ar ARG,"MF,FW",Celta Vigo,30,1994,3.0,,,,,,,,,,,,,,,,,Matches
126,Raúl Chasco,es ESP,DF,Valladolid,20,2003,1.4,,,,,,,,,,,,,,,,,Matches
127,Pep Chavarría,es ESP,DF,Rayo Vallecano,26,1998,28.7,,,,,,,,,,,,,,,,,Matches
128,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,7.1,,,,,,,,,,,,,,,,,Matches
129,Chema,es ESP,MF,Real Madrid,19,2005,0.1,,,,,,,,,,,,,,,,,Matches
130,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,3.4,,,,,,,,,,,,,,,,,Matches
131,Chiquinho,pt POR,MF,Mallorca,24,2000,1.6,,,,,,,,,,,,,,,,,Matches
132,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,2.8,,,,,,,,,,,,,,,,,Matches
133,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,,,,,,,,,,,,,,,,,Matches
134,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,,,,,,,,,,,,,,,,,Matches
135,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,27.1,,,,,,,,,,,,,,,,,Matches
136,Silvi Clúa,es ESP,MF,Girona,19,2005,1.8,,,,,,,,,,,,,,,,,Matches
137,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,19.8,,,,,,,,,,,,,,,,,Matches
138,Santi Comesaña,es ESP,MF,Villarreal,27,1996,28.4,,,,,,,,,,,,,,,,,Matches
139,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,,,,,,,,,,,,,,,,,Matches
140,Tomás Conechny,ar ARG,"MF,FW",Alavés,26,1998,9.4,,,,,,,,,,,,,,,,,Matches
141,Copete,es ESP,DF,Mallorca,24,1999,17.0,,,,,,,,,,,,,,,,,Matches
142,Iker Córdoba,es ESP,DF,Valencia,18,2005,0.2,,,,,,,,,,,,,,,,,Matches
143,Ángel Correa,ar ARG,FW,Atlético Madrid,29,1995,8.9,,,,,,,,,,,,,,,,,Matches
144,Thierry Correia,pt POR,DF,Valencia,25,1999,8.5,,,,,,,,,,,,,,,,,Matches
145,Coba da Costa,es ESP,MF,Getafe,22,2002,11.2,,,,,,,,,,,,,,,,,Matches
146,Logan Costa,cv CPV,DF,Villarreal,23,2001,28.7,,,,,,,,,,,,,,,,,Matches
147,Samu Costa,pt POR,MF,Mallorca,23,2000,29.4,,,,,,,,,,,,,,,,,Matches
148,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30.0,,,,,,,,,,,,,,,,,Matches
149,Juan Cruz Armada,es ESP,DF,Osasuna,32,1992,16.6,,,,,,,,,,,,,,,,,Matches
150,Juan Cruz,es ESP,"MF,DF",Leganés,24,2000,25.1,,,,,,,,,,,,,,,,,Matches
151,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,29.1,,,,,,,,,,,,,,,,,Matches
152,Cucho,co COL,FW,Real Betis,25,1999,12.7,,,,,,,,,,,,,,,,,Matches
153,Arnaut Danjuma,nl NED,"MF,FW",Girona,27,1997,14.8,,,,,,,,,,,,,,,,,Matches
154,Arnaut Danjuma,nl NED,FW,Villarreal,27,1997,2.2,,,,,,,,,,,,,,,,,Matches
155,Sergi Darder,es ESP,MF,Mallorca,30,1993,30.5,,,,,,,,,,,,,,,,,Matches
156,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,23.4,,,,,,,,,,,,,,,,,Matches
157,Mouctar Diakhaby,gn GUI,DF,Valencia,27,1996,7.3,,,,,,,,,,,,,,,,,Matches
158,Assane Diao,sn SEN,FW,Real Betis,18,2005,3.1,,,,,,,,,,,,,,,,,Matches
159,Moussa Diarra,ml MLI,DF,Alavés,23,2000,20.7,,,,,,,,,,,,,,,,,Matches
160,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,24,1999,15.4,,,,,,,,,,,,,,,,,Matches
161,Daniel Díaz,es ESP,FW,Real Sociedad,18,2006,0.1,,,,,,,,,,,,,,,,,Matches
162,Pedro Díaz,es ESP,MF,Rayo Vallecano,26,1998,13.5,,,,,,,,,,,,,,,,,Matches
163,Diego,es ESP,"FW,MF",Leganés,24,2000,13.3,,,,,,,,,,,,,,,,,Matches
164,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4.0,,,,,,,,,,,,,,,,,Matches
165,Yan Diomandé,ci CIV,MF,Leganés,17,2006,6.1,,,,,,,,,,,,,,,,,Matches
166,Álvaro djaló,gw GNB,"MF,FW",Athletic Club,24,1999,7.3,,,,,,,,,,,,,,,,,Matches
167,Djené,tg TOG,"DF,MF",Getafe,32,1991,28.3,,,,,,,,,,,,,,,,,Matches
168,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32.0,,,,,,,,,,,,,,,,,Matches
169,Marc Domenech,es ESP,"FW,MF",Mallorca,18,2006,3.4,,,,,,,,,,,,,,,,,Matches
170,Carlos Dominguez,es ESP,DF,Celta Vigo,23,2001,13.1,,,,,,,,,,,,,,,,,Matches
171,Israel Domínguez,es ESP,MF,Sevilla,21,2003,0.2,,,,,,,,,,,,,,,,,Matches
172,Sergi Dominguez,es ESP,DF,Barcelona,19,2005,1.9,,,,,,,,,,,,,,,,,Matches
173,Anastasios Douvikas,gr GRE,FW,Celta Vigo,24,1999,7.8,,,,,,,,,,,,,,,,,Matches
174,Domingos Duarte,pt POR,DF,Getafe,29,1995,20.7,,,,,,,,,,,,,,,,,Matches
175,Duk,cv CPV,MF,Leganés,24,2000,2.0,,,,,,,,,,,,,,,,,Matches
176,Pablo Durán,es ESP,"FW,MF",Celta Vigo,23,2001,15.5,,,,,,,,,,,,,,,,,Matches
177,Hugo Duro,es ESP,FW,Valencia,24,1999,24.1,,,,,,,,,,,,,,,,,Matches
178,Chidera Ejuke,ng NGA,"MF,FW",Sevilla,26,1998,10.7,,,,,,,,,,,,,,,,,Matches
179,Aritz Elustondo,es ESP,DF,Real Sociedad,30,1994,16.2,,,,,,,,,,,,,,,,,Matches
180,Adri Embarba,es ESP,"MF,FW",Rayo Vallecano,32,1992,17.9,,,,,,,,,,,,,,,,,Matches
181,Endrick,br BRA,FW,Real Madrid,18,2006,4.0,,,,,,,,,,,,,,,,,Matches
182,Alfonso Espino,uy URU,DF,Rayo Vallecano,32,1992,9.3,,,,,,,,,,,,,,,,,Matches
183,Dario Essugo,pt POR,MF,Las Palmas,19,2005,21.5,,,,,,,,,,,,,,,,,Matches
184,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,21,2002,0.4,,,,,,,,,,,,,,,,,Matches
185,Karl Etta Eyong,cm CMR,FW,Villarreal,20,2003,0.4,,,,,,,,,,,,,,,,,Matches
186,Edu Expósito,es ESP,MF,Espanyol,27,1996,11.6,,,,,,,,,,,,,,,,,Matches
187,Abde Ezzalzouli,ma MAR,MF,Real Betis,22,2001,22.0,,,,,,,,,,,,,,,,,Matches
188,Ansu Fati,es ESP,MF,Barcelona,21,2002,2.6,,,,,,,,,,,,,,,,,Matches
189,Nabil Fekir,fr FRA,MF,Real Betis,31,1993,2.0,,,,,,,,,,,,,,,,,Matches
190,Kiko Femenía,es ESP,DF,Villarreal,33,1991,24.7,,,,,,,,,,,,,,,,,Matches
191,Aitor Fernández,es ESP,GK,Osasuna,33,1991,1.0,,,,,,,,,,,,,,,,,Matches
192,Álvaro Fernández,es ESP,GK,Sevilla,26,1998,8.3,,,,,,,,,,,,,,,,,Matches
193,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,21,2003,1.1,,,,,,,,,,,,,,,,,Matches
194,Roberto Férnandez,es ESP,FW,Espanyol,22,2002,16.6,,,,,,,,,,,,,,,,,Matches
195,Valery Fernández,es ESP,MF,Mallorca,24,1999,3.4,,,,,,,,,,,,,,,,,Matches
196,André Ferreira,pt POR,GK,Valladolid,28,1996,6.0,,,,,,,,,,,,,,,,,Matches
197,Mateo Flores,es ESP,MF,Real Betis,20,2004,1.7,,,,,,,,,,,,,,,,,Matches
198,Pablo Fornals,es ESP,MF,Real Betis,28,1996,20.3,,,,,,,,,,,,,,,,,Matches
199,Héctor Fort,es ESP,DF,Barcelona,17,2006,6.5,,,,,,,,,,,,,,,,,Matches
200,Dimitri Foulquier,fr FRA,DF,Valencia,31,1993,25.5,,,,,,,,,,,,,,,,,Matches
201,Juan Foyth,ar ARG,DF,Villarreal,26,1998,16.9,,,,,,,,,,,,,,,,,Matches
202,Fran,es ESP,GK,Real Madrid,19,2005,1.0,,,,,,,,,,,,,,,,,Matches
203,Alejandro Francés,es ESP,DF,Girona,21,2002,13.0,,,,,,,,,,,,,,,,,Matches
