Rk,Squad
1,Paris Saint-Germain
2,Marseille
3,Monaco
4,Nice
5,Lille
6,Lyon
7,Strasbourg
8,Lens
9,Brest
10,Toulouse
11,Auxerre
12,Rennes
13,Nantes
14,Angers
15,Le Havre
16,Reims
17,Saint-Étienne
18,Montpellier
