Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián,es ESP,GK,Real Betis,37,1987,19.0,27,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,10,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32.0,39,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6.0,6,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,42,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,33,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30.0,29,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4.0,6,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32.0,49,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Aitor Fernández,es ESP,GK,Osasuna,33,1991,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Álvaro Fernández,es ESP,GK,Sevilla,26,1998,8.3,16,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,André Ferreira,pt POR,GK,Valladolid,28,1996,6.0,20,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Fran,es ESP,GK,Real Madrid,19,2005,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Joan García,es ESP,GK,Espanyol,23,2001,38.0,51,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Paulo Gazzaniga,ar ARG,GK,Girona,32,1992,35.5,51,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Dominik Greif,sk SVK,GK,Mallorca,27,1997,31.0,34,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Vicente Guaita,es ESP,GK,Celta Vigo,37,1987,34.0,48,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Sergio Herrera,es ESP,GK,Osasuna,31,1993,37.0,52,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Dinko Horkaš,hr CRO,GK,Las Palmas,25,1999,12.1,19,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Karl Jakob Hein,ee EST,GK,Valladolid,22,2002,31.0,68,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,23,2001,16.2,18,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Vladyslav Krapyvtsov,ua UKR,GK,Girona,19,2005,2.0,7,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Pau López,es ESP,GK,Girona,29,1994,0.5,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Andriy Lunin,ua UKR,GK,Real Madrid,25,1999,7.0,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Giorgi Mamardashvili,ge GEO,GK,Valencia,23,2000,34.0,48,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Unai Marrero,es ESP,GK,Real Sociedad,22,2001,2.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Juan Musso,ar ARG,GK,Atlético Madrid,30,1994,2.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Ørjan Nyland,no NOR,GK,Sevilla,33,1990,29.7,39,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Jan Oblak,si SVN,GK,Atlético Madrid,31,1993,36.0,30,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Jesús Owono,gq EQG,GK,Alavés,23,2001,5.4,7,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Alex Padilla,es ESP,GK,Athletic Club,20,2003,3.6,6,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Iñaki Peña,es ESP,GK,Barcelona,25,1999,15.5,18,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Arnau Rafús,es ESP,GK,Valladolid,21,2003,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Álex Remiro,es ESP,GK,Real Sociedad,29,1995,36.0,43,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Adrian Rodriguez,es ESP,GK,Alavés,23,2000,1.4,2,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Leo Román,es ESP,GK,Mallorca,24,2000,7.0,10,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Rui Silva,pt POR,GK,Real Betis,30,1994,15.0,18,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Unai Simón,es ESP,GK,Athletic Club,27,1997,21.0,14,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Antonio Sivera,es ESP,GK,Alavés,27,1996,31.2,39,9,,,,,,,,,,,,,,,,,,,,,,,,Matches
40,David Soria,es ESP,GK,Getafe,31,1993,38.0,39,8,,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Juan Soriano,es ESP,GK,Leganés,26,1997,6.0,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
42,Wojciech Szczęsny,pl POL,GK,Barcelona,34,1990,15.0,12,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
43,Marc-André ter Stegen,de GER,GK,Barcelona,32,1992,7.5,9,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
44,Fran Vieites,es ESP,GK,Real Betis,25,1999,4.0,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
45,Iván Villar,es ESP,GK,Celta Vigo,27,1997,4.0,9,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
