Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
75,Armando Broja,al ALB,FW,Fulham,21,2001,1.0,,,,,,,,,,,,,,,,,Matches
76,Andre Brooks,eng ENG,MF,Sheffield United,19,2003,10.4,,,,,,,,,,,,,,,,,Matches
77,David Brooks,wls WAL,MF,Bournemouth,26,1997,3.1,,,,,,,,,,,,,,,,,Matches
78,Jacob Brown,sct SCO,"MF,FW",Luton Town,25,1998,11.3,,,,,,,,,,,,,,,,,Matches
79,Josh Brownhill,eng ENG,MF,Burnley,27,1995,25.0,,,,,,,,,,,,,,,,,Matches
80,Jacob Bruun Larsen,dk DEN,MF,Burnley,24,1998,13.9,,,,,,,,,,,,,,,,,Matches
81,Hugo Bueno,es ESP,"MF,DF",Wolves,20,2002,8.2,,,,,,,,,,,,,,,,,Matches
82,Santiago Bueno,uy URU,DF,Wolves,24,1998,9.1,,,,,,,,,,,,,,,,,Matches
83,Facundo Buonanotte,ar ARG,"MF,FW",Brighton,18,2004,15.2,,,,,,,,,,,,,,,,,Matches
84,Reece Burke,eng ENG,DF,Luton Town,26,1996,18.4,,,,,,,,,,,,,,,,,Matches
85,Dan Burn,eng ENG,DF,Newcastle United,31,1992,30.3,,,,,,,,,,,,,,,,,Matches
86,Mason Burstow,eng ENG,FW,Chelsea,19,2003,0.1,,,,,,,,,,,,,,,,,Matches
87,Moisés Caicedo,ec ECU,MF,Chelsea,21,2001,31.8,,,,,,,,,,,,,,,,,Matches
88,Tom Cairney,sct SCO,MF,Fulham,32,1991,16.5,,,,,,,,,,,,,,,,,Matches
89,Dominic Calvert-Lewin,eng ENG,FW,Everton,26,1997,24.1,,,,,,,,,,,,,,,,,Matches
90,Thomas Cannon,ie IRL,FW,Everton,20,2002,0.0,,,,,,,,,,,,,,,,,Matches
91,Diego Carlos,br BRA,DF,Aston Villa,30,1993,20.2,,,,,,,,,,,,,,,,,Matches
92,Cesare Casadei,it ITA,MF,Chelsea,20,2003,0.9,,,,,,,,,,,,,,,,,Matches
93,Casemiro,br BRA,"MF,DF",Manchester Utd,31,1992,22.0,,,,,,,,,,,,,,,,,Matches
94,Kaelan Casey,eng ENG,DF,West Ham United,18,2004,0.0,,,,,,,,,,,,,,,,,Matches
95,Matty Cash,pl POL,"DF,MF",Aston Villa,25,1997,23.8,,,,,,,,,,,,,,,,,Matches
96,Timothy Castagne,be BEL,DF,Fulham,27,1995,29.3,,,,,,,,,,,,,,,,,Matches
97,Jonny Castro,es ESP,"DF,MF",Wolves,29,1994,0.1,,,,,,,,,,,,,,,,,Matches
98,Trevoh Chalobah,eng ENG,DF,Chelsea,24,1999,10.6,,,,,,,,,,,,,,,,,Matches
99,Calum Chambers,eng ENG,MF,Aston Villa,28,1995,1.7,,,,,,,,,,,,,,,,,Matches
100,Youssef Chermiti,pt POR,FW,Everton,19,2004,2.3,,,,,,,,,,,,,,,,,Matches
101,Ben Chilwell,eng ENG,"MF,DF",Chelsea,26,1996,8.4,,,,,,,,,,,,,,,,,Matches
102,Tawanda Chirewa,zw ZIM,FW,Wolves,19,2003,1.6,,,,,,,,,,,,,,,,,Matches
103,Leon Chiwome,eng ENG,FW,Wolves,17,2006,1.9,,,,,,,,,,,,,,,,,Matches
104,Tahith Chong,cw CUW,"MF,FW",Luton Town,23,1999,22.0,,,,,,,,,,,,,,,,,Matches
105,Ryan Christie,sct SCO,MF,Bournemouth,28,1995,32.3,,,,,,,,,,,,,,,,,Matches
106,Carney Chukwuemeka,eng ENG,MF,Chelsea,19,2003,2.5,,,,,,,,,,,,,,,,,Matches
107,Bobby Clark,eng ENG,MF,Liverpool,18,2005,1.0,,,,,,,,,,,,,,,,,Matches
108,Jordan Clark,eng ENG,MF,Luton Town,29,1993,14.5,,,,,,,,,,,,,,,,,Matches
109,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32,1991,14.9,,,,,,,,,,,,,,,,,Matches
110,Séamus Coleman,ie IRL,DF,Everton,34,1988,7.4,,,,,,,,,,,,,,,,,Matches
111,Nathan Collins,ie IRL,DF,Brentford,22,2001,29.5,,,,,,,,,,,,,,,,,Matches
112,Levi Colwill,eng ENG,DF,Chelsea,20,2003,20.0,,,,,,,,,,,,,,,,,Matches
113,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,31.0,,,,,,,,,,,,,,,,,Matches
114,Jack Cork,eng ENG,"DF,MF",Burnley,34,1989,0.3,,,,,,,,,,,,,,,,,Matches
115,Maxwel Cornet,ci CIV,MF,West Ham United,26,1996,1.2,,,,,,,,,,,,,,,,,Matches
116,Vladimír Coufal,cz CZE,DF,West Ham United,30,1992,34.8,,,,,,,,,,,,,,,,,Matches
117,Philippe Coutinho,br BRA,"FW,MF",Aston Villa,31,1992,0.3,,,,,,,,,,,,,,,,,Matches
118,Aaron Cresswell,eng ENG,DF,West Ham United,33,1989,4.8,,,,,,,,,,,,,,,,,Matches
119,Marc Cucurella,es ESP,DF,Chelsea,25,1998,19.8,,,,,,,,,,,,,,,,,Matches
120,Josh Cullen,ie IRL,MF,Burnley,27,1996,22.9,,,,,,,,,,,,,,,,,Matches
121,Matheus Cunha,br BRA,"FW,MF",Wolves,24,1999,27.1,,,,,,,,,,,,,,,,,Matches
122,Sam Curtis,ie IRL,DF,Sheffield United,17,2005,0.3,,,,,,,,,,,,,,,,,Matches
123,Mahmoud Dahoud,de GER,MF,Brighton,27,1996,5.0,,,,,,,,,,,,,,,,,Matches
124,Ameen Al-Dakhil,be BEL,DF,Burnley,21,2002,11.7,,,,,,,,,,,,,,,,,Matches
125,Diogo Dalot,pt POR,DF,Manchester Utd,24,1999,35.3,,,,,,,,,,,,,,,,,Matches
126,Mikkel Damsgaard,dk DEN,MF,Brentford,23,2000,9.4,,,,,,,,,,,,,,,,,Matches
127,Danilo,br BRA,MF,Nottingham Forest,22,2001,19.9,,,,,,,,,,,,,,,,,Matches
128,Arnaut Danjuma,nl NED,"MF,FW",Everton,26,1997,6.6,,,,,,,,,,,,,,,,,Matches
129,Jayden Danns,eng ENG,FW,Liverpool,17,2006,0.1,,,,,,,,,,,,,,,,,Matches
130,Josh Dasilva,eng ENG,MF,Brentford,24,1998,0.3,,,,,,,,,,,,,,,,,Matches
131,David Datro Fofana,ci CIV,FW,Burnley,20,2002,9.8,,,,,,,,,,,,,,,,,Matches
132,Ben Davies,wls WAL,DF,Tottenham Hotspur,30,1993,12.1,,,,,,,,,,,,,,,,,Matches
133,Tom Davies,eng ENG,MF,Sheffield United,25,1998,2.5,,,,,,,,,,,,,,,,,Matches
134,Craig Dawson,eng ENG,DF,Wolves,33,1990,24.5,,,,,,,,,,,,,,,,,Matches
135,Kevin De Bruyne,be BEL,MF,Manchester City,32,1991,13.6,,,,,,,,,,,,,,,,,Matches
136,Bobby De Cordova-Reid,jm JAM,"MF,FW",Fulham,30,1993,15.8,,,,,,,,,,,,,,,,,Matches
137,Hannes Delcroix,ht HAI,DF,Burnley,24,1999,6.5,,,,,,,,,,,,,,,,,Matches
138,Leander Dendoncker,be BEL,MF,Aston Villa,28,1995,1.3,,,,,,,,,,,,,,,,,Matches
139,Moussa Diaby,fr FRA,"MF,FW",Aston Villa,24,1999,24.2,,,,,,,,,,,,,,,,,Matches
140,Amad Diallo,ci CIV,MF,Manchester Utd,21,2002,4.3,,,,,,,,,,,,,,,,,Matches
141,Amadou Diallo,eng ENG,FW,Newcastle United,20,2003,0.0,,,,,,,,,,,,,,,,,Matches
