Player,Squad,Pos,Min,xG,xA,season
Mateo Retegui,Atalanta,FW,2435.0,23.05881144106388,5.460668161511421,2024-25
Moise Kean,Fiorentina,FW,2722.0,21.887753661721945,2.3220364889129996,2024-25
Ademola Lookman,Atalanta,FW,2295.0,13.808704778552055,8.88729977607727,2024-25
Riccardo Orsolini,Bologna,FW,1914.0,10.357791488990188,4.652595203369856,2024-25
Romelu Lukaku,Napoli,FW,2913.0,13.292909391224384,4.244027925655246,2024-25
Marcus Thuram,Inter,FW,2316.0,12.123272212222219,4.545049572363496,2024-25
Scott McTominay,Napoli,MF,2938.0,8.857582463882864,2.8353318478912115,2024-25
Lautaro Martínez,Inter,FW,2605.0,14.972904972732067,5.210264602676034,2024-25
Artem Dovbyk,Roma,FW,2454.0,14.354873014613986,2.92091160826385,2024-25
Lorenzo Lucca,Udinese,FW,2369.0,9.25349983945489,1.4154015257954597,2024-25
Christian Pulisic,AC Milan,FW,2518.0,11.676121918484569,7.215573945082724,2024-25
Nikola Krstovic,Lecce,FW,3096.0,12.192179908044636,3.5718187177553773,2024-25
Pedro,Lazio,FW,1057.0,6.393306020647287,1.4419082198292017,2024-25
Andrea Pinamonti,Genoa,FW,2886.0,7.931828275322914,1.8391901552677155,2024-25
Dusan Vlahovic,Juventus,FW,1793.0,15.096059490926564,1.744228720664978,2024-25
Roberto Piccoli,Cagliari,FW,3180.0,17.91569169005379,1.1450618766248226,2024-25
Valentín Castellanos,Lazio,FW,2407.0,16.131397516466677,3.629513030871749,2024-25
Tijjani Reijnders,AC Milan,MF,3136.0,8.066354492679238,4.986120350658894,2024-25
Boulaye Dia,Lazio,FW,2220.0,6.899342581629753,4.609769284725189,2024-25
Che Adams,Torino,FW,2650.0,9.513159267604351,2.1832971647381783,2024-25
Florian Thauvin,Udinese,FW,2010.0,9.337323119863868,4.883188674226403,2024-25
Mattia Zaccagni,Lazio,FW,2750.0,6.876200471073389,5.215368155390024,2024-25
Randal Kolo Muani,Juventus,FW,1175.0,4.807359151542187,1.422960128635168,2024-25
Rafael Leão,AC Milan,FW,2329.0,8.671459373086691,7.545301603153348,2024-25
Sebastiano Esposito,Empoli,FW,2370.0,6.238269167486578,2.359053977765143,2024-25
Dan Ndoye,Bologna,FW,2166.0,8.556749558076262,4.083700603805482,2024-25
Assane Diao,Como,FW,1268.0,3.5162678882479668,0.7812048885971308,2024-25
Santiago Castro,Bologna,FW,2313.0,8.536016429774463,3.1317079812288284,2024-25
Patrick Cutrone,Como,FW,2058.0,8.805660281330347,2.885559193789959,2024-25
Alexis Saelemaekers,"AC Milan,Roma",FW,1510.0,3.0717705376446247,3.0003358367830515,2024-25
Denzel Dumfries,Inter,DF,1929.0,6.130226218141615,3.6943740658462048,2024-25
Charles De Ketelaere,Atalanta,FW,2092.0,9.455427888780832,6.690482780337334,2024-25
Kenan Yildiz,Juventus,FW,2414.0,4.914883994497359,5.661711638793349,2024-25
Paulo Dybala,Roma,FW,1431.0,7.097136401571333,6.226575620472431,2024-25
Joel Pohjanpalo,Venezia,FW,1635.0,7.442887621931732,1.742062452249229,2024-25
Franck Zambo,Napoli,MF,2862.0,5.063090787269175,2.627801673486829,2024-25
Jens Odgaard,Bologna,FW,1987.0,5.312568726018071,2.575037257745862,2024-25
Giacomo Raspadori,Napoli,FW,1110.0,5.084815743379295,2.190453313291073,2024-25
Gabriel Strefezza,Como,FW,2648.0,3.9883559653535485,4.323990189470351,2024-25
Daniel Maldini,"Atalanta,Monza",FW,1574.0,6.705157367512584,1.6986502315849066,2024-25
Lorenzo Colombo,Empoli,FW,2254.0,6.488613783381879,2.6644079368561506,2024-25
Nadir Zortea,Cagliari,DF,2749.0,2.9334294591099024,3.8425654638558626,2024-25
Albert Gudmundsson,Fiorentina,FW,1284.0,4.845826052129269,1.8325094562023878,2024-25
Nico Paz,Como,FW,2704.0,9.964229883626103,5.478746464475989,2024-25
Ange-Yoan Bonny,Parma Calcio 1913,FW,2580.0,8.872624272480607,4.270201579667628,2024-25
Casper Tengstedt,Verona,FW,1552.0,5.571623582392931,1.2589485691860318,2024-25
Hakan Calhanoglu,Inter,MF,1999.0,4.414205387234688,7.045005705207586,2024-25
Álvaro Morata,AC Milan,FW,1110.0,4.817088529467583,0.9593266900628805,2024-25
Milan Djuric,"Monza,Parma Calcio 1913",FW,1522.0,4.078131872229278,0.8377221208065748,2024-25
Davide Frattesi,Inter,MF,1194.0,5.315815009176731,1.0950888358056545,2024-25
Robin Gosens,Fiorentina,DF,2544.0,2.4154493268579245,2.93827155418694,2024-25
Nikola Vlasic,Torino,FW,2127.0,3.3855708930641413,2.641710100695491,2024-25
Timothy Weah,Juventus,FW,1636.0,3.7299512615427375,1.9956131614744663,2024-25
Khvicha Kvaratskhelia,Napoli,FW,1201.0,4.196013361215591,3.7051555328071117,2024-25
Matìas Soulè Malvano,Roma,FW,1807.0,3.697174882516265,6.449352219700813,2024-25
Dany Mota,Monza,FW,2121.0,4.940644808113575,1.9611132070422173,2024-25
Lucas Beltrán,Fiorentina,FW,1965.0,6.0504823960363865,2.9424900263547897,2024-25
Daniel Mosquera,Verona,FW,1334.0,7.168538000434637,1.859255077317357,2024-25
Jacob Ondrejka,Parma Calcio 1913,MF,408.0,1.3530066162347794,1.156918689608574,2024-25
Santiago Giménez,AC Milan,FW,665.0,4.460054490715265,1.6851547174155712,2024-25
Marko Arnautovic,Inter,FW,531.0,4.483994249254465,0.9996647089719772,2024-25
Bryan Cristante,Roma,MF,2046.0,2.4521201327443123,1.721342091448605,2024-25
Davide Zappacosta,Atalanta,DF,2102.0,3.0307677779346704,2.927798919379711,2024-25
Federico Dimarco,Inter,DF,2214.0,4.162737088277936,7.332246446982026,2024-25
Marten de Roon,Atalanta,DF,3060.0,1.263384023681283,2.7508939653635025,2024-25
Theo Hernández,AC Milan,DF,2698.0,3.1725775552913547,5.343857791274786,2024-25
Rolando Mandragora,Fiorentina,MF,1940.0,2.280061637982726,3.924611158668995,2024-25
Eldor Shomurodov,Roma,FW,1082.0,5.652864208444953,1.8670945186167955,2024-25
Adam Marusic,Lazio,DF,2336.0,2.1844769613817334,0.6067054634913802,2024-25
Enrico Del Prato,Parma Calcio 1913,DF,2944.0,1.9651844333857298,1.2807176727801561,2024-25
Yacine Adli,Fiorentina,MF,1246.0,0.90202596783638,3.4848021315410733,2024-25
Kephren Thuram,Juventus,MF,2331.0,3.5313255190849304,4.682116312906146,2024-25
Marco Brescianini,Atalanta,MF,959.0,4.397535916417837,1.2350470423698425,2024-25
Hans Nicolussi Caviglia,Venezia,MF,2883.0,2.2404830921441317,2.812581107020378,2024-25
Eljif Elmas,Torino,FW,1032.0,1.376329985447228,0.536102406680584,2024-25
Simon Sohm,Parma Calcio 1913,MF,3015.0,4.3499494809657335,2.630914680659771,2024-25
Dennis Man,Parma Calcio 1913,FW,1997.0,7.004470095038414,4.645356995984912,2024-25
Jacopo Fazzini,Empoli,FW,1403.0,3.692545833066106,1.0941042816266418,2024-25
Éderson,Atalanta,MF,2898.0,4.337195685133338,5.689773496240377,2024-25
Amin Sarr,Verona,FW,1940.0,4.79459623247385,2.119128202088177,2024-25
Gustav Isaksen,Lazio,FW,2254.0,5.236178271472454,3.084163647145033,2024-25
Santiago Pierotti,Lecce,FW,1963.0,4.261026685126126,2.861844254657626,2024-25
Matteo Darmian,Inter,DF,1781.0,2.3047944605350494,1.397296465933323,2024-25
Tammy Abraham,"AC Milan,Roma",FW,1174.0,7.742781264707446,2.491778311319649,2024-25
Mario Pasalic,Atalanta,MF,1973.0,7.044077763333917,3.9745980985462666,2024-25
Duván Zapata,Torino,FW,597.0,3.206736508756876,0.5824607098475099,2024-25
Gianluca Caprari,Monza,FW,1644.0,3.863158030435443,2.0879268255084753,2024-25
Danilo Cataldi,Fiorentina,MF,1762.0,0.7924351925030351,0.5937809273600578,2024-25
Leandro Paredes,Roma,MF,1370.0,2.1564809433184564,1.6625222507864237,2024-25
Stephan El Shaarawy,Roma,FW,1075.0,2.968658696860075,1.2206020690500736,2024-25
Nicolò Barella,Inter,MF,2485.0,2.0158462561666965,4.790416604839265,2024-25
Matteo Politano,Napoli,FW,2881.0,3.645138157531619,6.106871038675308,2024-25
Stefan de Vrij,Inter,DF,1719.0,1.8668567053973675,0.05752667039632797,2024-25
Pietro Pellegri,Empoli,FW,411.0,0.5232967622578144,0.6099942177534103,2024-25
Hernani,Parma Calcio 1913,MF,1330.0,2.7682679863646626,2.086292065680027,2024-25
Nicolas Viola,Cagliari,FW,1293.0,3.0422234144061804,3.0116874668747187,2024-25
Yann Bisseck,Inter,DF,1646.0,2.454003557562828,1.4668675772845745,2024-25
