Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
393,Loïc Nego,hu HUN,"DF,MF",Le Havre,33,1991,31,28,2459,27.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
394,João Neves,pt POR,"MF,DF",Paris Saint-Germain,19,2004,29,22,1844,20.5,3,8,11,3,0,0,1,0,0.15,0.39,0.54,0.15,0.54,Matches
398,Moussa Niakhate,sn SEN,DF,Lyon,28,1996,31,30,2726,30.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
399,Abdoulaye Niakhate Ndiaye,sn SEN,DF,Brest,22,2002,22,19,1707,19.0,1,0,1,1,0,0,4,1,0.05,0.00,0.05,0.05,0.05,Matches
400,Ibrahima Niane,sn SEN,FW,Angers,25,1999,24,8,943,10.5,3,1,4,2,1,1,0,0,0.29,0.10,0.38,0.19,0.29,Matches
402,Arnaud Nordin,fr FRA,"MF,FW",Montpellier,26,1998,16,14,1166,13.0,4,1,5,3,1,2,2,0,0.31,0.08,0.39,0.23,0.31,Matches
404,Ernest Nuamah,gh GHA,"MF,FW",Lyon,20,2003,23,13,1052,11.7,3,1,4,3,0,0,2,0,0.26,0.09,0.34,0.26,0.34,Matches
405,Rabby Nzingoula,fr FRA,MF,Montpellier,18,2005,27,20,1689,18.8,1,0,1,1,0,0,11,0,0.05,0.00,0.05,0.05,0.05,Matches
406,M'Bala Nzola,ao ANG,FW,Lens,27,1996,21,16,1460,16.2,6,1,7,6,0,0,3,1,0.37,0.06,0.43,0.37,0.43,Matches
409,Joseph Okumu,ke KEN,DF,Reims,27,1997,22,20,1695,18.8,1,0,1,1,0,0,5,1,0.05,0.00,0.05,0.05,0.05,Matches
413,Becir Omeragic,ch SUI,DF,Montpellier,22,2002,22,21,1799,20.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
415,Ado Onaiwu,jp JPN,"MF,FW",Auxerre,28,1995,31,9,957,10.6,4,1,5,4,0,0,1,1,0.38,0.09,0.47,0.38,0.47,Matches
416,Christopher Operi,ci CIV,"MF,DF",Le Havre,27,1997,13,13,1169,13.0,0,2,2,0,0,0,2,1,0.00,0.15,0.15,0.00,0.15,Matches
421,Gabriel Osho,ng NGA,DF,Auxerre,25,1998,20,20,1654,18.4,1,0,1,1,0,0,1,1,0.05,0.00,0.05,0.05,0.05,Matches
427,Elisha Owusu,gh GHA,MF,Auxerre,26,1997,28,28,2344,26.0,1,3,4,1,0,0,7,0,0.04,0.12,0.15,0.04,0.15,Matches
428,Willian Pacho,ec ECU,DF,Paris Saint-Germain,22,2001,28,23,2132,23.7,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches
429,Nicolas Pallois,fr FRA,DF,Nantes,36,1987,26,23,2017,22.4,0,2,2,0,0,0,9,0,0.00,0.09,0.09,0.00,0.09,Matches
434,Timothee Pembele,fr FRA,"DF,MF",Le Havre,21,2002,20,12,1113,12.4,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches
437,Mathias Pereira Lage,pt POR,"MF,FW",Brest,27,1996,29,18,1571,17.5,2,7,9,2,0,0,4,0,0.11,0.40,0.52,0.11,0.52,Matches
438,Lucas Perri,br BRA,GK,Lyon,26,1997,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
439,Gaëtan Perrin,fr FRA,MF,Auxerre,28,1996,34,31,2691,29.9,10,11,21,10,0,0,2,0,0.33,0.37,0.70,0.33,0.70,Matches
441,Léo Pétrot,fr FRA,DF,Saint-Étienne,27,1997,31,29,2634,29.3,0,3,3,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches
442,Đorđe Petrović,rs SRB,GK,Strasbourg,24,1999,31,31,2790,31.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
444,Adrien Rabiot,fr FRA,MF,Marseille,29,1995,29,27,2485,27.6,9,4,13,9,0,0,4,0,0.33,0.14,0.47,0.33,0.47,Matches
445,Gonçalo Ramos,pt POR,FW,Paris Saint-Germain,23,2001,22,12,1066,11.8,10,3,13,8,2,3,1,0,0.84,0.25,1.10,0.68,0.93,Matches
446,Lilian Raolisoa,fr FRA,"DF,MF",Angers,24,2000,29,14,1318,14.6,0,3,3,0,0,0,1,2,0.00,0.20,0.20,0.00,0.20,Matches
448,Guillaume Restes,fr FRA,GK,Toulouse,19,2005,29,29,2543,28.3,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches
449,Alexsandro Ribeiro,br BRA,DF,Lille,24,1999,30,30,2700,30.0,1,1,2,1,0,0,10,0,0.03,0.03,0.07,0.03,0.07,Matches
