player_name_tm,club_tm,season,market_value_eur
Jonas Urbig,Bayern Munich,2024-25,12000000.0
Manuel Neuer,Bayern Munich,2024-25,4000000.0
Daniel Peretz,Bayern Munich,2024-25,3000000.0
Max Schmitt,Bayern Munich,2024-25,700000.0
Sven Ulreich,Bayern Munich,2024-25,500000.0
Anthony Pavlesic,Bayern Munich,2024-25,150000.0
Leon Klanac,Bayern Munich,2024-25,
Dayot Upamecano,Bayern Munich,2024-25,50000000.0
Min-jae Kim,Bayern Munich,2024-25,40000000.0
Jonathan Tah,Bayern Munich,2024-25,30000000.0
Hiroki Ito,Bayern Munich,2024-25,25000000.0
Eric Dier,Bayern Munich,2024-25,8000000.0
Tarek Buchmann,Bayern Munich,2024-25,500000.0
Cassiano Kiala,Bayern Munich,2024-25,
Alphonso Davies,Bayern Munich,2024-25,50000000.0
Raphaël Guerreiro,Bayern Munich,2024-25,8000000.0
Adam Aznou,Bayern Munich,2024-25,4000000.0
Josip Stanisic,Bayern Munich,2024-25,32000000.0
Konrad Laimer,Bayern Munich,2024-25,25000000.0
Sacha Boey,Bayern Munich,2024-25,18000000.0
Aleksandar Pavlovic,Bayern Munich,2024-25,55000000.0
Joshua Kimmich,Bayern Munich,2024-25,45000000.0
João Palhinha,Bayern Munich,2024-25,30000000.0
Noel Aseko,Bayern Munich,2024-25,700000.0
David Santos Daiber,Bayern Munich,2024-25,
Tom Bischof,Bayern Munich,2024-25,30000000.0
Leon Goretzka,Bayern Munich,2024-25,22000000.0
Jamal Musiala,Bayern Munich,2024-25,140000000.0
Arijon Ibrahimovic,Bayern Munich,2024-25,4000000.0
Maurice Krattenmacher,Bayern Munich,2024-25,3500000.0
Jonathan Asp Jensen,Bayern Munich,2024-25,1500000.0
Lennart Karl,Bayern Munich,2024-25,1500000.0
Kingsley Coman,Bayern Munich,2024-25,30000000.0
Gabriel Vidovic,Bayern Munich,2024-25,3000000.0
Wisdom Mike,Bayern Munich,2024-25,
Michael Olise,Bayern Munich,2024-25,100000000.0
Leroy Sané,Bayern Munich,2024-25,32000000.0
Nestory Irankunda,Bayern Munich,2024-25,4000000.0
Serge Gnabry,Bayern Munich,2024-25,22000000.0
Thomas Müller,Bayern Munich,2024-25,6000000.0
Harry Kane,Bayern Munich,2024-25,75000000.0
Mathys Tel,Bayern Munich,2024-25,35000000.0
Jonah Kusi-Asare,Bayern Munich,2024-25,2500000.0
Matej Kovar,Bayer 04 Leverkusen,2024-25,5000000.0
Lukas Hradecky,Bayer 04 Leverkusen,2024-25,2000000.0
Niklas Lomb,Bayer 04 Leverkusen,2024-25,250000.0
Simeon Rapsch,Bayer 04 Leverkusen,2024-25,
Luca Novodomsky,Bayer 04 Leverkusen,2024-25,
Piero Hincapié,Bayer 04 Leverkusen,2024-25,50000000.0
Edmond Tapsoba,Bayer 04 Leverkusen,2024-25,35000000.0
Odilon Kossounou,Bayer 04 Leverkusen,2024-25,25000000.0
Jeanuël Belocian,Bayer 04 Leverkusen,2024-25,15000000.0
Mario Hermoso,Bayer 04 Leverkusen,2024-25,7000000.0
Andrea Natali,Bayer 04 Leverkusen,2024-25,
Ben Hawighorst,Bayer 04 Leverkusen,2024-25,
Alejandro Grimaldo,Bayer 04 Leverkusen,2024-25,30000000.0
Jeremie Frimpong,Bayer 04 Leverkusen,2024-25,50000000.0
Nordi Mukiele,Bayer 04 Leverkusen,2024-25,10000000.0
Arthur,Bayer 04 Leverkusen,2024-25,7000000.0
Othniël Raterink,Bayer 04 Leverkusen,2024-25,
Granit Xhaka,Bayer 04 Leverkusen,2024-25,12000000.0
Robert Andrich,Bayer 04 Leverkusen,2024-25,9000000.0
Exequiel Palacios,Bayer 04 Leverkusen,2024-25,40000000.0
Aleix García,Bayer 04 Leverkusen,2024-25,20000000.0
Florian Wirtz,Bayer 04 Leverkusen,2024-25,140000000.0
Emiliano Buendía,Bayer 04 Leverkusen,2024-25,15000000.0
Jonas Hofmann,Bayer 04 Leverkusen,2024-25,2000000.0
Francis Onyeka,Bayer 04 Leverkusen,2024-25,500000.0
Amine Adli,Bayer 04 Leverkusen,2024-25,18000000.0
Martin Terrier,Bayer 04 Leverkusen,2024-25,17000000.0
Kerim Alajbegovic,Bayer 04 Leverkusen,2024-25,
Nathan Tella,Bayer 04 Leverkusen,2024-25,15000000.0
Victor Boniface,Bayer 04 Leverkusen,2024-25,40000000.0
Patrik Schick,Bayer 04 Leverkusen,2024-25,27000000.0
Artem Stepanov,Bayer 04 Leverkusen,2024-25,800000.0
Alejo Sarco,Bayer 04 Leverkusen,2024-25,800000.0
Maarten Vandevoordt,RB Leipzig,2024-25,8000000.0
Péter Gulácsi,RB Leipzig,2024-25,2000000.0
Leopold Zingerle,RB Leipzig,2024-25,400000.0
Fernando Dickes,RB Leipzig,2024-25,
Castello Lukeba,RB Leipzig,2024-25,40000000.0
Mohamed Simakan,RB Leipzig,2024-25,23000000.0
El Chadaille Bitshiabu,RB Leipzig,2024-25,18000000.0
Willi Orbán,RB Leipzig,2024-25,8000000.0
Lukas Klostermann,RB Leipzig,2024-25,8000000.0
Jonathan Norbye,RB Leipzig,2024-25,
David Raum,RB Leipzig,2024-25,20000000.0
Lionel Voufack,RB Leipzig,2024-25,
Lutsharel Geertruida,RB Leipzig,2024-25,20000000.0
Benjamin Henrichs,RB Leipzig,2024-25,15000000.0
Kosta Nedeljkovic,RB Leipzig,2024-25,10000000.0
Ridle Baku,RB Leipzig,2024-25,9000000.0
Leon Koß,RB Leipzig,2024-25,
Arthur Vermeeren,RB Leipzig,2024-25,22000000.0
Nicolas Seiwald,RB Leipzig,2024-25,18000000.0
Amadou Haidara,RB Leipzig,2024-25,16000000.0
Xaver Schlager,RB Leipzig,2024-25,10000000.0
Assan Ouédraogo,RB Leipzig,2024-25,7000000.0
Kevin Kampl,RB Leipzig,2024-25,2500000.0
Mika Walther,RB Leipzig,2024-25,
Xavi Simons,RB Leipzig,2024-25,70000000.0
Eljif Elmas,RB Leipzig,2024-25,14000000.0
Christoph Baumgartner,RB Leipzig,2024-25,12000000.0
Viggo Gebel,RB Leipzig,2024-25,350000.0
Nuha Jatta,RB Leipzig,2024-25,250000.0
Faik Sakar,RB Leipzig,2024-25,200000.0
