Player,Squad,Pos,Min,xG,xA,season
Leonardo Pavoletti,Cagliari,FW,595.0,3.134023245424032,0.6250302419066429,2023-24
Arkadiusz Milik,Juventus,FW,858.0,5.394047812558711,3.4170331433415413,2023-24
Roberto Pereyra,Udinese,FW,1873.0,4.360814411193132,2.3164268862456083,2023-24
Houssem Aouar,Roma,FW,743.0,3.0930567290633917,0.36387334018945694,2023-24
Gianluca Mancini,Roma,DF,2881.0,2.5976381422951818,0.9861035160720348,2023-24
Boulaye Dia,Salernitana,FW,1134.0,4.597895558923483,0.5252823103219271,2023-24
Marco Brescianini,Frosinone,FW,2324.0,2.032998721115291,2.1246125996112823,2023-24
Szymon Zurkowski,Empoli,MF,879.0,1.4531914927065372,0.1119957510381937,2023-24
Ruslan Malinovskiy,Genoa,FW,1551.0,0.9845063956454396,0.5905360467731953,2023-24
Daniel Maldini,"Empoli,Monza",FW,568.0,1.8159770425409079,0.97320815641433,2023-24
Alexis Saelemaekers,Bologna,FW,1909.0,2.824991188943386,3.0194268077611923,2023-24
Lorenzo Colombo,Monza,FW,1351.0,4.194637024775147,0.43353664642199874,2023-24
Giulio Maggiore,Salernitana,MF,1826.0,3.3743705889210105,0.9672145377844572,2023-24
Matteo Cancellieri,Empoli,FW,1772.0,5.752293495461345,3.437209785915911,2023-24
Denzel Dumfries,Inter,DF,1648.0,3.9370638355612755,4.1486883871257305,2023-24
Caleb Ekuban,Genoa,FW,1104.0,3.069615147076547,1.6045123357325792,2023-24
Loum Tchaouna,Salernitana,FW,2096.0,2.7410695469006896,2.286348751746118,2023-24
Zito,Cagliari,FW,1942.0,4.575773281976581,2.9460809966549277,2023-24
Dany Mota,Monza,FW,2084.0,5.251721445471048,3.44157709274441,2023-24
Valentín Castellanos,Lazio,FW,1650.0,6.691938574425876,1.9540263283997774,2023-24
Federico Gatti,Juventus,DF,2654.0,6.301926800981164,2.331916820257902,2023-24
Darko Lazovic,Verona,FW,1965.0,3.126208140514791,3.6228156751021743,2023-24
Gianluca Lapadula,Cagliari,FW,1203.0,4.980033218860626,1.3644028156995773,2023-24
Bryan Cristante,Roma,DF,3300.0,4.356771616265178,3.065107261762023,2023-24
Leandro Paredes,Roma,MF,2680.0,3.0285770436748862,2.5797851774841547,2023-24
Stephan El Shaarawy,Roma,FW,1732.0,2.4553019870072603,2.535477615892887,2023-24
Simy,Salernitana,FW,679.0,3.1081032380461693,0.4330064160749316,2023-24
Piotr Zielinski,Napoli,MF,1979.0,2.7691213600337505,3.8941668095067143,2023-24
Francesco Acerbi,Inter,DF,2381.0,1.4171453770250082,1.5421600556001067,2023-24
Federico Bonazzoli,Verona,FW,997.0,2.0861231544986367,1.164365341886878,2023-24
Aleksey Miranchuk,Atalanta,FW,1168.0,7.988960333168507,5.325843313708901,2023-24
Sardar Azmoun,Roma,FW,528.0,2.55787324719131,1.477016143500805,2023-24
Thomas Henry,Verona,FW,287.0,3.1893111262470484,0.08848279807716608,2023-24
Rolando Mandragora,Fiorentina,MF,1563.0,3.8466990552842617,1.4808170050382614,2023-24
Grigoris Kastanos,Salernitana,DF,1504.0,2.4107249891385436,2.1585450284183025,2023-24
Alessandro Buongiorno,Torino,DF,2531.0,2.133894484490156,0.16513498965650797,2023-24
Jonathan Ikone,Fiorentina,MF,1666.0,6.106528326869011,2.0917009208351374,2023-24
Eldor Shomurodov,Cagliari,FW,924.0,3.2875718157738447,1.9538291282951832,2023-24
Nikola Vlasic,Torino,FW,2630.0,3.2144442331045866,3.407337000593543,2023-24
Remi Oudin,Lecce,FW,1839.0,1.3559500183910131,5.604622139595449,2023-24
Bremer,Juventus,DF,3235.0,2.3432549545541406,0.3624123577028513,2023-24
Francesco Caputo,Empoli,FW,1296.0,3.818636681884527,0.8588490802794695,2023-24
Nemanja Radonjic,Torino,MF,370.0,1.1274005435407162,0.4384387284517288,2023-24
Amir Rrahmani,Napoli,DF,2612.0,3.4071608036756516,0.7616675207391381,2023-24
Ivan Ilic,Torino,MF,2097.0,2.571698747575283,5.4198929220438,2023-24
M&#039;Bala Nzola,Fiorentina,FW,1526.0,4.340571399778128,1.8532288521528244,2023-24
Kaio Jorge,Frosinone,FW,791.0,7.668177828192711,0.24698295164853334,2023-24
Abdou Harroui,Frosinone,FW,1041.0,3.397505425848067,1.7014152370393276,2023-24
Gustav Isaksen,Lazio,FW,1061.0,1.645481524989009,2.6048705708235502,2023-24
Tijjani Reijnders,AC Milan,MF,2843.0,4.087502425536513,3.8570072669535875,2023-24
Tomás Suslov,Verona,MF,2105.0,3.3827812066301703,3.2258242769166827,2023-24
Henrikh Mkhitaryan,Inter,MF,2847.0,3.4876577770337462,5.048100844025612,2023-24
Alexis Sánchez,Inter,FW,716.0,2.6577158421278,4.303511302918196,2023-24
Matteo Darmian,Inter,DF,2436.0,1.5660245101898909,1.6902962233871222,2023-24
Cristiano Biraghi,Fiorentina,DF,2366.0,1.541363311931491,4.970447704195976,2023-24
Davide Zappacosta,Atalanta,DF,1888.0,3.113600242882967,2.0843700440600514,2023-24
Lorenzo De Silvestri,Bologna,DF,668.0,0.20100543275475502,0.0,2023-24
Patric,Lazio,DF,1606.0,1.4115280732512474,0.18650460056960583,2023-24
Luis Muriel,Atalanta,FW,364.0,1.206673363223672,1.2441264912486076,2023-24
Daniele Rugani,Juventus,DF,1195.0,2.4401188790798187,0.3670960031449795,2023-24
Nicolò Barella,Inter,MF,2896.0,5.040394342504442,3.771154088899493,2023-24
Pol Lirola,Frosinone,DF,1557.0,1.1706221904605627,1.459252922795713,2023-24
Alfred Duncan,Fiorentina,MF,1922.0,1.7479003816843033,1.8096561208367348,2023-24
Nicola Sansone,Lecce,FW,714.0,3.139332728460431,1.1634612744674087,2023-24
Matteo Gabbia,AC Milan,DF,1273.0,1.5995576912537217,0.4694472812116146,2023-24
Walace,Udinese,MF,3260.0,0.5665851011872292,1.0140040703117847,2023-24
Matteo Guendouzi,Lazio,MF,2378.0,1.3498496962711215,3.3368871798738837,2023-24
Daichi Kamada,Lazio,MF,1552.0,1.770090764388442,3.275326691567898,2023-24
Antonin Barak,Fiorentina,FW,784.0,2.33964005112648,3.230741411447525,2023-24
Mattia Bani,Genoa,DF,2313.0,1.6134519381448627,0.10385746322572231,2023-24
Yann Bisseck,Inter,DF,880.0,0.8390006460249424,0.49121755361557007,2023-24
Charalampos Lykogiannis,Bologna,DF,882.0,1.2336327023804188,1.362388264387846,2023-24
Yerry Mina,"Cagliari,Fiorentina",DF,1261.0,1.4102719314396381,0.0,2023-24
Riccardo Sottil,Fiorentina,MF,1116.0,2.646036193706095,2.7609818801283836,2023-24
Luca Ranieri,Fiorentina,DF,2066.0,1.441001696512103,0.5041802749037743,2023-24
