Rk,Squad
1,Inter
2,Milan
3,Juventus
4,Atalanta
5,Bologna
6,Roma
7,Lazio
8,Fiorentina
9,Torino
10,Napoli
11,Genoa
12,Monza
13,Hellas Verona
14,Lecce
15,Udinese
16,Cagliari
17,Empoli
18,Frosinone
19,Sassuolo
20,Salernitana
