Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
248,Rasmus Højlund,dk DEN,FW,Manchester Utd,21,2003,22.3,,,,,,,,,,,,,,,,,,,,,Matches
249,Igor,br BRA,DF,Brighton,26,1998,10.7,,,,,,,,,,,,,,,,,,,,,Matches
250,Danny Ings,eng ENG,FW,West Ham United,32,1992,3.2,,,,,,,,,,,,,,,,,,,,,Matches
251,Tim Iroegbunam,eng ENG,MF,Everton,21,2003,6.4,,,,,,,,,,,,,,,,,,,,,Matches
252,Andy Irving,sct SCO,MF,West Ham United,24,2000,1.8,,,,,,,,,,,,,,,,,,,,,Matches
253,Alexander Isak,se SWE,FW,Newcastle United,24,1999,30.6,,,,,,,,,,,,,,,,,,,,,Matches
254,Alex Iwobi,ng NGA,MF,Fulham,28,1996,33.1,,,,,,,,,,,,,,,,,,,,,Matches
255,Nicolas Jackson,sn SEN,FW,Chelsea,23,2001,24.7,,,,,,,,,,,,,,,,,,,,,Matches
256,Reece James,eng ENG,"DF,MF",Chelsea,24,1999,11.8,,,,,,,,,,,,,,,,,,,,,Matches
257,Vitaly Janelt,de GER,MF,Brentford,26,1998,25.0,,,,,,,,,,,,,,,,,,,,,Matches
258,Vitezslav Jaros,cz CZE,GK,Liverpool,23,2001,0.1,,,,,,,,,,,,,,,,,,,,,Matches
259,Daniel Jebbison,ca CAN,FW,Bournemouth,20,2003,1.3,,,,,,,,,,,,,,,,,,,,,Matches
260,Mathias Jensen,dk DEN,MF,Brentford,28,1996,9.6,,,,,,,,,,,,,,,,,,,,,Matches
261,Gabriel Jesus,br BRA,FW,Arsenal,27,1997,6.8,,,,,,,,,,,,,,,,,,,,,Matches
262,Raúl Jiménez,mx MEX,FW,Fulham,33,1991,27.7,,,,,,,,,,,,,,,,,,,,,Matches
263,Kim Jisoo,kr KOR,DF,Brentford,19,2004,0.3,,,,,,,,,,,,,,,,,,,,,Matches
264,João Pedro,br BRA,"FW,MF",Brighton,22,2001,21.6,,,,,,,,,,,,,,,,,,,,,Matches
265,Joelinton,br BRA,"MF,FW",Newcastle United,27,1996,26.6,,,,,,,,,,,,,,,,,,,,,Matches
