Rk,Squad
1,Real Madrid
2,Barcelona
3,Girona
4,Atlético Madrid
5,Athletic Club
6,Real Sociedad
7,Real Betis
8,Villarreal
9,Valencia
10,Alavés
11,Osasuna
12,Getafe
13,Celta Vigo
14,Sevilla
15,Mallorca
16,Las Palmas
17,Rayo Vallecano
18,Cádiz
19,Almería
20,Granada
