Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
2,Jean Butez,fr FRA,GK,Como,29,1995,19,18,1666,18.5,20,1.08,67,49,73.1,8,4,6,5,27.8,2,2,0,0,0.0,Matches
4,Elia Caprile,it ITA,GK,Cagliari,22,2001,18,18,1620,18.0,22,1.22,67,46,68.7,5,4,9,5,27.8,1,1,0,0,0.0,Matches
5,Marco Carnesecchi,it ITA,GK,Atalanta,24,2000,34,34,3060,34.0,34,1.00,130,98,75.4,19,7,8,13,38.2,2,2,0,0,0.0,Matches
8,Michele Di Gregorio,it ITA,GK,Juventus,27,1997,33,33,2970,33.0,32,0.97,99,71,72.7,16,13,4,14,42.4,5,5,0,0,0.0,Matches
9,Wladimiro Falcone,it ITA,GK,Lecce,29,1995,38,38,3420,38.0,58,1.53,177,127,71.8,8,10,20,9,23.7,10,8,1,1,11.1,Matches
10,David de Gea,es ESP,GK,Fiorentina,33,1990,35,35,3150,35.0,38,1.09,131,96,71.8,19,5,11,11,31.4,3,1,2,0,66.7,Matches
13,Nicola Leali,it ITA,GK,Genoa,31,1993,29,29,2610,29.0,31,1.07,112,83,75.0,8,10,11,10,34.5,4,3,1,0,25.0,Matches
14,Mike Maignan,fr FRA,GK,Milan,29,1995,37,37,3294,36.6,41,1.12,137,98,70.8,17,9,11,13,35.1,2,1,1,0,50.0,Matches
18,Alex Meret,it ITA,GK,Napoli,27,1997,34,34,3005,33.4,25,0.75,81,59,70.4,21,9,4,17,50.0,4,1,2,1,66.7,Matches
19,Vanja Milinković-Savić,rs SRB,GK,Torino,27,1997,37,37,3330,37.0,42,1.14,166,131,76.5,10,14,13,10,27.0,7,3,4,0,57.1,Matches
20,Lorenzo Montipò,it ITA,GK,Hellas Verona,28,1996,36,36,3240,36.0,64,1.78,161,100,61.5,9,7,20,8,22.2,4,2,1,1,33.3,Matches
22,Maduka Okoye,ng NGA,GK,Udinese,24,1999,25,25,2250,25.0,40,1.60,109,73,67.0,6,4,15,4,16.0,5,4,0,1,0.0,Matches
29,Ivan Provedel,it ITA,GK,Lazio,30,1994,29,29,2610,29.0,42,1.45,91,53,58.2,15,6,8,5,17.2,4,4,0,0,0.0,Matches
30,Ionuț Radu,ro ROU,GK,Venezia,27,1997,15,15,1350,15.0,18,1.20,63,47,76.2,2,7,6,4,26.7,3,3,0,0,0.0,Matches
31,Federico Ravaglia,it ITA,GK,Bologna,24,1999,12,11,1056,11.7,14,1.19,23,10,43.5,5,2,4,4,36.4,1,1,0,0,0.0,Matches
32,Pepe Reina,es ESP,GK,Como,41,1982,12,12,1034,11.5,14,1.22,41,28,68.3,3,4,5,2,16.7,1,1,0,0,0.0,Matches
33,Razvan Sava,ro ROU,GK,Udinese,22,2002,12,12,1080,12.0,16,1.33,51,38,74.5,5,4,3,4,33.3,3,3,0,0,0.0,Matches
34,Simone Scuffet,it ITA,GK,Cagliari,28,1996,13,13,1170,13.0,23,1.77,51,33,64.7,3,3,7,1,7.7,5,5,0,0,0.0,Matches
40,Łukasz Skorupski,pl POL,GK,Bologna,33,1991,27,27,2364,26.3,33,1.26,83,51,61.4,11,12,4,8,29.6,2,1,1,0,50.0,Matches
42,Yann Sommer,ch SUI,GK,Inter,35,1988,33,33,2970,33.0,32,0.97,112,84,74.1,20,8,5,13,39.4,4,3,1,0,25.0,Matches
44,Filip Stankovic,rs SRB,GK,Venezia,22,2002,16,16,1367,15.2,23,1.51,79,61,75.9,2,6,8,0,0.0,5,4,1,0,20.0,Matches
45,Zion Suzuki,jp JPN,GK,Parma,21,2002,36,36,3240,36.8,53,1.47,143,95,66.4,7,15,14,7,19.4,5,5,0,0,0.0,Matches
46,Mile Svilar,rs SRB,GK,Roma,24,1999,38,38,3420,38.0,35,0.92,149,118,79.2,20,9,9,16,42.1,4,4,0,0,0.0,Matches
48,Stefano Turati,it ITA,GK,Monza,22,2001,30,30,2676,29.7,52,1.75,141,93,64.5,2,7,21,2,6.7,4,2,2,0,50.0,Matches
49,Devis Vásquez,co COL,GK,Empoli,26,1998,32,32,2880,32.0,45,1.41,125,82,64.8,6,12,14,6,18.8,2,1,1,0,50.0,Matches
