Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
51,Bradley Barcola,fr FRA,MF,Lyon,20,2002,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
52,Bradley Barcola,fr FRA,"FW,MF",Paris Saint-Germain,20,2002,15.2,,,,,,,,,,,,,,,7,,,,,,Matches
53,Melvin Bard,fr FRA,DF,Nice,22,2000,29.5,,,,,,,,,,,,,,,2,,,,,,Matches
54,Steven Baseya,fr FRA,DF,Strasbourg,18,2005,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
55,Mohamed Bechikh,fr FRA,FW,Strasbourg,18,2005,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
56,Yanis Begraoui,ma MAR,"FW,MF",Toulouse,22,2001,3.3,,,,,,,,,,,,,,,0,,,,,,Matches
57,Jérémie Bela,ao ANG,MF,Clermont Foot,30,1993,2.3,,,,,,,,,,,,,,,0,,,,,,Matches
58,Reda Belahyane,ma MAR,MF,Nice,19,2004,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
59,Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15.0,,,,,,,,,,,,,,,0,,,,,,Matches
60,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Strasbourg,25,1998,3.0,,,,,,,,,,,,,,,2,,,,,,Matches
61,Jeanuël Belocian,fr FRA,DF,Rennes,18,2005,16.1,,,,,,,,,,,,,,,1,,,,,,Matches
62,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,18,2005,4.8,,,,,,,,,,,,,,,1,,,,,,Matches
63,Wissam Ben Yedder,fr FRA,FW,Monaco,32,1990,25.7,,,,,,,,,,,,,,,2,,,,,,Matches
64,Saïd Benrahma,dz ALG,"FW,MF",Lyon,27,1995,8.6,,,,,,,,,,,,,,,3,,,,,,Matches
65,Nabil Bentaleb,dz ALG,MF,Lille,28,1994,21.9,,,,,,,,,,,,,,,3,,,,,,Matches
66,Lucas Beraldo,br BRA,DF,Paris Saint-Germain,19,2003,11.2,,,,,,,,,,,,,,,0,,,,,,Matches
67,Dimitry Bertaud,cd COD,GK,Montpellier,25,1998,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
68,Marco Bizot,nl NED,GK,Brest,32,1991,32.0,,,,,,,,,,,,,,,0,,,,,,Matches
69,Rubén Blanco,es ESP,GK,Marseille,28,1995,1.3,,,,,,,,,,,,,,,0,,,,,,Matches
70,Ludovic Blas,fr FRA,"MF,FW",Rennes,25,1997,17.4,,,,,,,,,,,,,,,1,,,,,,Matches
71,Myron Boadu,nl NED,FW,Monaco,22,2001,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
72,Jeremie Boga,ci CIV,"FW,MF",Nice,26,1997,22.2,,,,,,,,,,,,,,,6,,,,,,Matches
73,Adama Bojang,gm GAM,FW,Reims,19,2004,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
74,Neto Borges,br BRA,"MF,DF",Clermont Foot,26,1996,28.0,,,,,,,,,,,,,,,1,,,,,,Matches
75,Saïmon Bouabré,fr FRA,MF,Monaco,17,2006,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
76,Ayyoub Bouaddi,fr FRA,MF,Lille,15,2007,1.5,,,,,,,,,,,,,,,0,,,,,,Matches
77,Badredine Bouanani,dz ALG,MF,Lorient,18,2004,4.9,,,,,,,,,,,,,,,0,,,,,,Matches
78,Badredine Bouanani,dz ALG,FW,Nice,18,2004,1.8,,,,,,,,,,,,,,,0,,,,,,Matches
