Player,Squad,Pos,Saves,GoalsConceded,SoT,Cmp%,Tkl,Blocks,Int,DuelsTotal,DuelsWon,DrbAttempts,DrbSucc,Fld,season
A. Lallana,Brighton,MF,0,0,2,,8,1,3,69,25,12,3,11,2023-24
A. Connolly,Brighton,FW,0,0,0,,0,0,0,0,0,0,0,0,2023-24
J. Moder,Brighton,MF,0,0,3,,19,2,2,66,33,11,6,5,2023-24
R. Khadra,Brighton,MF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
V. Barco,Brighton,MF,0,0,2,,11,0,4,47,24,9,5,7,2023-24
D. Undav,Brighton,FW,0,0,0,,0,0,0,0,0,0,0,0,2023-24
M. Dahoud,Brighton,MF,0,0,1,,9,1,1,38,13,5,2,2,2023-24
P. Groß,Brighton,MF,0,0,20,73.0,70,8,22,248,127,29,16,27,2023-24
M. Karbownik,Brighton,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
S. Alzate,Brighton,MF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
A. Zeqiri,Brighton,FW,0,0,0,,0,0,0,0,0,0,0,0,2023-24
I. Samuels,Brighton,DF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
P. Estupiñán,Brighton,DF,0,0,6,,26,4,21,131,64,18,9,17,2023-24
C. Peupion,Brighton,FW,0,0,0,,0,0,0,0,0,0,0,0,2023-24
O. Offiah,Brighton,DF,0,0,0,,1,0,1,12,8,5,4,2,2023-24
L. Milivojević,Crystal Palace,MF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
J. McArthur,Crystal Palace,MF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
M. Boateng,Crystal Palace,MF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
F. Marjoram,Crystal Palace,MF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Z. Marsh,Crystal Palace,FW,0,0,0,,0,0,0,0,0,0,0,0,2023-24
E. Eze,Crystal Palace,MF,0,0,34,,35,2,11,340,164,133,69,48,2023-24
R. Matthews,Crystal Palace,GK,0,1,0,,0,0,0,1,1,0,0,0,2023-24
T. Mitchell,Crystal Palace,DF,0,0,4,,106,10,26,268,160,34,17,16,2023-24
M. Guéhi,Crystal Palace,DF,0,0,0,45.0,28,17,17,149,90,11,7,26,2023-24
C. Richards,Crystal Palace,DF,0,0,3,,46,12,27,185,115,1,1,7,2023-24
D. Muñoz,Crystal Palace,DF,0,0,0,,55,7,24,197,102,25,13,8,2023-24
N. Clyne,Crystal Palace,DF,0,0,0,,24,6,10,75,48,14,8,3,2023-24
A. Wharton,Crystal Palace,MF,0,0,1,,48,3,20,145,79,5,3,21,2023-24
C. Doucouré,Crystal Palace,MF,0,0,2,,34,2,20,92,50,13,10,1,2023-24
J. Devenny,Crystal Palace,MF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
J. Lerma,Crystal Palace,MF,0,0,9,,42,12,36,263,147,17,11,25,2023-24
N. Ahamada,Crystal Palace,MF,0,0,2,,13,0,2,66,29,12,7,6,2023-24
K. Rodney,Crystal Palace,MF,0,0,0,,0,0,0,0,0,0,0,0,2023-24
Matheus França,Crystal Palace,FW,0,0,2,,3,0,1,43,10,13,4,2,2023-24
