player_name_tm,club_tm,season,market_value_eur
Radu Drăgușin,Tottenham Hotspur,2025-26,20000000.0
Kevin Danso,Tottenham Hotspur,2025-26,20000000.0
Ben Davies,Tottenham Hotspur,2025-26,5000000.0
Destiny Udogie,Tottenham Hotspur,2025-26,35000000.0
Djed Spence,Tottenham Hotspur,2025-26,30000000.0
Souza,Tottenham Hotspur,2025-26,12000000.0
Pedro Porro,Tottenham Hotspur,2025-26,40000000.0
Rodrigo Bentancur,Tottenham Hotspur,2025-26,22000000.0
João Palhinha,Tottenham Hotspur,2025-26,18000000.0
Yves Bissouma,Tottenham Hotspur,2025-26,12000000.0
Lucas Bergvall,Tottenham Hotspur,2025-26,40000000.0
Archie Gray,Tottenham Hotspur,2025-26,35000000.0
Conor Gallagher,Tottenham Hotspur,2025-26,35000000.0
Pape Matar Sarr,Tottenham Hotspur,2025-26,32000000.0
Xavi Simons,Tottenham Hotspur,2025-26,50000000.0
Dejan Kulusevski,Tottenham Hotspur,2025-26,35000000.0
James Maddison,Tottenham Hotspur,2025-26,25000000.0
Wilson Odobert,Tottenham Hotspur,2025-26,20000000.0
Mohammed Kudus,Tottenham Hotspur,2025-26,55000000.0
Dominic Solanke,Tottenham Hotspur,2025-26,35000000.0
Richarlison,Tottenham Hotspur,2025-26,28000000.0
Mathys Tel,Tottenham Hotspur,2025-26,25000000.0
Randal Kolo Muani,Tottenham Hotspur,2025-26,22000000.0
Senne Lammens,Manchester United,2025-26,30000000.0
Altay Bayındır,Manchester United,2025-26,7000000.0
Tom Heaton,Manchester United,2025-26,150000.0
Leny Yoro,Manchester United,2025-26,50000000.0
Matthijs de Ligt,Manchester United,2025-26,40000000.0
Lisandro Martínez,Manchester United,2025-26,40000000.0
Ayden Heaven,Manchester United,2025-26,20000000.0
Harry Maguire,Manchester United,2025-26,10000000.0
Tyler Fredricson,Manchester United,2025-26,3000000.0
Patrick Dorgu,Manchester United,2025-26,35000000.0
Luke Shaw,Manchester United,2025-26,10000000.0
Tyrell Malacia,Manchester United,2025-26,5000000.0
Diego León,Manchester United,2025-26,4000000.0
Diogo Dalot,Manchester United,2025-26,30000000.0
Noussair Mazraoui,Manchester United,2025-26,20000000.0
Manuel Ugarte,Manchester United,2025-26,30000000.0
Casemiro,Manchester United,2025-26,8000000.0
Kobbie Mainoo,Manchester United,2025-26,50000000.0
Bruno Fernandes,Manchester United,2025-26,40000000.0
Mason Mount,Manchester United,2025-26,30000000.0
Bryan Mbeumo,Manchester United,2025-26,80000000.0
Amad Diallo,Manchester United,2025-26,50000000.0
Matheus Cunha,Manchester United,2025-26,70000000.0
Benjamin Sesko,Manchester United,2025-26,65000000.0
Joshua Zirkzee,Manchester United,2025-26,22000000.0
Chido Obi,Manchester United,2025-26,5000000.0
Aaron Ramsdale,Newcastle United,2025-26,12000000.0
Nick Pope,Newcastle United,2025-26,7000000.0
Mark Gillespie,Newcastle United,2025-26,150000.0
John Ruddy,Newcastle United,2025-26,100000.0
Malick Thiaw,Newcastle United,2025-26,45000000.0
Sven Botman,Newcastle United,2025-26,35000000.0
Fabian Schär,Newcastle United,2025-26,6000000.0
