player_name_tm,club_tm,season,market_value_eur
Thibaut Courtois,Real Madrid,2024-25,20000000.0
Andriy Lunin,Real Madrid,2024-25,18000000.0
Fran González,Real Madrid,2024-25,400000.0
Sergio Mestre,Real Madrid,2024-25,50000.0
Dean Huijsen,Real Madrid,2024-25,60000000.0
Raúl Asencio,Real Madrid,2024-25,40000000.0
Éder Militão,Real Madrid,2024-25,30000000.0
Antonio Rüdiger,Real Madrid,2024-25,20000000.0
David Alaba,Real Madrid,2024-25,6000000.0
Jacobo Ramón,Real Madrid,2024-25,1000000.0
Diego Aguado,Real Madrid,2024-25,1000000.0
Jesús Vallejo,Real Madrid,2024-25,1000000.0
Víctor Valdepeñas,Real Madrid,2024-25,500000.0
Mario Rivas,Real Madrid,2024-25,300000.0
Fran García,Real Madrid,2024-25,18000000.0
Ferland Mendy,Real Madrid,2024-25,14000000.0
Youssef Enríquez,Real Madrid,2024-25,500000.0
Trent Alexander-Arnold,Real Madrid,2024-25,75000000.0
Daniel Carvajal,Real Madrid,2024-25,8000000.0
Lucas Vázquez,Real Madrid,2024-25,3000000.0
David Jiménez,Real Madrid,2024-25,400000.0
Jesús Fortea,Real Madrid,2024-25,200000.0
Lorenzo Aguado,Real Madrid,2024-25,100000.0
Aurélien Tchouaméni,Real Madrid,2024-25,75000000.0
Mario Martín,Real Madrid,2024-25,1500000.0
Chema Andrés,Real Madrid,2024-25,800000.0
Federico Valverde,Real Madrid,2024-25,130000000.0
Eduardo Camavinga,Real Madrid,2024-25,60000000.0
Dani Ceballos,Real Madrid,2024-25,10000000.0
Luka Modrić,Real Madrid,2024-25,4000000.0
Jude Bellingham,Real Madrid,2024-25,180000000.0
Arda Güler,Real Madrid,2024-25,45000000.0
Pol Fortuny,Real Madrid,2024-25,400000.0
Vinicius Junior,Real Madrid,2024-25,170000000.0
Víctor Muñoz,Real Madrid,2024-25,1000000.0
Hugo de Llanos,Real Madrid,2024-25,200000.0
Rodrygo,Real Madrid,2024-25,90000000.0
Brahim Díaz,Real Madrid,2024-25,40000000.0
Daniel Yáñez,Real Madrid,2024-25,150000.0
Kylian Mbappé,Real Madrid,2024-25,180000000.0
Endrick,Real Madrid,2024-25,35000000.0
Gonzalo García,Real Madrid,2024-25,8000000.0
Marc-André ter Stegen,FC Barcelona,2024-25,12000000.0
Iñaki Peña,FC Barcelona,2024-25,8000000.0
Wojciech Szczęsny,FC Barcelona,2024-25,1000000.0
Ander Astralaga,FC Barcelona,2024-25,800000.0
Diego Kochen,FC Barcelona,2024-25,500000.0
Áron Yaakobishvili,FC Barcelona,2024-25,300000.0
Pau Cubarsí,FC Barcelona,2024-25,80000000.0
Ronald Araujo,FC Barcelona,2024-25,35000000.0
Eric García,FC Barcelona,2024-25,18000000.0
Andreas Christensen,FC Barcelona,2024-25,12000000.0
Iñigo Martínez,FC Barcelona,2024-25,5000000.0
Sergi Domínguez,FC Barcelona,2024-25,1000000.0
Alexis Olmedo,FC Barcelona,2024-25,200000.0
Andrés Cuenca,FC Barcelona,2024-25,200000.0
Álvaro Cortés,FC Barcelona,2024-25,150000.0
Alejandro Balde,FC Barcelona,2024-25,60000000.0
Gerard Martín,FC Barcelona,2024-25,12000000.0
Álex Valle,FC Barcelona,2024-25,6000000.0
Jules Koundé,FC Barcelona,2024-25,65000000.0
Héctor Fort,FC Barcelona,2024-25,10000000.0
Landry Farré,FC Barcelona,2024-25,300000.0
Marc Casadó,FC Barcelona,2024-25,30000000.0
Marc Bernal,FC Barcelona,2024-25,5000000.0
Pedri,FC Barcelona,2024-25,140000000.0
Gavi,FC Barcelona,2024-25,60000000.0
Frenkie de Jong,FC Barcelona,2024-25,45000000.0
Guille Fernández,FC Barcelona,2024-25,3000000.0
Dani Olmo,FC Barcelona,2024-25,60000000.0
Fermín López,FC Barcelona,2024-25,50000000.0
Pablo Torre,FC Barcelona,2024-25,6000000.0
Raphinha,FC Barcelona,2024-25,90000000.0
Ansu Fati,FC Barcelona,2024-25,5000000.0
Lamine Yamal,FC Barcelona,2024-25,200000000.0
Toni Fernández,FC Barcelona,2024-25,3000000.0
Noah Darvich,FC Barcelona,2024-25,2000000.0
Dani Rodríguez,FC Barcelona,2024-25,200000.0
Ferran Torres,FC Barcelona,2024-25,40000000.0
Robert Lewandowski,FC Barcelona,2024-25,12000000.0
Pau Víctor,FC Barcelona,2024-25,4000000.0
Jan Oblak,Atlético de Madrid,2024-25,20000000.0
Juan Musso,Atlético de Madrid,2024-25,3500000.0
Horațiu Moldovan,Atlético de Madrid,2024-25,2200000.0
Alejandro Iturbe,Atlético de Madrid,2024-25,2000000.0
Antonio Gomis,Atlético de Madrid,2024-25,150000.0
Robin Le Normand,Atlético de Madrid,2024-25,40000000.0
José María Giménez,Atlético de Madrid,2024-25,20000000.0
Clément Lenglet,Atlético de Madrid,2024-25,7500000.0
César Azpilicueta,Atlético de Madrid,2024-25,1500000.0
Ilias Kostis,Atlético de Madrid,2024-25,500000.0
Gerónimo Spina,Atlético de Madrid,2024-25,200000.0
Reinildo Mandava,Atlético de Madrid,2024-25,5000000.0
Javi Galán,Atlético de Madrid,2024-25,4000000.0
Marcos Llorente,Atlético de Madrid,2024-25,25000000.0
Nahuel Molina,Atlético de Madrid,2024-25,20000000.0
Santiago Mouriño,Atlético de Madrid,2024-25,3000000.0
Carlos Giménez,Atlético de Madrid,2024-25,250000.0
Arthur Vermeeren,Atlético de Madrid,2024-25,22000000.0
Axel Witsel,Atlético de Madrid,2024-25,2000000.0
Pablo Barrios,Atlético de Madrid,2024-25,55000000.0
Conor Gallagher,Atlético de Madrid,2024-25,40000000.0
Rodrigo De Paul,Atlético de Madrid,2024-25,25000000.0
Koke,Atlético de Madrid,2024-25,8000000.0
Javi Serrano,Atlético de Madrid,2024-25,700000.0
Aitor Gismera,Atlético de Madrid,2024-25,250000.0
Thomas Lemar,Atlético de Madrid,2024-25,5000000.0
Rayane Belaid,Atlético de Madrid,2024-25,600000.0
